Y Mean	Y Std	Count	Y Median	X Center	Y Upper Quartile	Y Lower Quartile	X Mean
nan	nan	0	nan	3.6216678344652173	nan	nan	nan
nan	nan	0	nan	3.660883520739727	nan	nan	nan
nan	nan	0	nan	3.700099207014237	nan	nan	nan
nan	nan	0	nan	3.7393148932887468	nan	nan	nan
nan	nan	0	nan	3.778530579563257	nan	nan	nan
nan	nan	0	nan	3.8177462658377666	nan	nan	nan
nan	nan	0	nan	3.856961952112276	nan	nan	nan
nan	nan	0	nan	3.896177638386786	nan	nan	nan
nan	nan	0	nan	3.9353933246612955	nan	nan	nan
nan	nan	0	nan	3.9746090109358057	nan	nan	nan
nan	nan	0	nan	4.013824697210316	nan	nan	nan
nan	nan	0	nan	4.053040383484825	nan	nan	nan
nan	nan	0	nan	4.092256069759335	nan	nan	nan
nan	nan	0	nan	4.131471756033845	nan	nan	nan
nan	nan	0	nan	4.170687442308354	nan	nan	nan
nan	nan	0	nan	4.209903128582864	nan	nan	nan
nan	nan	0	nan	4.249118814857374	nan	nan	nan
nan	nan	0	nan	4.288334501131884	nan	nan	nan
nan	nan	0	nan	4.327550187406394	nan	nan	nan
nan	nan	0	nan	4.366765873680904	nan	nan	nan
nan	nan	0	nan	4.405981559955413	nan	nan	nan
nan	nan	0	nan	4.445197246229924	nan	nan	nan
nan	nan	0	nan	4.4844129325044335	nan	nan	nan
nan	nan	0	nan	4.523628618778943	nan	nan	nan
nan	nan	0	nan	4.562844305053453	nan	nan	nan
nan	nan	0	nan	4.6020599913279625	nan	nan	nan
nan	nan	0	nan	4.641275677602472	nan	nan	nan
-0.003361274121921068	0.041389686497750065	24	0.01852261846857058	4.680491363876982	0.029502052555989224	-0.048682248950688366	4.686393997027782
0.009594234398146764	0.05051809872930264	262	0.001213342552531995	4.7197070501514915	0.031566960790427805	-0.02127802313054566	4.727210985438507
0.00197455094226514	0.04703371460099799	1145	0.0024649580588596005	4.758922736426001	0.03346857638568318	-0.028195880042368	4.7625261894141095
-0.0007694668382182227	0.04890588924308608	2609	-0.0018065605047095051	4.798138422700512	0.03071026972208116	-0.031388019203374196	4.799032314785561
0.0029413660674492024	0.048348539063727644	3645	0.0021441758196960926	4.837354108975021	0.031690139720347135	-0.028261511718190135	4.837994020196078
0.00045096489920881655	0.04844416587512986	4293	-0.0008515772515349692	4.876569795249531	0.031172439097033593	-0.03175163252147015	4.8770980695388255
-4.131266199893775e-05	0.050230563223310924	5559	-0.001115084885898745	4.915785481524041	0.03322101355616302	-0.03286052167198419	4.916003865978513
0.0009783260439515885	0.05025306351855051	5157	-0.0011024853001852543	4.955001167798551	0.03413179201922301	-0.034675253917245054	4.954224147343975
0.0007703646653660979	0.052754040566463156	4607	0.00033466458680830803	4.994216854073061	0.03163623753246678	-0.031673548854527674	4.994501056730246
0.0021245616527957893	0.05117009757787982	5791	-0.00012672622647784081	5.033432540347571	0.03552945217104195	-0.031049066863737318	5.033688200994987
0.0006228751383239822	0.051495430767631065	4766	-0.0009644271364046301	5.07264822662208	0.03258292788701267	-0.03333376374843584	5.071985641119964
0.0013319301135257932	0.051220234444888386	3454	-0.0006097761374248883	5.11186391289659	0.032019616473024225	-0.031660999804230115	5.110851188856869
0.0015503030767975295	0.051502962263573565	2480	-2.5509588367893976e-05	5.1510795991711	0.034071854895338455	-0.034113188513814806	5.150583249715566
-0.0003434497116666328	0.05424624507097732	2291	-0.0033591817244307586	5.190295285445609	0.03262668495327299	-0.03219496562508085	5.190591743822606
0.004577536453788527	0.055916751349266144	2428	0.0023357995676258282	5.229510971720119	0.04032009042467788	-0.03346321775135189	5.229775415541475
0.004767724048512517	0.06306915688852402	2130	0.00048717363532272003	5.268726657994629	0.03995654954012546	-0.03609015364754686	5.2676397103771135
0.003721702326965555	0.06250030806816939	1992	0.0008320809359019365	5.307942344269139	0.04318088364635612	-0.03746168437485787	5.307519156096848
0.006847405909868907	0.06455304784836366	1771	0.0039008554975738415	5.347158030543649	0.040753248193504885	-0.030718217438880945	5.347439935643266
0.009519627414233362	0.06756979838096847	1555	0.0039469218500616035	5.3863737168181585	0.046179654016758886	-0.03500125276445141	5.384789425188948
0.0023969939011519283	0.069880856186637	813	-0.00247575869036345	5.425589403092668	0.041375507968494346	-0.03635963436111033	5.422093604351131
0.0158898056131931	0.07373949325757066	237	0.02336346970608188	5.464805089367179	0.059004450764862604	-0.034852731194200175	5.459439022772259
-0.01307612891681431	0.057767055165895594	32	0.005846323212731733	5.504020775641688	0.017127609750093652	-0.06423480402092752	5.4986590900412695
-0.013349052589733285	0.06607251003785719	12	-0.0013451355785889312	5.543236461916198	0.06090043347951998	-0.09960245567013092	5.529728223646693
nan	nan	0	nan	5.582452148190708	nan	nan	nan
