Y Median	Y Upper Quartile	Y Lower Quartile	Count	X Mean	Y Std	X Center	Y Mean
nan	nan	nan	0	nan	nan	5098.0392156862745	nan
nan	nan	nan	0	nan	nan	5294.117647058823	nan
nan	nan	nan	0	nan	nan	5490.196078431372	nan
nan	nan	nan	0	nan	nan	5686.274509803921	nan
nan	nan	nan	0	nan	nan	5882.35294117647	nan
nan	nan	nan	0	nan	nan	6078.431372549019	nan
nan	nan	nan	0	nan	nan	6274.509803921568	nan
nan	nan	nan	0	nan	nan	6470.588235294118	nan
nan	nan	nan	0	nan	nan	6666.666666666667	nan
nan	nan	nan	0	nan	nan	6862.745098039216	nan
nan	nan	nan	0	nan	nan	7058.823529411765	nan
nan	nan	nan	0	nan	nan	7254.901960784314	nan
nan	nan	nan	0	nan	nan	7450.980392156863	nan
7747.505257052209	7752.081262038336	7742.929252066082	2048	7687.712186989476	4.576004986126919	7647.058823529413	7747.505257052209
7742.830979851487	7800.681967463783	7686.375751900746	28672	7875.171506854255	95.9777107059156	7843.137254901962	7740.852009429996
7798.048993668877	7850.616358977095	7752.062078400901	101376	8045.405395202655	82.97361686044661	8039.2156862745105	7802.154006170466
7873.818374699418	7944.770223124571	7810.327635149224	119808	8233.226953524627	136.62915110031685	8235.29411764706	7870.540220348851
7976.65868654085	8079.5977236268345	7916.305291963491	149504	8434.729264688774	144.60860678436862	8431.372549019608	7992.223746427066
8035.665627749121	8126.14266483151	7952.447497537736	222208	8629.324506989535	161.3504827795382	8627.450980392157	8042.304817823126
8057.864196602551	8154.179425294218	7961.292755088755	382976	8834.2382058137	144.4195811691034	8823.529411764706	8062.741182540203
8161.662219854735	8265.139391463257	8049.620897319401	471040	9018.969351884743	178.26510574151615	9019.607843137255	8155.454694243769
8221.642347876656	8307.466072469837	8116.975065087623	391168	9207.336766524666	168.36289176239623	9215.686274509804	8214.681459952992
8264.15992142055	8324.893083040572	8151.338166105225	232448	9403.816728749729	180.61999009850643	9411.764705882353	8238.912808186424
8324.282959695785	8419.860983827737	8232.046595727401	172032	9597.402995122275	149.0627716552545	9607.843137254902	8320.677383892615
8339.510387433575	8402.595705656697	8268.42792597493	92160	9789.303587291235	122.51149935640234	9803.921568627451	8349.057488108061
8421.54648262959	8524.517675484309	8340.85241392061	28672	9977.541334319272	142.84066623818742	10000.0	8439.996501667707
8482.656889544352	8637.998819941886	8371.755293028724	35840	10190.264939614426	166.5556835623304	10196.078431372549	8485.367821612172
8506.479347329514	8633.988253773012	8381.140558538536	20480	10373.524888130853	151.04339044056792	10392.1568627451	8527.885623776014
8535.971285775959	8824.354624113086	8508.756315747718	15360	10544.83606396937	164.75110821647874	10588.235294117649	8614.72081350488
8656.960819101092	8791.020131226545	8481.11184916427	18432	10776.354354494259	191.04622771412824	10784.313725490198	8660.158044380361
8568.685471968633	8844.53704453496	8486.60318163994	3072	10989.002929241056	153.0970072571526	10980.392156862747	8633.275232714512
8832.795504105221	8891.734700824443	8802.601748082134	4096	11178.2421870527	85.24457921014236	11176.470588235296	8861.540944801354
8800.817048755296	8937.408389475375	8664.225708035217	2048	11377.751007678853	136.59134072007873	11372.549019607844	8800.817048755294
8926.116761645455	8955.284570172053	8896.948953118856	2048	11499.360389482874	29.167808526598492	11568.627450980393	8926.116761645453
8677.681903715677	8828.278348193726	8578.91231562915	5120	11777.944002016078	412.1422130982677	11764.705882352942	8805.50309401836
nan	nan	nan	0	nan	nan	11960.784313725491	nan
nan	nan	nan	0	nan	nan	12156.86274509804	nan
nan	nan	nan	0	nan	nan	12352.94117647059	nan
nan	nan	nan	0	nan	nan	12549.019607843138	nan
nan	nan	nan	0	nan	nan	12745.098039215687	nan
nan	nan	nan	0	nan	nan	12941.176470588236	nan
nan	nan	nan	0	nan	nan	13137.254901960785	nan
nan	nan	nan	0	nan	nan	13333.333333333334	nan
nan	nan	nan	0	nan	nan	13529.411764705883	nan
nan	nan	nan	0	nan	nan	13725.490196078432	nan
nan	nan	nan	0	nan	nan	13921.56862745098	nan
nan	nan	nan	0	nan	nan	14117.64705882353	nan
nan	nan	nan	0	nan	nan	14313.725490196079	nan
nan	nan	nan	0	nan	nan	14509.803921568628	nan
nan	nan	nan	0	nan	nan	14705.882352941177	nan
nan	nan	nan	0	nan	nan	14901.960784313726	nan
