[Cl III] log10 (N' / N)	T1	T2	T3
-1.4705882352941178	12681293.358139774	7869728.339610138	3852916.560806724
-1.4117647058823528	14833875.878868103	11563946.344378069	4582172.442473128
-1.3529411764705883	15140800.406649549	12089711.097440409	5918838.77442146
-1.2941176470588234	17788389.097639	13006242.68996982	6075097.600826413
-1.2352941176470589	17596363.145853274	16551801.975621458	8057183.514237286
-1.176470588235294	17585942.6653329	17637615.573248796	4927158.976442228
-1.1176470588235294	18462681.331654184	13776473.642541165	8975381.630165441
-1.0588235294117647	19486113.252661727	18859705.238187164	8200728.185287797
-1.0	20641978.592550445	18863093.645516373	10797913.776820317
-0.9411764705882353	23288507.2772266	18058119.99787752	11515037.82183334
-0.8823529411764706	23043121.79682778	21228470.123589486	14252585.779995158
-0.8235294117647058	27854432.288568128	24175044.47278892	17008254.861332238
-0.7647058823529412	25999751.668995958	28838688.767177705	20476854.163229875
-0.7058823529411765	29837230.842285324	26686331.892202247	23379491.19118628
-0.6470588235294118	30561393.80172799	30608998.66551652	26198354.739196286
-0.5882352941176471	34085810.056412056	32669708.026936468	38692689.764824994
-0.5294117647058824	37064553.18665299	44244452.510810226	37115641.34439117
-0.47058823529411764	39268879.7916929	45905244.31970953	44878436.849191815
-0.4117647058823529	45157308.11012827	53388007.71853731	58071145.46774758
-0.3529411764705882	47231003.45575628	64457151.12316229	65607062.29210706
-0.2941176470588235	51378302.71445943	61298869.7995669	79943929.42978752
-0.23529411764705876	58347573.548812866	67638295.9799083	84051863.91649076
-0.17647058823529405	64618382.22948562	66994926.48020124	93044190.64986676
-0.11764705882352944	63180975.41654632	74921896.65368941	92650461.83371341
-0.05882352941176483	60779204.44736135	82885988.30832717	97981970.0138897
-1.1102230246251565e-16	57910149.90567099	68809755.99888234	91518582.74379706
0.05882352941176461	58966985.43282285	71459898.356995	95662262.62102266
0.11764705882352933	62319314.59694865	69794127.31267075	89961379.90455408
0.17647058823529405	58275519.38586764	68337705.90057307	73228832.81194535
0.23529411764705876	48170984.21690519	61117952.98702693	67469850.20974351
0.2941176470588235	51839027.43033253	51151477.869778626	56561342.29161178
0.3529411764705882	46400034.06457351	50380915.51095999	48567387.17659822
0.4117647058823529	43044612.87048572	42979137.379032984	42531115.871166706
0.47058823529411764	35485141.39207556	43067162.29138538	32210535.24727886
0.5294117647058822	33722502.04888436	29474588.341566186	23454633.058553323
0.588235294117647	33168775.296229757	27086251.60191106	18887668.592453666
0.6470588235294117	31594745.340649262	28084332.770685572	16763923.073421875
0.7058823529411764	27125027.186541118	22019268.002450738	13232191.833798075
0.7647058823529411	23882930.540503684	20103807.18406123	10479004.377802426
0.8235294117647058	22481172.45546525	17110827.43808396	8539174.4970993
0.8823529411764706	19652424.40948686	14204667.4729009	7649679.450631197
0.9411764705882353	17677753.244265262	15319683.687438957	4908618.323485757
1.0	15577236.664280517	11518121.912544196	6040665.36950456
1.0588235294117647	15418023.873255923	11094879.22142399	3947227.1514093927
1.1176470588235294	12903823.367393313	7691867.453041774	2249606.720665925
1.1764705882352942	12280674.788016737	8051454.079426089	3158382.3317115563
1.2352941176470589	11138227.059610022	4759082.748557808	809771.2942787168
1.2941176470588234	8988892.428745355	6301482.801505875	1822404.835373719
1.352941176470588	8504489.340500697	3714450.9441622226	1645627.832471299
1.4117647058823528	8523153.107308265	5377160.877955633	458690.50031242805
1.4705882352941175	8399635.295993552	4314688.275954747	1381150.2042001532
