X Mean	Y Median	Y Mean	X Center	Count	Y Std	Y Upper Quartile	Y Lower Quartile
nan	nan	nan	3.6216678344652173	0	nan	nan	nan
nan	nan	nan	3.660883520739727	0	nan	nan	nan
nan	nan	nan	3.700099207014237	0	nan	nan	nan
nan	nan	nan	3.7393148932887468	0	nan	nan	nan
nan	nan	nan	3.778530579563257	0	nan	nan	nan
nan	nan	nan	3.8177462658377666	0	nan	nan	nan
nan	nan	nan	3.856961952112276	0	nan	nan	nan
nan	nan	nan	3.896177638386786	0	nan	nan	nan
nan	nan	nan	3.9353933246612955	0	nan	nan	nan
nan	nan	nan	3.9746090109358057	0	nan	nan	nan
nan	nan	nan	4.013824697210316	0	nan	nan	nan
nan	nan	nan	4.053040383484825	0	nan	nan	nan
nan	nan	nan	4.092256069759335	0	nan	nan	nan
nan	nan	nan	4.131471756033845	0	nan	nan	nan
nan	nan	nan	4.170687442308354	0	nan	nan	nan
nan	nan	nan	4.209903128582864	0	nan	nan	nan
nan	nan	nan	4.249118814857374	0	nan	nan	nan
nan	nan	nan	4.288334501131884	0	nan	nan	nan
nan	nan	nan	4.327550187406394	0	nan	nan	nan
nan	nan	nan	4.366765873680904	0	nan	nan	nan
nan	nan	nan	4.405981559955413	0	nan	nan	nan
nan	nan	nan	4.445197246229924	0	nan	nan	nan
4.4900041958405295	-1564.4476695020985	-1564.4476695020985	4.4844129325044335	1	0.0	-1564.4476695020985	-1564.4476695020985
nan	nan	nan	4.523628618778943	0	nan	nan	nan
4.5494909842324915	-1292.0279317209588	-1292.0279317209588	4.562844305053453	1	0.0	-1292.0279317209588	-1292.0279317209588
4.604751518694293	-158.09558550889415	-125.56498887625648	4.6020599913279625	10	495.3756698557739	114.7153726763554	-347.00852908221304
4.6456809766348295	19.769496303876622	-49.00933216646577	4.641275677602472	44	928.1897575303799	594.5615084781734	-683.1145101430957
4.682412194369544	90.0293120208189	-31.535814113017604	4.680491363876982	141	906.4480549102547	632.7346645861235	-684.5746378883432
4.723540947503681	100.80560680092094	48.698856480968054	4.7197070501514915	471	947.5769400755152	655.159583544134	-521.155746018308
4.761315514854535	-7.859057955491153	-28.834303005494487	4.758922736426001	1292	946.7631345520736	576.7280941374152	-596.7702691135964
4.800036957922405	-17.181755722678645	-21.9267114625303	4.798138422700512	2390	907.2289824632909	529.9982529049098	-534.5091799071502
4.838131878981159	3.593787994403101	-22.430608538864863	4.837354108975021	3522	853.9226740585776	512.88808207601	-536.7510853380436
4.877062455036994	-15.446626130368713	-26.76122106518369	4.876569795249531	4378	846.5432511238108	496.73550246290006	-510.93059904237475
4.916488726301695	-3.0283618482308157	-29.321312832169955	4.915785481524041	4950	812.9772955347091	484.66109174356234	-510.55578288576
4.954788704167958	-17.27674339256191	-36.97900109714554	4.955001167798551	5078	800.133822271168	474.3777633073187	-505.53653129673876
4.994171683162836	-20.080225526844515	-49.14887946258164	4.994216854073061	4899	777.339244560335	429.46933595292194	-495.7174263744387
5.033621925818101	-24.80847045363771	-42.526347469320754	5.033432540347571	5292	773.438022155964	422.77829108867127	-470.49384118744
5.071638207965448	-10.856001924729753	-26.051789045160373	5.07264822662208	4646	750.1326284584835	411.9351625784461	-437.4720822055351
5.110733383841838	-32.252500154027075	-43.36607969120094	5.11186391289659	3553	665.5537366270485	355.3613502291664	-422.0564795963546
5.15013141563925	-29.794261728984566	-47.929047648042484	5.1510795991711	2658	568.6823848111422	292.53183039444275	-364.9603845649108
5.190470143378999	-37.43913018868625	-58.48897044369192	5.190295285445609	2288	539.8741292399197	278.3050998161998	-352.06596314494345
5.2293059195923774	-3.112786166430851	-23.84207397764101	5.229510971720119	2384	513.1283681528388	281.54481462330295	-279.23755322872603
5.268391876712512	-18.678162120864727	-50.99431358522632	5.268726657994629	2144	499.5759213327351	245.04827007404447	-327.7957572522041
5.307797657439497	-32.94615906445779	-67.46874457053903	5.307942344269139	1976	552.8051963816814	233.72139020727855	-293.73771971387214
5.347726653409378	-17.25572075376658	-88.02007709885739	5.347158030543649	1737	700.5090372800898	258.72414455543185	-325.3816291692674
5.385862764250743	-20.263295004106567	-69.14032994557212	5.3863737168181585	1469	651.3229789555724	264.1566007384754	-317.0748716649141
5.42250938538443	-3.901446825898347	-91.55789120457773	5.425589403092668	822	868.7005532094717	300.38087803176404	-308.4240966968582
5.459642178367793	-2.9467045144556323	-95.93469106887575	5.464805089367179	272	870.198193711972	300.55568463387203	-374.3218301751426
5.497489126563618	-39.54385945168269	-114.30157961813421	5.504020775641688	52	704.5729935879501	252.14043816498952	-278.8829190987017
5.5370820551112265	-107.80927228874498	-243.8541664377329	5.543236461916198	12	592.4215133509896	138.3879618879496	-395.77292411952203
nan	nan	nan	5.582452148190708	0	nan	nan	nan
