Count	Y Upper Quartile	Y Median	Y Std	X Center	Y Lower Quartile	Y Mean	X Mean
0	nan	nan	nan	3.6216678344652173	nan	nan	nan
0	nan	nan	nan	3.660883520739727	nan	nan	nan
0	nan	nan	nan	3.700099207014237	nan	nan	nan
0	nan	nan	nan	3.7393148932887468	nan	nan	nan
8192	-38.094166257054894	-79.2871975449616	41.19303128790671	3.778530579563257	-120.4802288328683	-79.2871975449616	3.7751522421228874
12288	62.30255545301952	-16.045389361084744	64.93780582157397	3.8177462658377666	-96.756084321034	-16.83297274303307	3.8126628483233667
8192	-27.58569694730795	-28.23212394192342	0.6464269946154673	3.856961952112276	-28.878550936538886	-28.23212394192342	3.859038865735783
20480	79.32536357639765	15.427471133471045	81.03657043810536	3.896177638386786	7.394077358572758	63.87402348491996	3.89562230459356
4096	3.069246874507371	3.069246874507371	0.0	3.9353933246612955	3.069246874507371	3.069246874507371	3.943792311111743
20480	86.85397262484003	1.398076160952769	137.96601344102464	3.9746090109358057	-32.90027719725731	-23.880886514554003	3.9669496476595705
28672	-11.616043260361039	-41.841181997771855	55.787340588008696	4.013824697210316	-105.45031039537571	-47.59781364697171	4.013314763016522
16384	68.25745142369487	36.64921590195445	46.981156577447976	4.053040383484825	-2.851920105038971	28.756315416701455	4.058539776741485
16384	44.318795767785105	22.965969105264776	91.99459922442621	4.092256069759335	-41.636789301486715	-20.283962638966386	4.089133275196849
32768	57.21613082613521	32.20172180037389	65.71921606625456	4.131471756033845	-31.55603754186359	6.973022534893289	4.138342765280723
32768	47.32496860565834	17.48635625663701	68.05582478359244	4.170687442308354	-32.53672094472586	5.903270117556758	4.174527850899137
77824	37.552564791141776	-6.791738718628039	62.826457646144135	4.209903128582864	-53.17407573985838	-14.618749519053429	4.210288425355801
110592	32.13802050155209	6.949478466927758	55.50619695404448	4.249118814857374	-28.047503806508757	-2.559550096437474	4.250928681514109
114688	33.224643635134726	8.427228258532523	49.75686485246665	4.288334501131884	-13.58378624857005	0.5956808439865264	4.28761997795826
118784	13.262749657650602	-13.750006877526175	32.234961064880764	4.327550187406394	-36.36562811732347	-10.466790576884016	4.329858445296539
