[S III] Delta T	T1	T2	T3
-4901.9607843137255	374680344.6070528	301584349.2834893	349119901.9043517
-4705.882352941177	318510883.97534966	266042602.99824238	220078765.99515265
-4509.803921568628	248875502.43725288	189913930.93312067	172338735.09128398
-4313.725490196079	224989266.64622432	149147574.06858334	146526341.81401277
-4117.64705882353	165851158.91760403	124816034.05046245	121848041.37096436
-3921.5686274509803	144601470.86867225	65143079.211715944	97387749.29166266
-3725.490196078431	140097859.14633095	105216979.62234414	68806733.93349963
-3529.411764705882	123954421.99170348	70463768.12399401	85276671.02967118
-3333.333333333333	131061953.55796298	70979397.90596284	112983944.47897652
-3137.254901960784	130476224.09858318	88944345.47398609	126568684.02334927
-2941.176470588235	154786279.07485664	60936527.86192958	111335255.31660995
-2745.098039215686	168660304.4965837	121606594.4718768	128395507.01958215
-2549.0196078431372	178738479.49515972	152442916.2270266	139007385.45587888
-2352.9411764705883	217309999.27488217	113459817.71140781	163991879.6482991
-2156.862745098039	286280218.193613	171235787.35071114	143658300.25008172
-1960.78431372549	377650309.9310093	164164932.57425416	240319006.5556408
-1764.705882352941	551914837.3155657	236967777.98274946	250337263.75390136
-1568.627450980392	787146700.6764201	229693639.11406183	215587834.24150792
-1372.5490196078429	1337995211.5059168	304835273.7181489	258429611.9740204
-1176.4705882352937	2457804469.6748166	509000171.9319929	412818441.94845265
-980.3921568627447	4635180059.388382	1323191301.7827098	1066288595.5331367
-784.3137254901958	9378774122.091076	3875683573.9882755	3051481370.662626
-588.2352941176468	18718117090.107185	12012573960.762325	8146167067.701229
-392.1568627450979	34708423363.194534	35339717248.4012	27583101269.952934
-196.07843137254895	54349087247.898384	78152723535.81137	82161927591.53638
0.0	69444985533.1249	106168808323.00024	125480900512.88446
196.0784313725494	56865659098.29333	77258545580.88516	81637820046.4318
392.1568627450988	35772036359.95524	34214012829.309807	26613680800.591366
588.2352941176478	21008768265.306767	12979036372.332077	7745385106.630486
784.3137254901967	13197567935.249044	5809697595.399313	3201159319.0336905
980.3921568627457	9278270076.015509	3529519090.37564	1573669592.5662413
1176.4705882352946	7535243468.36569	3003412181.084263	1141390107.634926
1372.5490196078435	6537598083.441788	2535129968.493514	995499786.0353706
1568.6274509803925	5924228263.221359	2502750032.0568647	917701893.8850191
1764.7058823529414	5023285570.527402	2141629805.4583993	702167141.3881423
1960.7843137254904	4206832702.304386	1542076676.648253	625790992.796263
2156.8627450980393	3458169275.335575	1366321696.9751344	432507743.6068114
2352.9411764705887	2583435448.7483153	800140182.8807836	370082497.94975185
2549.019607843138	1885509453.4651015	507626281.4588859	277623681.7770654
2745.098039215687	1426476302.5309432	379276519.86267185	176648791.89788365
2941.176470588236	989255336.4889324	236055003.87134814	192612697.8162516
3137.254901960785	676315864.4756266	194963347.53317717	216382357.0552168
3333.333333333334	547061673.464595	139521141.0224157	125724517.85563405
3529.411764705883	376548129.4272234	90887098.68750273	102613428.15787593
3725.490196078432	277661034.5632884	74847213.06567448	60057787.13170053
3921.568627450981	240482334.85435724	70991278.87978351	65654562.80388427
4117.64705882353	201577045.51245093	84281486.51588362	77443608.16079657
4313.725490196079	235499367.23471248	119629275.92745915	157254170.60234052
4509.803921568628	248187443.28402114	110686145.0530712	128968373.88797063
4705.882352941177	264303078.6852917	112224264.45940061	107273912.09716237
4901.9607843137255	308753521.5685919	133139575.76865247	126331366.8795445
