Y Upper Quartile	Count	Y Median	X Center	Y Mean	Y Std	X Mean	Y Lower Quartile
nan	0	nan	2.0294117647058822	nan	nan	nan	nan
nan	0	nan	2.0882352941176467	nan	nan	nan	nan
nan	0	nan	2.1470588235294117	nan	nan	nan	nan
nan	0	nan	2.2058823529411766	nan	nan	nan	nan
nan	0	nan	2.264705882352941	nan	nan	nan	nan
nan	0	nan	2.3235294117647056	nan	nan	nan	nan
nan	0	nan	2.3823529411764706	nan	nan	nan	nan
nan	0	nan	2.4411764705882355	nan	nan	nan	nan
nan	0	nan	2.5	nan	nan	nan	nan
nan	0	nan	2.5588235294117645	nan	nan	nan	nan
nan	0	nan	2.6176470588235294	nan	nan	nan	nan
nan	0	nan	2.6764705882352944	nan	nan	nan	nan
nan	0	nan	2.735294117647059	nan	nan	nan	nan
nan	0	nan	2.7941176470588234	nan	nan	nan	nan
nan	0	nan	2.852941176470588	nan	nan	nan	nan
7966.314787645177	131072	7855.03566420762	2.9117647058823533	7855.035664207621	111.27912343755679	2.9359288029403467	7743.756540770063
nan	0	nan	2.9705882352941178	nan	nan	nan	nan
nan	0	nan	3.0294117647058822	nan	nan	nan	nan
8127.688559872874	393216	7950.97025909733	3.0882352941176467	7979.761586895493	124.62886264523127	3.087863407099024	7870.807496043668
8164.890799387212	196608	7990.848831292367	3.147058823529412	8041.460677938002	87.7478490661683	3.125799531213957	7968.642403134425
8054.6127099308505	327680	7995.083631935188	3.2058823529411766	8030.690075970788	74.79743134873782	3.2059165764752153	7986.512133935385
8206.850706945983	131072	8158.749636773715	3.264705882352941	8158.749636773718	48.101070172268	3.271290941421981	8110.648566601447
8287.356644698957	196608	8249.81551172087	3.3235294117647056	8223.654915379637	65.3644263401306	3.321796275107715	8133.79258971909
8246.964095292089	262144	8215.996170970015	3.3823529411764706	8223.25859470887	40.9918979020084	3.3924030889352355	8192.290670386796
8263.086337130067	262144	8216.72192597374	3.4411764705882355	8213.006584846462	66.79976304371839	3.4376872324145826	8166.642173690128
8176.6385724955635	65536	8176.6385724955635	3.5	8176.638572495563	9.094947017729282e-13	3.528532681731213	8176.6385724955635
8285.888581880097	131072	8281.237865721378	3.5588235294117645	8281.237865721378	4.650716158719661	3.5689854507918137	8276.587149562658
8354.961420178048	262144	8302.05030300421	3.617647058823529	8292.404769677922	88.68672170440485	3.6196806828173185	8239.493652504083
8207.834163210997	65536	8207.834163210997	3.6764705882352944	8207.834163210997	0.0	3.660526535484549	8207.834163210997
8384.254873800428	65536	8384.254873800428	3.735294117647059	8384.254873800428	0.0	3.756629562262908	8384.254873800428
8473.75613719431	65536	8473.75613719431	3.7941176470588234	8473.756137194314	3.637978807091713e-12	3.8199472648564874	8473.75613719431
8587.04581171822	131072	8541.433488845152	3.852941176470588	8541.433488845154	45.61232287306757	3.8473507140089485	8495.821165972086
8466.437423470854	65536	8466.437423470854	3.9117647058823533	8466.437423470854	0.0	3.9240486420489367	8466.437423470854
nan	0	nan	3.9705882352941178	nan	nan	nan	nan
nan	0	nan	4.029411764705882	nan	nan	nan	nan
nan	0	nan	4.088235294117647	nan	nan	nan	nan
nan	0	nan	4.147058823529411	nan	nan	nan	nan
nan	0	nan	4.205882352941176	nan	nan	nan	nan
nan	0	nan	4.264705882352941	nan	nan	nan	nan
nan	0	nan	4.3235294117647065	nan	nan	nan	nan
nan	0	nan	4.382352941176471	nan	nan	nan	nan
nan	0	nan	4.4411764705882355	nan	nan	nan	nan
nan	0	nan	4.5	nan	nan	nan	nan
nan	0	nan	4.5588235294117645	nan	nan	nan	nan
nan	0	nan	4.617647058823529	nan	nan	nan	nan
nan	0	nan	4.6764705882352935	nan	nan	nan	nan
nan	0	nan	4.735294117647059	nan	nan	nan	nan
nan	0	nan	4.794117647058823	nan	nan	nan	nan
nan	0	nan	4.852941176470589	nan	nan	nan	nan
nan	0	nan	4.911764705882353	nan	nan	nan	nan
nan	0	nan	4.970588235294118	nan	nan	nan	nan
