[N II] Delta T	T1	T2	T3
-4901.9607843137255	4381108.7753793625	9580759.798198681	11338996.70309281
-4705.882352941177	9072866.707286548	8050176.039414821	47760358.36284711
-4509.803921568628	10856430.062007463	1673517.1965716402	26573716.893619694
-4313.725490196079	7869436.302861128	18846304.935137823	11199399.582871307
-4117.64705882353	11436851.764640775	7133315.1778333	26803333.525766682
-3921.5686274509803	19812673.203325044	7235540.594417335	16457283.061493378
-3725.490196078431	15877463.273689106	7498473.785669044	29058436.277189508
-3529.411764705882	15843717.95272179	8477719.207657292	56355886.78216903
-3333.333333333333	23332950.7073455	6783307.615604337	38246666.36601178
-3137.254901960784	17866890.670919467	9525083.123347538	28421918.528483577
-2941.176470588235	30242300.186346333	20807081.798840024	59060148.70510263
-2745.098039215686	47937778.628580965	13026433.549674213	39926803.19910508
-2549.0196078431372	73113773.46554793	10641914.477518383	82611010.95768374
-2352.9411764705883	119022396.38375111	33869062.04347247	95512594.80470607
-2156.862745098039	144204469.4976327	44462368.14406422	88777020.83527708
-1960.78431372549	207383399.27699527	57443368.77272852	99541244.49423788
-1764.705882352941	320305696.55644923	74723212.3825449	143348367.56103063
-1568.627450980392	517545944.6649656	166278148.55795777	252493883.9936033
-1372.5490196078429	773301214.5883584	271211251.4120432	316588883.6224622
-1176.4705882352937	1221605555.5961642	465884581.09590966	449864492.86934876
-980.3921568627447	1550855723.788986	932502503.8736153	696940766.6302084
-784.3137254901958	2062316494.153633	1686961984.1847937	1247344420.8370175
-588.2352941176468	2857576423.7431526	2993927050.888119	2470122489.22543
-392.1568627450979	3402464600.508158	4568740154.862012	4109769750.3124614
-196.07843137254895	3786742405.2925363	5954344729.414859	6274618834.396626
0.0	4166791580.438466	6630672773.946578	7437986872.51645
196.0784313725494	3977085064.672239	5742679445.016381	6273843895.717188
392.1568627450988	3415375273.204214	4380616976.815141	3789821914.7664957
588.2352941176478	2965756410.4711075	2704132632.2996373	2271118556.2323565
784.3137254901967	2237143029.782242	1533680066.7404375	948555833.042796
980.3921568627457	1598744655.3103282	766049129.7078353	525764646.8504102
1176.4705882352946	1140359894.4609118	352766290.4368419	209285637.94922546
1372.5490196078435	699615844.1169313	128643213.10299486	153746640.69568077
1568.6274509803925	444399960.82661813	93332541.30314662	52528524.435947865
1764.7058823529414	283212960.0771192	39999481.97748116	43132811.63663068
1960.7843137254904	163770647.682877	3803116.3261314956	36443273.85752408
2156.8627450980393	91337383.86401789	8131933.994697612	33337795.664875597
2352.9411764705887	58540456.141853444	7333233.434751474	17990017.924871996
2549.019607843138	31174558.470245637	7410526.802114815	19607569.56403374
2745.098039215687	29570517.755883142	0.0	18789551.461404268
2941.176470588236	8139581.448185488	0.0	5158398.133359003
3137.254901960785	12541286.745612467	0.0	0.0
3333.333333333334	8358677.374810362	0.0	9381104.889936574
3529.411764705883	6750471.234122973	0.0	18548286.168688674
3725.490196078432	4530640.959387442	0.0	0.0
3921.568627450981	7295675.936321501	0.0	8597146.95480163
4117.64705882353	2167848.3791906736	0.0	5808508.083587165
4313.725490196079	2200911.5372316856	0.0	0.0
4509.803921568628	0.0	0.0	9001936.046523102
4705.882352941177	2916884.4587439606	1825882.5982199651	0.0
4901.9607843137255	1300895.2870629488	0.0	4499692.148078075
