T([S III])	T1	T2	T3
5098.0392156862745	64004326.75	0.0	0.0
5294.117647058823	0.0	0.0	0.0
5490.196078431372	0.0	0.0	0.0
5686.274509803921	10120183.515625	0.0	0.0
5882.35294117647	5348827.92578125	0.0	0.0
6078.431372549019	33275806.34765625	0.0	0.0
6274.509803921568	39200526.9609375	0.0	0.0
6470.588235294118	189192677.21875	0.0	0.0
6666.666666666667	194115706.19140625	0.0	0.0
6862.745098039216	400949823.2265625	0.0	0.0
7058.823529411765	845626504.1914062	0.0	0.0
7254.901960784314	2567579849.3789062	0.0	0.0
7450.980392156863	8467411700.082031	0.0	0.0
7647.058823529413	32572564331.351562	0.0	0.0
7843.137254901962	98197120528.92188	15047520132.5	1365677679.5
8039.2156862745105	203997731094.6328	103454876448.125	32434659011.25
8235.29411764706	260274138965.4453	305622482404.0	185571966024.75
8431.372549019608	92179037716.57031	246077385749.5	245029880542.25
8627.450980392157	9765605479.3125	55468706928.375	151506113008.0
8823.529411764706	1174802480.234375	6263834214.25	70937811430.25
9019.607843137255	455220435.4375	411023220.5	16013905419.0
9215.686274509804	181211660.1171875	311885906.75	2544099729.0
9411.764705882353	179554136.96875	488153640.5	1800983124.0
9607.843137254902	97484307.46875	129143909.0	1236166024.75
9803.921568627451	0.0	0.0	919460758.25
10000.0	4791201.8984375	132020230.0	1075072939.5
10196.078431372549	0.0	0.0	570382446.0
10392.1568627451	0.0	0.0	203008329.0
10588.235294117649	21609896.75	0.0	200001222.0
10784.313725490198	0.0	0.0	0.0
10980.392156862747	0.0	0.0	0.0
11176.470588235296	0.0	0.0	0.0
11372.549019607844	0.0	0.0	0.0
11568.627450980393	0.0	0.0	271166820.0
11764.705882352942	0.0	0.0	179467102.75
11960.784313725491	0.0	0.0	0.0
12156.86274509804	0.0	0.0	0.0
12352.94117647059	0.0	0.0	0.0
12549.019607843138	0.0	0.0	0.0
12745.098039215687	0.0	0.0	0.0
12941.176470588236	0.0	0.0	0.0
13137.254901960785	0.0	0.0	0.0
13333.333333333334	0.0	0.0	0.0
13529.411764705883	0.0	0.0	0.0
13725.490196078432	0.0	0.0	0.0
13921.56862745098	0.0	0.0	0.0
14117.64705882353	0.0	0.0	0.0
14313.725490196079	0.0	0.0	0.0
14509.803921568628	0.0	0.0	0.0
14705.882352941177	0.0	0.0	0.0
14901.960784313726	0.0	0.0	0.0
