Y Median	X Mean	Count	Y Std	Y Mean	Y Upper Quartile	Y Lower Quartile	X Center
nan	nan	0	nan	nan	nan	nan	3.6216678344652173
nan	nan	0	nan	nan	nan	nan	3.660883520739727
nan	nan	0	nan	nan	nan	nan	3.700099207014237
nan	nan	0	nan	nan	nan	nan	3.7393148932887468
nan	nan	0	nan	nan	nan	nan	3.778530579563257
nan	nan	0	nan	nan	nan	nan	3.8177462658377666
nan	nan	0	nan	nan	nan	nan	3.856961952112276
nan	nan	0	nan	nan	nan	nan	3.896177638386786
nan	nan	0	nan	nan	nan	nan	3.9353933246612955
nan	nan	0	nan	nan	nan	nan	3.9746090109358057
nan	nan	0	nan	nan	nan	nan	4.013824697210316
nan	nan	0	nan	nan	nan	nan	4.053040383484825
nan	nan	0	nan	nan	nan	nan	4.092256069759335
nan	nan	0	nan	nan	nan	nan	4.131471756033845
nan	nan	0	nan	nan	nan	nan	4.170687442308354
nan	nan	0	nan	nan	nan	nan	4.209903128582864
nan	nan	0	nan	nan	nan	nan	4.249118814857374
nan	nan	0	nan	nan	nan	nan	4.288334501131884
nan	nan	0	nan	nan	nan	nan	4.327550187406394
nan	nan	0	nan	nan	nan	nan	4.366765873680904
nan	nan	0	nan	nan	nan	nan	4.405981559955413
nan	nan	0	nan	nan	nan	nan	4.445197246229924
28.700256379284838	4.470783651807236	2	524.551169313334	28.700256379284838	290.9758410359518	-233.57532827738214	4.4844129325044335
nan	nan	0	nan	nan	nan	nan	4.523628618778943
822.6600001156603	4.559806758330522	1	0.0	822.6600001156603	822.6600001156603	822.6600001156603	4.562844305053453
99.77466191667372	4.60566003157245	10	521.9644710485907	214.35570307129692	578.9362581507467	-216.75238758712158	4.6020599913279625
54.71791595981449	4.645222751334321	29	872.806777445272	116.68077814230331	617.0851250668529	-477.71906411389864	4.641275677602472
156.2532911523631	4.684506317503536	151	1216.0346719882468	68.84626600021689	635.8748867776012	-654.1271788274476	4.680491363876982
30.749683911149987	4.723684636476035	483	924.362543896052	3.4887587463089598	584.6053864196501	-464.5348242169034	4.7197070501514915
23.863357190648458	4.761891281360867	1276	910.9449863915661	-10.60694923235381	571.1952532875612	-516.8535044846517	4.758922736426001
-27.79098112883912	4.800006487812973	2401	933.3798384374684	-36.77187157862226	535.961252949759	-559.1236123214003	4.798138422700512
13.75492634629336	4.838177481436501	3525	885.0267737631214	-11.896169979412313	512.9004445798764	-527.8764791518806	4.837354108975021
-1.6557223532408898	4.876798770593356	4242	835.9797198678601	-25.924239409457247	502.37482162574224	-515.3256407136835	4.876569795249531
-24.679023994383897	4.916047507704756	5082	831.1477127637907	-35.364659529380745	492.5531299129998	-517.6401952056308	4.915785481524041
-15.119614755181829	4.954849600335764	5099	791.788554360778	-45.88585246773007	452.85709209324887	-515.8879971499723	4.955001167798551
-40.51754651303963	4.994194968758863	4927	766.5261615706222	-52.169119803536915	415.2793337485191	-506.56140251131546	4.994216854073061
-17.646831845861016	5.033489966551248	5204	758.7376975162649	-31.354131605511544	421.53375417308825	-460.9249180013535	5.033432540347571
-6.369130384900927	5.07182502526727	4757	749.6135677718224	-29.28080568242021	417.2024029147851	-442.27363178259657	5.07264822662208
-23.288797800415523	5.110919454970368	3426	675.3247340805505	-48.15656476569442	354.81502839417544	-426.12614346240844	5.11186391289659
-22.56885692682772	5.150162125151404	2701	593.754251093289	-56.85088959123572	294.00492190835575	-376.94159833930644	5.1510795991711
-36.82755228611677	5.190327375542097	2331	571.8186549051202	-63.412156522351005	278.5716048769982	-355.0785335506698	5.190295285445609
-28.88910677394051	5.229686312074145	2356	531.3894925368975	-54.3946896703685	258.01480897419924	-316.2094213826531	5.229510971720119
-32.707676839621854	5.268062598190951	2132	561.8801765372182	-82.11668880394542	231.60279975456478	-318.34591798240035	5.268726657994629
-22.72016812234324	5.30772364729515	1973	583.5575126407921	-70.92656234818756	218.1988723118302	-287.78238702059207	5.307942344269139
-33.89933916000882	5.347094096262375	1711	613.5749771544306	-45.97425311966804	258.80400343329075	-293.8203337499517	5.347158030543649
-27.76353295838635	5.3851914620608765	1508	740.3203777965992	-101.47541142892244	255.75760725205464	-343.12463123112684	5.3863737168181585
-6.63993200189725	5.422858879633294	823	886.8694445423602	-143.25273732770958	286.8173968323663	-358.2136719911059	5.425589403092668
1.6351424377444346	5.460306182237317	271	877.304672341466	-76.82588391254883	298.9950589717246	-362.22683473568486	5.464805089367179
-34.575699244716816	5.499587606913724	49	820.3320105416067	-95.8303701090465	306.69519164834674	-348.32179264872684	5.504020775641688
258.3532646894546	5.537153095639309	11	300.30964517463417	152.2375804355589	383.14127549288605	-113.32027945715436	5.543236461916198
212.91455818671602	5.573362558685064	1	0.0	212.91455818671602	212.91455818671602	212.91455818671602	5.582452148190708
