Y Median	X Mean	X Center	Y Lower Quartile	Y Mean	Count	Y Upper Quartile	Y Std
nan	nan	3.6216678344652173	nan	nan	0	nan	nan
nan	nan	3.660883520739727	nan	nan	0	nan	nan
nan	nan	3.700099207014237	nan	nan	0	nan	nan
nan	nan	3.7393148932887468	nan	nan	0	nan	nan
nan	nan	3.778530579563257	nan	nan	0	nan	nan
nan	nan	3.8177462658377666	nan	nan	0	nan	nan
nan	nan	3.856961952112276	nan	nan	0	nan	nan
nan	nan	3.896177638386786	nan	nan	0	nan	nan
nan	nan	3.9353933246612955	nan	nan	0	nan	nan
nan	nan	3.9746090109358057	nan	nan	0	nan	nan
nan	nan	4.013824697210316	nan	nan	0	nan	nan
nan	nan	4.053040383484825	nan	nan	0	nan	nan
nan	nan	4.092256069759335	nan	nan	0	nan	nan
nan	nan	4.131471756033845	nan	nan	0	nan	nan
nan	nan	4.170687442308354	nan	nan	0	nan	nan
nan	nan	4.209903128582864	nan	nan	0	nan	nan
nan	nan	4.249118814857374	nan	nan	0	nan	nan
nan	nan	4.288334501131884	nan	nan	0	nan	nan
nan	nan	4.327550187406394	nan	nan	0	nan	nan
nan	nan	4.366765873680904	nan	nan	0	nan	nan
nan	nan	4.405981559955413	nan	nan	0	nan	nan
nan	nan	4.445197246229924	nan	nan	0	nan	nan
nan	nan	4.4844129325044335	nan	nan	0	nan	nan
nan	nan	4.523628618778943	nan	nan	0	nan	nan
nan	nan	4.562844305053453	nan	nan	0	nan	nan
nan	nan	4.6020599913279625	nan	nan	0	nan	nan
nan	nan	4.641275677602472	nan	nan	0	nan	nan
nan	nan	4.680491363876982	nan	nan	0	nan	nan
nan	nan	4.7197070501514915	nan	nan	0	nan	nan
nan	nan	4.758922736426001	nan	nan	0	nan	nan
-0.009250460747222352	4.780533479830035	4.798138422700512	-0.009250460747222352	-0.008598342357752998	1824	-0.009250460747222352	0.002074715575345938
0.0012626880568946625	4.8246448659278105	4.837354108975021	0.0012626880568946625	0.0012626880568946627	10770	0.0012626880568946625	2.168404344971009e-19
nan	nan	4.876569795249531	nan	nan	0	nan	nan
nan	nan	4.915785481524041	nan	nan	0	nan	nan
nan	nan	4.955001167798551	nan	nan	0	nan	nan
nan	nan	4.994216854073061	nan	nan	0	nan	nan
-0.0022438245393981322	5.024751427447072	5.033432540347571	-0.0022438245393981322	-0.002538521329219121	19672	-0.0022438245393981322	0.0007831263664155269
-0.00037719998596807893	5.057573325769548	5.07264822662208	-0.00037719998596807893	-0.0003771999859680789	6631	-0.00037719998596807893	5.421010862427522e-20
nan	nan	5.11186391289659	nan	nan	0	nan	nan
0.005591244634651114	5.163441271438446	5.1510795991711	0.005591244634651114	0.0055912446346511125	6998	0.005591244634651114	1.734723475976807e-18
nan	nan	5.190295285445609	nan	nan	0	nan	nan
nan	nan	5.229510971720119	nan	nan	0	nan	nan
0.004106550226688364	5.281023903410437	5.268726657994629	0.004106550226688364	0.004106550226688364	10571	0.004106550226688364	0.0
-0.0005256168658843138	5.30446847274736	5.307942344269139	-0.0005256168658843138	-0.0005256168658843138	318	-0.0005256168658843138	0.0
nan	nan	5.347158030543649	nan	nan	0	nan	nan
-0.0003756178351274477	5.403331284438176	5.3863737168181585	-0.0003756178351274477	-0.0003756178351274477	281	-0.0003756178351274477	0.0
nan	nan	5.425589403092668	nan	nan	0	nan	nan
nan	nan	5.464805089367179	nan	nan	0	nan	nan
nan	nan	5.504020775641688	nan	nan	0	nan	nan
nan	nan	5.543236461916198	nan	nan	0	nan	nan
nan	nan	5.582452148190708	nan	nan	0	nan	nan
