[N II] Delta T	T1	T2	T3
-4901.9607843137255	0.0	0.0	0.0
-4705.882352941177	0.0	0.0	0.0
-4509.803921568628	0.0	0.0	0.0
-4313.725490196079	0.0	0.0	0.0
-4117.64705882353	0.0	0.0	0.0
-3921.5686274509803	0.0	0.0	0.0
-3725.490196078431	0.0	0.0	0.0
-3529.411764705882	3690661.872593951	0.0	0.0
-3333.333333333333	0.0	0.0	0.0
-3137.254901960784	0.0	0.0	0.0
-2941.176470588235	4099048.2081562895	0.0	0.0
-2745.098039215686	0.0	0.0	0.0
-2549.0196078431372	0.0	0.0	0.0
-2352.9411764705883	0.0	0.0	20578555.37162108
-2156.862745098039	3545992.9987371443	0.0	0.0
-1960.78431372549	21906784.29944968	0.0	17456742.820301067
-1764.705882352941	12594892.879633311	0.0	16397456.948643997
-1568.627450980392	29985599.913725458	0.0	33692810.930569336
-1372.5490196078429	81236650.19676626	7294919.759684727	84847094.05074808
-1176.4705882352937	143700438.11776048	5184415.250550663	160431807.38415396
-980.3921568627447	372101610.3273505	21805404.303050887	142771206.45732394
-784.3137254901958	1089833442.054206	137179967.42726883	284112520.5967152
-588.2352941176468	2242145580.5598927	929893346.9579254	717168408.1084428
-392.1568627450979	4265275991.7526784	3404532343.0204515	3034187747.184656
-196.07843137254895	6937327236.788282	9027766809.16417	9124535152.047356
0.0	8524958427.771606	13518140101.55809	14045113182.420599
196.0784313725494	6865951311.261393	9369853659.689964	8721661944.156443
392.1568627450988	4513315855.142212	2992480096.002866	2062579913.2452176
588.2352941176478	2393284386.682107	618677370.2306617	435953384.5012029
784.3137254901967	937628353.0350308	119743668.50091004	70528616.82901758
980.3921568627457	335415847.2238858	6796040.91955285	0.0
1176.4705882352946	135391340.04082894	0.0	0.0
1372.5490196078435	48395574.259889886	0.0	0.0
1568.6274509803925	4418519.4849371705	0.0	0.0
1764.7058823529414	3928596.3156665624	0.0	0.0
1960.7843137254904	0.0	0.0	0.0
2156.8627450980393	4401945.352736708	0.0	0.0
2352.9411764705887	0.0	0.0	0.0
2549.019607843138	0.0	0.0	0.0
2745.098039215687	0.0	0.0	0.0
2941.176470588236	0.0	0.0	0.0
3137.254901960785	0.0	0.0	0.0
3333.333333333334	0.0	0.0	0.0
3529.411764705883	0.0	0.0	0.0
3725.490196078432	0.0	0.0	0.0
3921.568627450981	0.0	0.0	0.0
4117.64705882353	0.0	0.0	0.0
4313.725490196079	0.0	0.0	0.0
4509.803921568628	0.0	0.0	0.0
4705.882352941177	0.0	0.0	0.0
4901.9607843137255	0.0	0.0	0.0
