X Center	Count	Y Upper Quartile	Y Std	Y Median	Y Mean	Y Lower Quartile	X Mean
3.6216678344652173	0	nan	nan	nan	nan	nan	nan
3.660883520739727	0	nan	nan	nan	nan	nan	nan
3.700099207014237	0	nan	nan	nan	nan	nan	nan
3.7393148932887468	0	nan	nan	nan	nan	nan	nan
3.778530579563257	0	nan	nan	nan	nan	nan	nan
3.8177462658377666	0	nan	nan	nan	nan	nan	nan
3.856961952112276	0	nan	nan	nan	nan	nan	nan
3.896177638386786	0	nan	nan	nan	nan	nan	nan
3.9353933246612955	0	nan	nan	nan	nan	nan	nan
3.9746090109358057	0	nan	nan	nan	nan	nan	nan
4.013824697210316	0	nan	nan	nan	nan	nan	nan
4.053040383484825	0	nan	nan	nan	nan	nan	nan
4.092256069759335	0	nan	nan	nan	nan	nan	nan
4.131471756033845	0	nan	nan	nan	nan	nan	nan
4.170687442308354	0	nan	nan	nan	nan	nan	nan
4.209903128582864	0	nan	nan	nan	nan	nan	nan
4.249118814857374	0	nan	nan	nan	nan	nan	nan
4.288334501131884	0	nan	nan	nan	nan	nan	nan
4.327550187406394	0	nan	nan	nan	nan	nan	nan
4.366765873680904	0	nan	nan	nan	nan	nan	nan
4.405981559955413	0	nan	nan	nan	nan	nan	nan
4.445197246229924	0	nan	nan	nan	nan	nan	nan
4.4844129325044335	0	nan	nan	nan	nan	nan	nan
4.523628618778943	0	nan	nan	nan	nan	nan	nan
4.562844305053453	0	nan	nan	nan	nan	nan	nan
4.6020599913279625	0	nan	nan	nan	nan	nan	nan
4.641275677602472	0	nan	nan	nan	nan	nan	nan
4.680491363876982	0	nan	nan	nan	nan	nan	nan
4.7197070501514915	0	nan	nan	nan	nan	nan	nan
4.758922736426001	654	66.96859859530014	63.27748061235485	-43.42893018833638	-9.80974831115719	-71.19012698914412	4.7647877591495424
4.798138422700512	3006	33.82693933927112	49.99370621520749	-6.1355593131738715	-4.226414844545145	-49.097283561295626	4.797943287766824
4.837354108975021	3423	16.55602705597994	50.85560483672597	-8.878260399138526	-26.171566380585368	-56.31567548816383	4.832478280435166
4.876569795249531	4311	47.6790900632368	48.435746766169295	10.492228047285607	1.502328797597682	-41.03795438581619	4.878720712860694
4.915785481524041	4670	26.703495542191376	36.652782086843175	-0.9088809626209695	-1.1332221233398974	-19.85962663133978	4.914595891232782
4.955001167798551	6645	15.98658165136112	38.60405277853564	7.4812137986064045	-4.17331123810589	-26.80411886253387	4.951054428177954
4.994216854073061	4065	34.21115005749016	49.2362590747636	10.826630307139567	2.646123252577515	-24.984278738249486	4.996527179488093
5.033432540347571	6792	29.358420855305667	47.070705686218965	-11.439730455616882	-5.518586438114192	-44.16481020234096	5.033755577710972
5.07264822662208	4111	26.406010562690426	37.22819215199578	-1.1149178841769753	3.8480928526832248	-29.600166487523893	5.0746343804522915
5.11186391289659	3529	6.296984163598609	26.788613413448264	-4.434137637488675	-16.63630764578817	-34.189903062382655	5.110148960955396
5.1510795991711	2533	10.93705690843126	23.000136952251662	0.520244246805305	-0.6690417590892721	-22.22248583430155	5.153251845938376
5.190295285445609	2254	19.351695896526508	17.58995466592746	9.74597968278249	7.915129488305592	-8.867548669824828	5.184931469855285
5.229510971720119	2285	37.75965630196515	30.28974345474765	-5.38086064140407	0.395485613560861	-20.670078619028573	5.229712600793912
5.268726657994629	2419	13.271114442874023	17.283520382238656	9.03193476773231	7.206636613902808	7.280873277726641	5.269703281143918
5.307942344269139	2258	15.796498078210789	16.251660236416622	11.746576347741211	5.113844393952799	2.537660261217752	5.307356617018323
5.347158030543649	1845	19.0809571541904	22.711930733569375	-0.5760887775468291	1.803360008283349	-3.507256641469212	5.352208001974031
5.3863737168181585	2099	9.92669254868997	13.955307865528308	0.48240410620201146	-0.7749566987384856	-11.432890426111044	5.389725671022707
5.425589403092668	166	-18.754978707349437	0.0	-18.754978707349437	-18.754978707349437	-18.754978707349437	5.406959828004006
5.464805089367179	0	nan	nan	nan	nan	nan	nan
5.504020775641688	0	nan	nan	nan	nan	nan	nan
5.543236461916198	0	nan	nan	nan	nan	nan	nan
5.582452148190708	0	nan	nan	nan	nan	nan	nan
