[S III] Delta T	T1	T2	T3
-4901.9607843137255	0.0	0.0	0.0
-4705.882352941177	20202322.565325834	0.0	0.0
-4509.803921568628	196394151.2181067	0.0	0.0
-4313.725490196079	58776369.22172342	0.0	0.0
-4117.64705882353	0.0	0.0	0.0
-3921.5686274509803	0.0	0.0	0.0
-3725.490196078431	0.0	0.0	0.0
-3529.411764705882	0.0	0.0	0.0
-3333.333333333333	0.0	0.0	0.0
-3137.254901960784	0.0	0.0	0.0
-2941.176470588235	0.0	0.0	0.0
-2745.098039215686	0.0	0.0	0.0
-2549.0196078431372	0.0	0.0	0.0
-2352.9411764705883	0.0	0.0	0.0
-2156.862745098039	0.0	0.0	0.0
-1960.78431372549	0.0	0.0	0.0
-1764.705882352941	38204345.20282443	0.0	0.0
-1568.627450980392	0.0	0.0	0.0
-1372.5490196078429	0.0	0.0	0.0
-1176.4705882352937	0.0	0.0	0.0
-980.3921568627447	0.0	0.0	0.0
-784.3137254901958	0.0	0.0	630508063.3595781
-588.2352941176468	325133198.6090085	0.0	0.0
-392.1568627450979	527836969.561054	0.0	0.0
-196.07843137254895	13883476628.918623	0.0	3608093127.582143
0.0	735362335756.6702	791578627358.2916	763682824588.4454
196.0784313725494	11529757446.106909	0.0	0.0
392.1568627450988	2498508447.219912	0.0	0.0
588.2352941176478	1389550873.7981627	0.0	0.0
784.3137254901967	682705205.2404139	0.0	0.0
980.3921568627457	715162351.8920641	0.0	0.0
1176.4705882352946	462205180.8843517	0.0	0.0
1372.5490196078435	305612823.5410868	0.0	0.0
1568.6274509803925	67423276.27100565	0.0	0.0
1764.7058823529414	55616707.37843175	0.0	0.0
1960.7843137254904	31946073.784233984	0.0	0.0
2156.8627450980393	0.0	0.0	0.0
2352.9411764705887	0.0	0.0	0.0
2549.019607843138	0.0	0.0	0.0
2745.098039215687	0.0	0.0	0.0
2941.176470588236	0.0	0.0	0.0
3137.254901960785	0.0	0.0	0.0
3333.333333333334	0.0	0.0	0.0
3529.411764705883	0.0	0.0	0.0
3725.490196078432	0.0	0.0	0.0
3921.568627450981	0.0	0.0	0.0
4117.64705882353	0.0	0.0	0.0
4313.725490196079	0.0	0.0	0.0
4509.803921568628	20091707.150890864	0.0	0.0
4705.882352941177	0.0	0.0	0.0
4901.9607843137255	0.0	0.0	0.0
