ew-He_II-4686
ew-O_III-5592
ew-DIB-5781
ew-He_II-5785
ew-C_IV-5801
ew-C_IV-5812
ew-N_III-5896
ew-N_III-5901
ew-N_III-5919
ew-DIB-6278
ew-N_III-6634
ew-Si_III-6663
