Y Upper Quartile	X Mean	Y Median	Count	Y Mean	Y Std	X Center	Y Lower Quartile
nan	nan	nan	0	nan	nan	3.6216678344652173	nan
nan	nan	nan	0	nan	nan	3.660883520739727	nan
nan	nan	nan	0	nan	nan	3.700099207014237	nan
nan	nan	nan	0	nan	nan	3.7393148932887468	nan
nan	nan	nan	0	nan	nan	3.778530579563257	nan
nan	nan	nan	0	nan	nan	3.8177462658377666	nan
nan	nan	nan	0	nan	nan	3.856961952112276	nan
nan	nan	nan	0	nan	nan	3.896177638386786	nan
nan	nan	nan	0	nan	nan	3.9353933246612955	nan
nan	nan	nan	0	nan	nan	3.9746090109358057	nan
nan	nan	nan	0	nan	nan	4.013824697210316	nan
nan	nan	nan	0	nan	nan	4.053040383484825	nan
nan	nan	nan	0	nan	nan	4.092256069759335	nan
nan	nan	nan	0	nan	nan	4.131471756033845	nan
nan	nan	nan	0	nan	nan	4.170687442308354	nan
nan	nan	nan	0	nan	nan	4.209903128582864	nan
nan	nan	nan	0	nan	nan	4.249118814857374	nan
nan	nan	nan	0	nan	nan	4.288334501131884	nan
nan	nan	nan	0	nan	nan	4.327550187406394	nan
nan	nan	nan	0	nan	nan	4.366765873680904	nan
nan	nan	nan	0	nan	nan	4.405981559955413	nan
nan	nan	nan	0	nan	nan	4.445197246229924	nan
nan	nan	nan	0	nan	nan	4.4844129325044335	nan
nan	nan	nan	0	nan	nan	4.523628618778943	nan
nan	nan	nan	0	nan	nan	4.562844305053453	nan
nan	nan	nan	0	nan	nan	4.6020599913279625	nan
nan	nan	nan	0	nan	nan	4.641275677602472	nan
-0.005475848350161322	4.69254634983116	-0.005475848350161322	2	-0.005475848350161322	0.0	4.680491363876982	-0.005475848350161322
0.024742945800525728	4.731456190546666	0.017613375210335104	75	0.013970028636131893	0.032050515441653826	4.7197070501514915	-0.014351805678511817
0.015396685608739552	4.76413017250254	0.003582366451253113	1022	0.0013292359936067286	0.020758233719015372	4.758922736426001	-0.012485158459227791
0.01183524550106973	4.7997473188354585	-0.0021952707575860955	2898	-0.003955306894459103	0.022505017477600787	4.798138422700512	-0.01919041302235013
0.018322630407219292	4.837936841920281	0.0007278512909318584	3692	0.0012912845925937219	0.023265805396017986	4.837354108975021	-0.01437508252001676
0.020263158566465638	4.878867629667505	0.003767286462898525	4028	0.0020017399642031255	0.025626308510514548	4.876569795249531	-0.01635338605223957
0.013368116795373867	4.915869454798264	-0.003738096332670066	5759	-0.0032431902286903258	0.02373496691638104	4.915785481524041	-0.018350992655515444
0.014035791505784259	4.953390062515382	-0.0010828195655632584	5249	-0.0016533159492745995	0.02487898133400383	4.955001167798551	-0.018297806065691574
0.01793750757938642	4.995280685404073	0.00018462805616480197	4483	0.0006828279911889086	0.025238106192880506	4.994216854073061	-0.01563238623103118
0.016055323585902604	5.033575041194965	0.0010972823910981608	5999	-0.000636158592010341	0.024075827616675892	5.033432540347571	-0.017627327284228205
0.01981417204474955	5.071705105581372	-0.0015126590793585776	4664	0.0013179821811573368	0.026589113319116002	5.07264822662208	-0.013892533657586794
0.015423780242543185	5.109834618010245	-0.0013169808756616575	3341	0.0009326023621790457	0.024735117315699166	5.11186391289659	-0.012971496919355754
0.02020477868239689	5.149979968322081	0.002119058360350762	2748	0.004189566121871643	0.025053491544488108	5.1510795991711	-0.012103704969617095
0.016178491749959938	5.192235990399634	0.00023282938515833707	1965	-0.0011832424199930574	0.028215125322802796	5.190295285445609	-0.021644707206224925
0.01854342292721036	5.227232559383645	-0.0004978484434641339	2558	-5.2523084408942565e-06	0.0274610626351525	5.229510971720119	-0.01558292761872909
0.020739106283440962	5.268031577141305	0.0003976439131085997	2136	0.004266389564017618	0.026029229161553574	5.268726657994629	-0.013056627525784839
0.012040620545194681	5.307870763305346	-0.00415524163147562	2132	-0.0010284798586480913	0.02548604484274562	5.307942344269139	-0.019963246239284718
0.014867490092763381	5.349593234539969	-0.0013225955263514333	1742	-0.0008806635454945813	0.02481872333426733	5.347158030543649	-0.01793270670225229
0.02624023279096735	5.383675682091748	0.0062915813486492545	1481	0.00734950106603874	0.034040990365446035	5.3863737168181585	-0.00940606336928249
0.0063571131032534286	5.421811088947948	-0.004208178381192678	882	-0.007167809726763733	0.027773017505001756	5.425589403092668	-0.025966854978034516
0.02167336221265785	5.457334603003718	0.0029500116508254294	161	0.003648808199066002	0.01776414687054444	5.464805089367179	-0.010908093168168846
0.044218866655777296	5.496723780000058	0.017899837529677522	48	0.022882356421317435	0.015785280024248213	5.504020775641688	0.006528365078497485
nan	nan	nan	0	nan	nan	5.543236461916198	nan
nan	nan	nan	0	nan	nan	5.582452148190708	nan
