nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.38	8581	0.00293	0.00	49	0.00468
2	0.50	8551	0.00171	0.01	-9	0.00229
4	0.70	8558	0.00112	0.01	-11	0.00058
8	0.81	8570	0.00094	0.03	-1	0.00002
16	0.86	8573	0.00087	0.09	-4	0.00001
32	0.89	8567	0.00082	0.16	3	0.00000
64	0.90	8557	0.00069	0.51	-1	0.00000
128	1.00	8547	0.00058	1.00	4	0.00000
256	0.92	8540	0.00017	0.07	1	0.00000
