nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.13	9928	0.01918	0.02	183	0.00968
2	0.21	9637	0.01215	0.01	61	0.00324
4	0.36	9494	0.00816	0.01	18	0.00089
8	0.51	9447	0.00672	0.00	5	0.00022
16	0.58	9438	0.00621	0.01	2	0.00006
32	0.64	9437	0.00579	0.01	1	0.00001
64	0.67	9437	0.00550	0.06	0	0.00000
128	0.77	9456	0.00525	0.18	0	0.00000
256	0.92	9501	0.00491	0.52	1	0.00000
