Y Lower Quartile	Y Std	Y Median	X Center	Count	Y Upper Quartile	Y Mean	X Mean
nan	nan	nan	3.6216678344652173	0	nan	nan	nan
nan	nan	nan	3.660883520739727	0	nan	nan	nan
nan	nan	nan	3.700099207014237	0	nan	nan	nan
nan	nan	nan	3.7393148932887468	0	nan	nan	nan
nan	nan	nan	3.778530579563257	0	nan	nan	nan
nan	nan	nan	3.8177462658377666	0	nan	nan	nan
nan	nan	nan	3.856961952112276	0	nan	nan	nan
nan	nan	nan	3.896177638386786	0	nan	nan	nan
nan	nan	nan	3.9353933246612955	0	nan	nan	nan
nan	nan	nan	3.9746090109358057	0	nan	nan	nan
-9.180902105545101	0.0	-9.180902105545101	4.013824697210316	65536	-9.180902105545101	-9.180902105545101	4.030627062992523
-5.237301705034042	0.0	-5.237301705034042	4.053040383484825	65536	-5.237301705034042	-5.237301705034042	4.035759365435972
nan	nan	nan	4.092256069759335	0	nan	nan	nan
nan	nan	nan	4.131471756033845	0	nan	nan	nan
nan	nan	nan	4.170687442308354	0	nan	nan	nan
nan	nan	nan	4.209903128582864	0	nan	nan	nan
-0.1524515912969946	0.788416834416239	0.6359652431192444	4.249118814857374	131072	1.4243820775354834	0.6359652431192444	4.248087804166463
-4.96131344539117	1.5657827115660439	-3.395530733825126	4.288334501131884	131072	-1.829748022259082	-3.395530733825126	4.290248251266949
-0.7231987605002814	2.0723655737890545	0.781416614423506	4.327550187406394	262144	1.9511184944256001	0.44650311950181276	4.330336186771649
-1.0168218196049565	0.0	-1.0168218196049565	4.366765873680904	65536	-1.0168218196049565	-1.0168218196049565	4.368136320968104
0.10122340086036274	0.0	0.10122340086036274	4.405981559955413	65536	0.10122340086036274	0.10122340086036274	4.390576738064638
-0.30426370875011344	1.207207753965122	0.9029440452150084	4.445197246229924	131072	2.11015179918013	0.9029440452150084	4.43224890569873
-1.3586827984290721	1.5125055833518675	0.1538227849227951	4.4844129325044335	131072	1.6663283682746624	0.1538227849227951	4.4973422200143105
1.0772207196951058	0.0	1.0772207196951058	4.523628618778943	65536	1.0772207196951058	1.0772207196951058	4.535015837820012
-1.5549164220637977	0.6918611382084237	-0.863055283855374	4.562844305053453	131072	-0.17119414564695035	-0.863055283855374	4.554466805368989
-3.2167362661730294	1.6060616461600146	-1.6106746200130146	4.6020599913279625	131072	-0.004612973852999858	-1.6106746200130146	4.613215107035953
1.0316110796275098	0.0	1.0316110796275098	4.641275677602472	65536	1.0316110796275098	1.0316110796275098	4.636132127721736
-14.152783733425167	6.62356045512093	-1.4842303655659634	4.680491363876982	196608	0.9594657025791093	-4.892516132137341	4.6928728120995045
-11.988395966614917	0.0	-11.988395966614917	4.7197070501514915	65536	-11.988395966614917	-11.988395966614917	4.711870614053523
-21.5960897483983	0.0	-21.5960897483983	4.758922736426001	65536	-21.5960897483983	-21.5960897483983	4.763853119416026
-17.047050098837644	8.833365321024758	-8.213684777812887	4.798138422700512	131072	0.6196805432118708	-8.213684777812887	4.799006317076727
-13.846652206388171	5.228601098977379	-8.618051107410793	4.837354108975021	131072	-3.389450008433414	-8.618051107410793	4.839100528685618
5.801043830620074	0.0	5.801043830620074	4.876569795249531	65536	5.801043830620074	5.801043830620074	4.884195938811182
nan	nan	nan	4.915785481524041	0	nan	nan	nan
nan	nan	nan	4.955001167798551	0	nan	nan	nan
nan	nan	nan	4.994216854073061	0	nan	nan	nan
-4.633004199773495	2.5252150257183534	-2.107789174055142	5.033432540347571	131072	0.4174258516632108	-2.107789174055142	5.040054346311086
0.9970031386867504	2.968974032431081	3.4836312909833396	5.07264822662208	262144	4.823465355725602	2.3368372034290132	5.066934756540985
6.542280934729206	0.0	6.542280934729206	5.11186391289659	65536	6.542280934729206	6.542280934729206	5.125282226210628
nan	nan	nan	5.1510795991711	0	nan	nan	nan
-11.892949228044017	0.0	-11.892949228044017	5.190295285445609	65536	-11.892949228044017	-11.892949228044017	5.189502995825237
nan	nan	nan	5.229510971720119	0	nan	nan	nan
2.979979038960664	4.243656411818847	7.223635450779511	5.268726657994629	131072	11.467291862598358	7.223635450779511	5.256601505726437
nan	nan	nan	5.307942344269139	0	nan	nan	nan
nan	nan	nan	5.347158030543649	0	nan	nan	nan
nan	nan	nan	5.3863737168181585	0	nan	nan	nan
nan	nan	nan	5.425589403092668	0	nan	nan	nan
nan	nan	nan	5.464805089367179	0	nan	nan	nan
nan	nan	nan	5.504020775641688	0	nan	nan	nan
nan	nan	nan	5.543236461916198	0	nan	nan	nan
nan	nan	nan	5.582452148190708	0	nan	nan	nan
