X Mean	Y Upper Quartile	Y Lower Quartile	X Center	Y Median	Y Std	Y Mean	Count
nan	nan	nan	3.6216678344652173	nan	nan	nan	0
nan	nan	nan	3.660883520739727	nan	nan	nan	0
nan	nan	nan	3.700099207014237	nan	nan	nan	0
nan	nan	nan	3.7393148932887468	nan	nan	nan	0
nan	nan	nan	3.778530579563257	nan	nan	nan	0
nan	nan	nan	3.8177462658377666	nan	nan	nan	0
nan	nan	nan	3.856961952112276	nan	nan	nan	0
nan	nan	nan	3.896177638386786	nan	nan	nan	0
nan	nan	nan	3.9353933246612955	nan	nan	nan	0
nan	nan	nan	3.9746090109358057	nan	nan	nan	0
4.030104452605529	-0.03793523794411733	-0.03793523794411733	4.013824697210316	-0.03793523794411733	1.3877787807814457e-17	-0.03793523794411734	65536
4.035842702845264	0.042702132125040086	0.042702132125040086	4.053040383484825	0.042702132125040086	6.938893903907228e-18	0.04270213212504008	65536
nan	nan	nan	4.092256069759335	nan	nan	nan	0
nan	nan	nan	4.131471756033845	nan	nan	nan	0
nan	nan	nan	4.170687442308354	nan	nan	nan	0
nan	nan	nan	4.209903128582864	nan	nan	nan	0
4.247921018052543	-0.003388309794159402	-0.013675676081363452	4.249118814857374	-0.008531992937761426	0.005143683143602026	-0.008531992937761424	131072
4.289982615629793	0.003977286756252355	0.0019791486816149407	4.288334501131884	0.002978217718933648	0.0009990690373187072	0.0029782177189336483	131072
4.330452208338836	0.0046964625242251895	0.0018357927045079246	4.327550187406394	0.003560194477540066	0.00259569877668369	0.002972060751193049	262144
4.368672958201401	-0.020269451404297315	-0.020269451404297315	4.366765873680904	-0.020269451404297315	0.0	-0.020269451404297315	65536
4.390924941979279	0.0007354764746980633	0.0007354764746980633	4.405981559955413	0.0007354764746980633	0.0	0.0007354764746980633	65536
4.432025595293794	0.0005109230247932047	-0.010711298478211631	4.445197246229924	-0.005100187726709213	0.005611110751502418	-0.005100187726709212	131072
4.497172061151698	0.0010975166969648643	0.00019647480884755133	4.4844129325044335	0.0006469957529062078	0.0004505209440586565	0.000646995752906208	131072
4.535089154615796	0.012064180000086437	0.012064180000086437	4.523628618778943	0.012064180000086437	0.0	0.012064180000086437	65536
4.554302421844945	0.004530408299985793	0.002269099599334232	4.562844305053453	0.0033997539496600122	0.0011306543503257806	0.0033997539496600122	131072
4.6132819107911995	0.010200207680584413	-0.002125743291133936	4.6020599913279625	0.0040372321947252385	0.006162975485859173	0.0040372321947252385	131072
4.636176585245413	-0.008018886092870462	-0.008018886092870462	4.641275677602472	-0.008018886092870462	0.0	-0.008018886092870462	65536
4.6929226586939405	0.006158915598384386	-0.002966027964022474	4.680491363876982	0.003992857619887332	0.003892763810417548	0.0023952484180830807	196608
4.7116296605483265	-0.0014965697436344302	-0.0014965697436344302	4.7197070501514915	-0.0014965697436344302	0.0	-0.0014965697436344302	65536
4.7637353481993685	0.003466639762148503	0.003466639762148503	4.758922736426001	0.003466639762148503	1.3010426069826053e-18	0.003466639762148504	65536
4.798821765063438	-0.00045833410841171024	-0.0028901347944873938	4.798138422700512	-0.001674234451449552	0.0012159003430378416	-0.001674234451449553	131072
4.839050555352227	0.006256438997361529	0.002633181546845825	4.837354108975021	0.004444810272103677	0.0018116287252578514	0.004444810272103678	131072
4.884109143110279	0.003678742826039233	0.003678742826039233	4.876569795249531	0.003678742826039233	1.734723475976807e-18	0.003678742826039235	65536
nan	nan	nan	4.915785481524041	nan	nan	nan	0
nan	nan	nan	4.955001167798551	nan	nan	nan	0
nan	nan	nan	4.994216854073061	nan	nan	nan	0
5.0401010381362505	0.0012256028201661072	-0.004266725765936191	5.033432540347571	-0.001520561472885042	0.0027461642930511486	-0.0015205614728850407	131072
5.0669033196527975	0.0013175561194435305	-0.0002658446808713828	5.07264822662208	0.001022183741022228	0.0019299674721093285	2.952769754991935e-05	262144
5.125150806670127	-0.00025418385600637294	-0.00025418385600637294	5.11186391289659	-0.00025418385600637294	5.421010862427522e-20	-0.0002541838560063729	65536
nan	nan	nan	5.1510795991711	nan	nan	nan	0
5.189533216695721	-0.0031252899631625942	-0.0031252899631625942	5.190295285445609	-0.0031252899631625942	0.0	-0.0031252899631625942	65536
nan	nan	nan	5.229510971720119	nan	nan	nan	0
5.256550189053782	0.0028276944367693116	0.0019369837575417767	5.268726657994629	0.0023823390971555443	0.0004453553396137675	0.0023823390971555443	131072
nan	nan	nan	5.307942344269139	nan	nan	nan	0
nan	nan	nan	5.347158030543649	nan	nan	nan	0
nan	nan	nan	5.3863737168181585	nan	nan	nan	0
nan	nan	nan	5.425589403092668	nan	nan	nan	0
nan	nan	nan	5.464805089367179	nan	nan	nan	0
nan	nan	nan	5.504020775641688	nan	nan	nan	0
nan	nan	nan	5.543236461916198	nan	nan	nan	0
nan	nan	nan	5.582452148190708	nan	nan	nan	0
