Y Lower Quartile	X Center	Count	Y Std	X Mean	Y Median	Y Upper Quartile	Y Mean
nan	3.6216678344652173	0	nan	nan	nan	nan	nan
nan	3.660883520739727	0	nan	nan	nan	nan	nan
nan	3.700099207014237	0	nan	nan	nan	nan	nan
nan	3.7393148932887468	0	nan	nan	nan	nan	nan
nan	3.778530579563257	0	nan	nan	nan	nan	nan
nan	3.8177462658377666	0	nan	nan	nan	nan	nan
nan	3.856961952112276	0	nan	nan	nan	nan	nan
nan	3.896177638386786	0	nan	nan	nan	nan	nan
nan	3.9353933246612955	0	nan	nan	nan	nan	nan
nan	3.9746090109358057	0	nan	nan	nan	nan	nan
-0.044323716517085575	4.013824697210316	65536	1.3877787807814457e-17	4.030387732187328	-0.044323716517085575	-0.044323716517085575	-0.04432371651708556
0.027927735220945507	4.053040383484825	65536	1.0408340855860843e-17	4.035575431814039	0.027927735220945507	0.027927735220945507	0.027927735220945497
nan	4.092256069759335	0	nan	nan	nan	nan	nan
nan	4.131471756033845	0	nan	nan	nan	nan	nan
nan	4.170687442308354	0	nan	nan	nan	nan	nan
nan	4.209903128582864	0	nan	nan	nan	nan	nan
-0.004541047469851752	4.249118814857374	131072	0.0067691056255909845	4.2481291140787905	0.0022280581557392334	0.008997163781330218	0.0022280581557392355
-0.028998002994714358	4.288334501131884	131072	0.019940058401061184	4.29025220248008	-0.00905794459365317	0.010882113807408016	-0.009057944593653156
0.0004082809435266209	4.327550187406394	262144	0.002625122455972909	4.3305138753870835	0.00167584490718474	0.0025435718315360914	0.0012760078678779722
0.0002544337543093971	4.366765873680904	65536	0.0	4.368454728714432	0.0002544337543093971	0.0002544337543093971	0.0002544337543093971
0.0070302119703207246	4.405981559955413	65536	2.6020852139652106e-18	4.390682108617866	0.0070302119703207246	0.0070302119703207246	0.007030211970320722
0.006440702188454871	4.445197246229924	131072	0.005477907440138347	4.432319756934348	0.01191860962859322	0.017396517068731566	0.011918609628593221
-0.011066940131008667	4.4844129325044335	131072	0.00018768264084047858	4.4972272584454664	-0.010879257490168187	-0.01069157484932771	-0.010879257490168192
-0.0025115062653671472	4.523628618778943	65536	8.673617379884035e-19	4.535093744203643	-0.0025115062653671472	-0.0025115062653671472	-0.002511506265367148
-0.011906617777126958	4.562844305053453	131072	0.004719426539575767	4.554363917296061	-0.0071871912375511895	-0.0024677646979754213	-0.00718719123755119
-0.004808806921988977	4.6020599913279625	131072	0.005485796512358036	4.613360894416012	0.0006769895903690586	0.006162786102727094	0.0006769895903690581
0.0039410304976397045	4.641275677602472	65536	0.0	4.636096248185894	0.0039410304976397045	0.0039410304976397045	0.0039410304976397045
-0.0026694675171508387	4.680491363876982	196608	0.006305975617478	4.69301557454276	0.003875954150610473	0.012719846371646743	0.004642111001702124
0.00516948271996084	4.7197070501514915	65536	0.0	4.711752621728826	0.00516948271996084	0.00516948271996084	0.00516948271996084
-0.004911985538420543	4.758922736426001	65536	8.673617379884035e-19	4.76383783629202	-0.004911985538420543	-0.004911985538420543	-0.004911985538420544
0.0009740130390616252	4.798138422700512	131072	0.0022773792520700536	4.798996067421051	0.003251392291131679	0.005528771543201733	0.0032513922911316796
-0.00038564491130090457	4.837354108975021	131072	0.0004178578580955608	4.839208789151222	3.221294679465629e-05	0.00045007080489021714	3.2212946794656316e-05
0.001703950812744055	4.876569795249531	65536	0.0	4.8839858156895835	0.001703950812744055	0.001703950812744055	0.001703950812744055
nan	4.915785481524041	0	nan	nan	nan	nan	nan
nan	4.955001167798551	0	nan	nan	nan	nan	nan
nan	4.994216854073061	0	nan	nan	nan	nan	nan
-0.0011899676648017656	5.033432540347571	131072	0.002103615652314424	5.040148257837162	0.0009136479875126584	0.0030172636398270824	0.0009136479875126581
0.0007691298601045749	5.07264822662208	262144	0.0016930795250562575	5.066920166275871	0.0015890472377968617	0.002030150065245094	0.0012102326875528073
0.0021251304785182066	5.11186391289659	65536	0.0	5.125207692980207	0.0021251304785182066	0.0021251304785182066	0.0021251304785182066
nan	5.1510795991711	0	nan	nan	nan	nan	nan
0.0006932462358873174	5.190295285445609	65536	1.0842021724855044e-19	5.189518841253091	0.0006932462358873174	0.0006932462358873174	0.0006932462358873175
nan	5.229510971720119	0	nan	nan	nan	nan	nan
0.0003973626143154333	5.268726657994629	131072	0.00024197304304832457	5.256589183732642	0.0006393356573637579	0.0008813087004120825	0.0006393356573637583
nan	5.307942344269139	0	nan	nan	nan	nan	nan
nan	5.347158030543649	0	nan	nan	nan	nan	nan
nan	5.3863737168181585	0	nan	nan	nan	nan	nan
nan	5.425589403092668	0	nan	nan	nan	nan	nan
nan	5.464805089367179	0	nan	nan	nan	nan	nan
nan	5.504020775641688	0	nan	nan	nan	nan	nan
nan	5.543236461916198	0	nan	nan	nan	nan	nan
nan	5.582452148190708	0	nan	nan	nan	nan	nan
