Y Mean	Y Median	X Mean	Count	Y Upper Quartile	Y Lower Quartile	Y Std	X Center
nan	nan	nan	0	nan	nan	nan	3.6216678344652173
nan	nan	nan	0	nan	nan	nan	3.660883520739727
nan	nan	nan	0	nan	nan	nan	3.700099207014237
nan	nan	nan	0	nan	nan	nan	3.7393148932887468
nan	nan	nan	0	nan	nan	nan	3.778530579563257
nan	nan	nan	0	nan	nan	nan	3.8177462658377666
nan	nan	nan	0	nan	nan	nan	3.856961952112276
nan	nan	nan	0	nan	nan	nan	3.896177638386786
nan	nan	nan	0	nan	nan	nan	3.9353933246612955
nan	nan	nan	0	nan	nan	nan	3.9746090109358057
nan	nan	nan	0	nan	nan	nan	4.013824697210316
nan	nan	nan	0	nan	nan	nan	4.053040383484825
nan	nan	nan	0	nan	nan	nan	4.092256069759335
nan	nan	nan	0	nan	nan	nan	4.131471756033845
nan	nan	nan	0	nan	nan	nan	4.170687442308354
nan	nan	nan	0	nan	nan	nan	4.209903128582864
nan	nan	nan	0	nan	nan	nan	4.249118814857374
nan	nan	nan	0	nan	nan	nan	4.288334501131884
nan	nan	nan	0	nan	nan	nan	4.327550187406394
nan	nan	nan	0	nan	nan	nan	4.366765873680904
nan	nan	nan	0	nan	nan	nan	4.405981559955413
nan	nan	nan	0	nan	nan	nan	4.445197246229924
-89.88888683058849	-89.88888683058849	4.497842465932766	2	148.76235019962996	-328.54012386080694	477.3024740604369	4.4844129325044335
nan	nan	nan	0	nan	nan	nan	4.523628618778943
897.2389035804526	897.2389035804526	4.5651850424875136	2	1329.5365092602565	464.9412979006488	864.5952113596077	4.562844305053453
-762.7912844616905	-847.6022802788862	4.608210646446611	6	173.46596241134057	-1028.9898095916883	1254.6870943615888	4.6020599913279625
-102.38763347011191	-172.7946619667946	4.642049076761255	35	552.7675209942918	-890.7898930915344	945.7100670003514	4.641275677602472
33.74353110184934	-12.9496048770161	4.684241388416962	141	591.1120921062684	-609.137987113816	932.9561343063281	4.680491363876982
-45.78762590896637	5.393185394211287	4.723241932920027	499	518.4723881963382	-568.1513749305886	954.4073735331273	4.7197070501514915
-12.157050776814165	16.682345736498974	4.761212967821935	1249	543.8023332020603	-561.7476861938849	933.5623976914463	4.758922736426001
-11.561998595338572	6.093161977922136	4.799964507394519	2466	537.3758922483507	-530.3899328987759	891.6528478731896	4.798138422700512
-56.05173542170113	-33.12055892364151	4.8384557575655105	3505	492.91094447943215	-576.3387148995753	872.6599275631642	4.837354108975021
-11.86461262896155	9.40576850429079	4.877155725374046	4292	509.09475613446284	-501.326418915668	851.6792285677668	4.876569795249531
-21.15886977691213	-3.468338479211525	4.916244282467851	4953	492.2951480833872	-524.336983903986	820.060295855	4.915785481524041
-40.65272872460329	-29.966028392131193	4.954959898178046	5130	451.91278982363065	-524.1979218219242	789.1113412902715	4.955001167798551
-42.46811881947978	-25.631287811705988	4.994210271461562	4926	445.8649692547501	-477.6856801785061	778.5976872688798	4.994216854073061
-42.24952219279274	-34.20885581214134	5.033423111641325	5252	410.15037021552007	-458.1046183703115	749.8910829145796	5.033432540347571
-39.904079434268006	-35.38213479850128	5.071844103023569	4657	395.0832439147689	-454.1284318210146	755.9465637744804	5.07264822662208
-30.159855436123355	-9.5249265172788	5.110659771380983	3547	367.06370496640193	-398.9756428445244	679.8269679947678	5.11186391289659
-66.22409951119796	-57.348212792161576	5.1504594601641704	2619	289.6821613098864	-378.8781961748027	591.1842694786084	5.1510795991711
-68.29888988625568	-61.13508859543617	5.190179789209007	2329	261.6939827325732	-366.2353106030987	536.3936496020242	5.190295285445609
-51.30687472316923	-30.060096708741185	5.229531765529531	2365	252.03139879267837	-330.9468385173095	532.0183064755444	5.229510971720119
-66.2728303476296	-26.364987113090137	5.268361935406108	2144	249.0071346372447	-317.8619026416759	559.1451154816372	5.268726657994629
-73.84526954838977	-30.47618848910497	5.307696146852399	1946	218.82819965553472	-304.8193252596807	550.6038275390449	5.307942344269139
-67.3826855976772	-14.194939224726113	5.346364181451053	1750	254.0221211920416	-307.4523546262053	661.7393580247852	5.347158030543649
-62.79337572733101	-5.1946653873219475	5.384865469233311	1497	288.59031333414896	-323.5486503131542	684.5005896111444	5.3863737168181585
-94.90621622708657	-23.375813451193608	5.422701458396009	835	274.05625061303726	-343.86522887557385	880.8555430224228	5.425589403092668
-64.67392904343124	-36.29050642114635	5.461107620016399	273	358.06697363482454	-350.06123856429076	676.6434062597318	5.464805089367179
-319.6935860468239	-160.17411362768962	5.503215451355153	42	94.11367524771185	-471.3804776394313	884.9887410590205	5.504020775641688
-8.481945050695321	93.1432594241387	5.532433537426173	10	177.47075498922777	-216.2057092560276	443.36128717594823	5.543236461916198
414.7697884710633	414.7697884710633	5.563633710666813	1	414.7697884710633	414.7697884710633	0.0	5.582452148190708
