Count	Y Median	X Center	X Mean	Y Lower Quartile	Y Upper Quartile	Y Std	Y Mean
2093	-0.1369134138014028	3.9746090109358057	3.9751569578630708	-0.7478510258748488	0.5200161600445972	0.7991988087764551	-0.0867661041060846
2734	-0.13214478952426867	4.013824697210316	4.014368843587296	-0.7229415351535197	0.5179783996413769	0.7907656207655906	-0.08839353525121614
3376	-0.1226133078832505	4.053040383484825	4.053837538803661	-0.7390983092345631	0.52264369869689	0.7990518088445131	-0.08648406690814422
4536	-0.11138713483630006	4.092256069759335	4.093293092437769	-0.6993652142391754	0.5502200588982975	0.7962096340682852	-0.06857576338355441
5715	-0.12384286296326237	4.131471756033845	4.13258105181695	-0.705228375605262	0.5016781490254556	0.7907928964798905	-0.09051087459420486
7496	-0.08071506845724952	4.170687442308354	4.171611121817449	-0.6703479797885606	0.519296175127334	0.7779743256958349	-0.06405807751622646
9840	-0.08758296748144881	4.209903128582864	4.210658826995198	-0.7010420148105609	0.5283091976659506	0.7872982166842275	-0.06705488543026074
12298	-0.11493599149848598	4.249118814857374	4.250083188148292	-0.7084524167288816	0.49703323389291165	0.778454297721931	-0.08862665995308051
15428	-0.09335409448356626	4.288334501131884	4.288988633985219	-0.6884636801789792	0.5177668628381666	0.7764120415966059	-0.07118662617776446
18408	-0.09122210305886404	4.327550187406394	4.3280727010138955	-0.6966050072500767	0.5210111600743988	0.7797449574009506	-0.07115450000474322
21164	-0.08564812396446667	4.366765873680904	4.367187934992688	-0.6763577499584565	0.5194258177840128	0.7742133235544482	-0.0686827034625065
23353	-0.07694022042370462	4.405981559955413	4.406148195673878	-0.6794424716348324	0.5134681767533782	0.7741032887393261	-0.0649886789878728
24902	-0.07670624210388821	4.445197246229924	4.445152159931857	-0.6749694013144888	0.5278067867751037	0.7786695879874933	-0.05743419977639382
25775	-0.07459821848554421	4.4844129325044335	4.484476814669175	-0.6573865829068495	0.5117937292311772	0.768760208398413	-0.06032242684746613
26582	-0.07545407512728741	4.523628618778943	4.523493326412256	-0.6595088218759784	0.5188684696857764	0.7672620483844516	-0.057885498467671576
26316	-0.07335920014725983	4.562844305053453	4.562759648383975	-0.646038042232599	0.499195622855756	0.7606407877892897	-0.061817803007056984
25506	-0.06808427014127338	4.6020599913279625	4.601881697537719	-0.6401780004498573	0.5091247361791273	0.7605861821591618	-0.05382599167657545
24634	-0.06152017308825175	4.641275677602472	4.641062831475404	-0.6216860081857268	0.5058104248341856	0.755665960978023	-0.04830411446165036
23042	-0.0674319934384297	4.680491363876982	4.680179757212389	-0.6210965710004247	0.4796201294397671	0.7480233187379381	-0.058795280172488515
21623	-0.06778841063740301	4.7197070501514915	4.719584002046061	-0.6250245144187936	0.4678383978959	0.7437242470494487	-0.06333894876604688
22039	-0.06514389798054995	4.758922736426001	4.758984193282858	-0.6079906371129937	0.46674712762833415	0.7335262389312383	-0.05909368144828524
24571	-0.053843839183140826	4.798138422700512	4.798621718208622	-0.5872440168085487	0.451927628240125	0.7232099208193925	-0.05587617800830562
27223	-0.05089016972358884	4.837354108975021	4.837703398959142	-0.5661795206436566	0.4384149429649524	0.7081441341670858	-0.05731327198675069
30440	-0.045981966941572014	4.876569795249531	4.876907556045207	-0.550293877302209	0.4291406425948354	0.697807440622218	-0.05331813037877667
34260	-0.050787271562349905	4.915785481524041	4.916114571587117	-0.5275623343173468	0.40924132269581326	0.6843746437461298	-0.054919416468345326
36672	-0.04625911603374647	4.955001167798551	4.955160518734311	-0.515247267373616	0.39875109975558315	0.6737549809042466	-0.054232656911473165
38458	-0.04155694693665947	4.994216854073061	4.994392202510983	-0.49448018026755475	0.3819021641717348	0.6583334818573969	-0.054524334237284006
42538	-0.03542210542714372	5.033432540347571	5.033842036524364	-0.47834046748584064	0.3753862450643276	0.6467534544835165	-0.050166915796716643
44270	-0.03904868193533949	5.07264822662208	5.0726240872008255	-0.4591256994687599	0.3555776832722782	0.6307204051147681	-0.05406805062778987
42660	-0.04230938043804125	5.11186391289659	5.1115905391654755	-0.4502007099878529	0.33709611039098697	0.6158524838007736	-0.060466706057427454
40798	-0.03331789982924667	5.1510795991711	5.15095842180377	-0.42117620626897356	0.3202361380329905	0.5965447096621312	-0.055782941154021534
37675	-0.039136506704687574	5.190295285445609	5.189834671019774	-0.40704263170799737	0.3000876092695113	0.5753180503889667	-0.05999872019224678
32419	-0.04537752500448896	5.229510971720119	5.229020240771894	-0.39727470109867463	0.2858946513073597	0.5603090098924586	-0.06466631874151492
26140	-0.036836320329699745	5.268726657994629	5.267855601335469	-0.37684163462787723	0.2745391637213513	0.5435866096264279	-0.05981941841802143
18274	-0.04835077735758113	5.307942344269139	5.306668305987114	-0.36653203778716564	0.2580360283643982	0.5259726490463122	-0.06512439314847832
13425	-0.0483404379584948	5.347158030543649	5.346389413667566	-0.3458619803713714	0.23435159543201461	0.5007046099146997	-0.07013397190188671
10905	-0.04733703915267277	5.3863737168181585	5.385602208145072	-0.3269587330900081	0.21154936410542421	0.467244947793216	-0.06678611407787612
8041	-0.039524835050229044	5.425589403092668	5.424297322945768	-0.2940536767596957	0.21206158789986418	0.44354867859020963	-0.05428575535866645
4605	-0.029011530175197194	5.464805089367179	5.4629435681294405	-0.27705742509716247	0.2120969582800214	0.4158817701366873	-0.04591227810354211
2150	-0.047674656391987216	5.504020775641688	5.5010082431016345	-0.29506432394571375	0.19460940071139926	0.42364861100337997	-0.06338198868875011
646	-0.017099669838519474	5.543236461916198	5.538508840443211	-0.2555250211628105	0.2042967935256947	0.41499187966163237	-0.027733420085061262
194	-0.010558917255725716	5.582452148190708	5.580015549146718	-0.2776851464080119	0.24075205642893088	0.4317025518940367	-0.027224359090815005
