log10[ N([S II]) ]	T1	T2	T3
2.0294117647058822	0.0	0.0	0.0
2.0882352941176467	0.0	0.0	0.0
2.1470588235294117	0.0	0.0	0.0
2.2058823529411766	0.0	0.0	0.0
2.264705882352941	0.0	0.0	0.0
2.3235294117647056	0.0	0.0	0.0
2.3823529411764706	0.0	0.0	0.0
2.4411764705882355	0.0	0.0	0.0
2.5	0.0	0.0	0.0
2.5588235294117645	0.0	0.0	0.0
2.6176470588235294	0.0	0.0	0.0
2.6764705882352944	0.0	0.0	0.0
2.735294117647059	0.0	0.0	0.0
2.7941176470588234	0.0	0.0	0.0
2.852941176470588	0.0	0.0	0.0
2.9117647058823533	0.0	0.0	0.0
2.9705882352941178	0.0	0.0	0.0
3.0294117647058822	0.0	0.0	0.0
3.0882352941176467	0.0	0.0	0.0
3.147058823529412	0.0	0.0	0.0
3.2058823529411766	0.0	0.0	0.0
3.264705882352941	3927661.5625	150176200.796875	0.0
3.3235294117647056	400837331.50390625	165633905.90625	0.0
3.3823529411764706	404884936.546875	310612264.875	0.0
3.4411764705882355	896408926.5703125	208774082.1953125	0.0
3.5	1386194488.15625	323168942.9375	0.0
3.5588235294117645	758978390.890625	364448809.6171875	0.0
3.617647058823529	295178724.953125	425075178.2890625	0.0
3.6764705882352944	0.0	568731819.46875	171793953.125
3.735294117647059	0.0	516981394.03125	420688.125
3.7941176470588234	0.0	1318565662.7734375	220545432.0
3.852941176470588	0.0	0.0	947017366.078125
3.9117647058823533	0.0	0.0	409278529.25
3.9705882352941178	0.0	0.0	1430054591.25
4.029411764705882	0.0	0.0	792421920.0
4.088235294117647	0.0	0.0	0.0
4.147058823529411	0.0	0.0	0.0
4.205882352941176	0.0	0.0	0.0
4.264705882352941	0.0	0.0	0.0
4.3235294117647065	0.0	0.0	0.0
4.382352941176471	0.0	0.0	0.0
4.4411764705882355	0.0	0.0	0.0
4.5	0.0	0.0	0.0
4.5588235294117645	0.0	0.0	0.0
4.617647058823529	0.0	0.0	0.0
4.6764705882352935	0.0	0.0	0.0
4.735294117647059	0.0	0.0	0.0
4.794117647058823	0.0	0.0	0.0
4.852941176470589	0.0	0.0	0.0
4.911764705882353	0.0	0.0	0.0
4.970588235294118	0.0	0.0	0.0
