nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.20	9723	0.01872	0.03	105	0.00799
2	0.29	9525	0.01193	0.02	29	0.00263
4	0.41	9456	0.00831	0.02	7	0.00075
8	0.50	9445	0.00682	0.01	2	0.00020
16	0.54	9449	0.00627	0.01	1	0.00005
32	0.61	9451	0.00574	0.02	1	0.00001
64	0.60	9478	0.00632	0.06	0	0.00000
128	0.70	9444	0.00553	0.16	0	0.00000
256	0.81	9529	0.00516	0.37	1	0.00000
