Count	Y Upper Quartile	X Mean	Y Std	Y Mean	X Center	Y Lower Quartile	Y Median
0	nan	nan	nan	nan	5098.0392156862745	nan	nan
256	10418.517925450997	5293.707178754952	0.0	10418.517925450997	5294.117647058823	10418.517925450997	10418.517925450997
0	nan	nan	nan	nan	5490.196078431372	nan	nan
0	nan	nan	nan	nan	5686.274509803921	nan	nan
0	nan	nan	nan	nan	5882.35294117647	nan	nan
256	9329.582585073656	6167.69576157338	0.0	9329.582585073656	6078.431372549019	9329.582585073656	9329.582585073656
0	nan	nan	nan	nan	6274.509803921568	nan	nan
256	10102.769013407955	6469.55951028873	1.8189894035458565e-12	10102.769013407957	6470.588235294118	10102.769013407955	10102.769013407955
0	nan	nan	nan	nan	6666.666666666667	nan	nan
768	9412.916824520145	6849.059958983115	718.7538904990147	8402.026914234013	6862.745098039216	7804.457453000132	7988.706465181764
256	9308.70053631763	7086.307507034363	0.0	9308.70053631763	7058.823529411765	9308.70053631763	9308.70053631763
2304	9169.913201052232	7251.11589147029	564.1804591012599	8902.88361202896	7254.901960784314	8661.419096175106	8783.685146000751
4096	8372.36054317667	7471.395123154645	745.7662096198877	8272.842406339878	7450.980392156863	7787.629414544543	8018.261979635173
12800	7976.461998549396	7662.134749613402	550.833487525626	8032.5254472656825	7647.058823529413	7801.570510583919	7877.02965288464
40192	7969.114299909823	7865.210131242751	390.63777100884363	7943.9175834877215	7843.137254901962	7759.689520552266	7849.552841684621
84224	7986.001459782095	8051.369580392212	388.9120593616487	7973.505360665624	8039.2156862745105	7801.345803910924	7888.839960587218
107008	8040.614558983908	8232.821377217178	309.7358715432297	7991.726354627324	8235.29411764706	7832.54911899254	7925.788702750006
148480	8140.690927361864	8436.438420200084	333.8909410602585	8081.1607159559435	8431.372549019608	7919.82657180692	8015.543632816937
203008	8190.575794800171	8631.096857990018	278.5998193466766	8114.337852499895	8627.450980392157	7963.300232197239	8063.236634979611
290816	8249.674652391044	8832.120004269178	246.38962120972346	8154.22490530469	8823.529411764706	8021.438985808681	8130.96148096527
397312	8300.599922856385	9023.822904814484	262.59801106884925	8212.620314313945	9019.607843137255	8076.421783758404	8194.8520208663
383488	8314.394928283376	9210.672205043837	215.85429288740156	8231.246503129036	9215.686274509804	8117.584199578916	8219.774791953845
252160	8350.946005909598	9405.13594094007	240.46295629195868	8268.61037010805	9411.764705882353	8151.85250531072	8248.275073339892
183296	8421.45241105305	9600.887758361103	239.34008989620006	8340.752229213218	9607.843137254902	8221.217208890233	8321.759206850065
100096	8457.404483311277	9788.941653865524	283.92805286001897	8386.129829360903	9803.921568627451	8259.507061168959	8338.263646377998
51456	8519.339210082935	9990.897376550303	326.4219468832239	8456.739400699438	10000.0	8305.750654681557	8388.60992210121
30976	8709.124744807052	10194.17906219976	502.0643347013005	8646.164288018053	10196.078431372549	8418.519748400699	8539.139340466512
21504	8671.517873224879	10390.521962163553	291.2644097780643	8578.69325565185	10392.1568627451	8411.388819605105	8531.74561228355
12288	8801.429111520254	10566.077325449629	599.0157029272094	8729.52128620141	10588.235294117649	8431.114379349128	8551.061539300865
10496	8773.05255180617	10776.454378060767	234.41295290897247	8630.288160134824	10784.313725490198	8474.657521374149	8545.073102420634
6144	8841.269401841371	10944.976743246209	230.88146296611941	8687.670245960971	10980.392156862747	8487.46547949006	8628.93292481135
5888	8815.723414890852	11180.357310587444	711.8699258821603	8844.486622650185	11176.470588235296	8487.632121316445	8664.23434396601
3584	8961.69574643966	11378.2871342895	327.2418621382533	8779.111439294482	11372.549019607844	8526.777350381011	8715.097254405428
1536	8895.923598100933	11578.656023060095	163.36081441181688	8802.624624870812	11568.627450980393	8615.10413510672	8864.018752147844
1024	9111.12064117445	11820.598522245418	453.22808998883613	8844.739323599217	11764.705882352942	8530.45968767847	8796.841005253706
256	8787.895583893567	11943.880229672057	0.0	8787.895583893567	11960.784313725491	8787.895583893567	8787.895583893567
512	8880.648669619888	12141.573193961944	48.69486045660869	8831.953809163278	12156.86274509804	8783.25894870667	8831.953809163278
512	8839.771737919069	12309.086550357675	140.67839321207248	8699.093344706998	12352.94117647059	8558.414951494924	8699.093344706997
0	nan	nan	nan	nan	12549.019607843138	nan	nan
0	nan	nan	nan	nan	12745.098039215687	nan	nan
256	9070.780743695334	12967.299343594632	1.8189894035458565e-12	9070.780743695332	12941.176470588236	9070.780743695334	9070.780743695334
256	9160.983418807988	13088.129703906983	1.8189894035458565e-12	9160.983418807986	13137.254901960785	9160.983418807988	9160.983418807988
512	9270.531659369219	13347.816255968824	209.48744683705442	9061.04421253216	13333.333333333334	8851.55676569511	9061.044212532164
0	nan	nan	nan	nan	13529.411764705883	nan	nan
0	nan	nan	nan	nan	13725.490196078432	nan	nan
0	nan	nan	nan	nan	13921.56862745098	nan	nan
0	nan	nan	nan	nan	14117.64705882353	nan	nan
0	nan	nan	nan	nan	14313.725490196079	nan	nan
0	nan	nan	nan	nan	14509.803921568628	nan	nan
0	nan	nan	nan	nan	14705.882352941177	nan	nan
256	8692.40371055292	14931.379441340163	3.637978807091713e-12	8692.403710552924	14901.960784313726	8692.40371055292	8692.40371055292
