Count	Y Std	X Mean	Y Lower Quartile	Y Upper Quartile	Y Mean	Y Median	X Center
0	nan	nan	nan	nan	nan	nan	3.6216678344652173
0	nan	nan	nan	nan	nan	nan	3.660883520739727
0	nan	nan	nan	nan	nan	nan	3.700099207014237
0	nan	nan	nan	nan	nan	nan	3.7393148932887468
8192	0.0017315223616936042	3.775651362688026	0.004452135073399704	0.007915179796786912	0.006183657435093307	0.006183657435093308	3.778530579563257
12288	0.002452058722816264	3.813031619743231	-0.0008576876784203721	0.004497931257848364	0.001035217459539734	-0.0005345912008087907	3.8177462658377666
12288	0.004431971407195442	3.861520265569307	-0.0008431989095845212	0.008669777206094808	0.0024033910074384005	-0.0006164052741950867	3.856961952112276
16384	0.004322879045125776	3.8983709495003493	-0.005646554494892923	0.001060794893086213	-0.002613189239360047	-0.0019725703624466646	3.896177638386786
4096	1.734723475976807e-18	3.937890834261003	-0.00463848826424278	-0.00463848826424278	-0.004638488264242778	-0.00463848826424278	3.9353933246612955
20480	0.0017824073705298006	3.9672949655753484	-0.0007869165719629594	0.0017485433998403245	0.0003091308250620951	0.0012695780176228428	3.9746090109358057
28672	0.002201431857584866	4.012527242810761	-0.0021095246477020515	0.0022245992097445354	0.00020462642093561806	9.276561328789547e-05	4.013824697210316
16384	0.004024366762404416	4.05797829903168	-0.0024841761095035836	0.003220732367021491	0.00046883022065369556	0.0002677260368642107	4.053040383484825
16384	0.0011313743898823884	4.089002653868812	0.0006471701106469668	0.0022603376946116758	0.0013718274671156126	0.0015356803381430296	4.092256069759335
28672	0.0015205681211822616	4.136399207999922	-0.001015214452693203	-0.00015490380819739442	-0.0006808916441233152	-0.0004310665560054764	4.131471756033845
36864	0.002954982889785455	4.172855934852715	-0.0015556826242852954	0.0006025149311765797	4.6190502828732126e-05	-0.0009743173066252041	4.170687442308354
73728	0.002602273441562462	4.209729461349266	-0.0022550850714893544	0.0006936918865209742	-0.0006393674065588434	-0.0005953516029664279	4.209903128582864
110592	0.001754156721828534	4.249653641817456	-0.001735299432390052	0.0015170413850240194	3.853339470546018e-05	-1.7921523782372855e-05	4.249118814857374
118784	0.002013574173379558	4.28723708712577	-0.0009360424385963999	0.0012198958523982973	6.937045071500377e-05	-0.00010230659510000533	4.288334501131884
118784	0.0014221243492248065	4.32986770530283	-0.000929348659049338	0.00112557904427793	0.0001440029307824032	0.00010616611520523733	4.327550187406394
102400	0.0018940041928615296	4.362290234021543	-0.0009494048338933497	0.001029037169863604	2.3055933654721385e-05	0.00025160609012966044	4.366765873680904
135168	0.0017809804132444327	4.406047901913778	-0.001041859025315196	0.0007798512294643831	7.488051086292789e-06	0.0001827102891880909	4.405981559955413
118784	0.0014174648645901957	4.4465803138430084	-0.000668926557463813	0.000998949772405647	2.0218555766928506e-05	0.0001711886987720567	4.445197246229924
114688	0.0016158489701223928	4.480911964378971	-0.0011324603054852207	0.001489192803000119	0.000251089088400954	-7.227160537293277e-05	4.4844129325044335
114688	0.00143320945524637	4.526552444937461	-0.0007021121181796889	0.0007546407161608317	-0.00020224694454243377	-9.709523312606544e-05	4.523628618778943
106496	0.001696630304738942	4.563215526120336	-0.0011471626027335744	0.000993154005060489	-0.00024807860291497147	-0.0002383985052902938	4.562844305053453
98304	0.0013935039555616324	4.605816365424469	-0.0012707150623863946	0.0004546139866360646	-0.0004610477987469694	-0.0003644335424821616	4.6020599913279625
94208	0.001060905186384636	4.643715502613914	-0.0010323014477298233	0.0005723664212240349	-8.93526615763605e-05	-0.00014724889611318444	4.641275677602472
106496	0.0014189087826480082	4.685501722217928	-0.001115396543891063	0.0010845480441758967	0.00011437744714764558	0.0006923071121593824	4.680491363876982
36864	0.001050370933421502	4.720451896383082	-0.001020190498376162	0.000283760225739301	-0.00037129221938952023	-0.0008775405977821245	4.7197070501514915
53248	0.001193195332720556	4.759586024784136	-0.0013033732246752498	0.0011360521310819591	-6.737935225608966e-05	-0.000194865861871957	4.758922736426001
45056	0.000969794763472027	4.796449221979091	-0.0007442642619039483	0.0009782281348278805	9.274195903460776e-05	-0.00030566054256731944	4.798138422700512
81920	0.0012325310553818777	4.837511567080928	-0.0007822346777084281	0.0007151710794320796	3.8446192701208944e-05	0.00016226766929207826	4.837354108975021
94208	0.001396318769679677	4.877276971563073	-0.0007324018348890499	0.0012050210885785186	-7.50321452136661e-05	-0.0004747141080026395	4.876569795249531
65536	0.001860137747769341	4.9145189787568535	-0.0012395819434766141	0.001601743800968717	0.00026866080674409215	-0.0006088503857910785	4.915785481524041
69632	0.0008515419156730501	4.951552161797008	-0.0005847818369040697	0.0006274116999999834	7.296886098967812e-05	0.00020681236062987328	4.955001167798551
57344	0.0012584255305820567	4.993134050646421	-0.0013341083676511902	0.00101005577422831	-0.000217057044779182	-4.2378829393707176e-05	4.994216854073061
90112	0.0014518872499090637	5.035950075821298	-0.0006361005087862734	0.0014087870101642658	0.000405368604269298	0.0006304132951560347	5.033432540347571
69632	0.0013483770658048076	5.067326170871294	-0.0001891650810441377	0.0009723153062494767	0.00012322772897238726	0.0005828117144908092	5.07264822662208
81920	0.0013138808774107822	5.111682764369074	-0.001277222537742503	0.0005139628255776919	-0.00019218042252693745	-0.0003429694461571993	5.11186391289659
73728	0.0013095220308764336	5.153220983212517	-0.0009757881640668225	0.0007044260441139958	-8.547934678973087e-05	-0.000227791758779846	5.1510795991711
49152	0.0010025059700424577	5.193686361977842	-0.0014214063853095116	-0.00019651700121960463	-0.0007429847938979412	-0.001251109100611978	5.190295285445609
