X Mean	Y Median	X Center	Y Upper Quartile	Y Lower Quartile	Count	Y Mean	Y Std
3.621275148813142	138.61514260366675	3.6216678344652173	1857.3669640896878	-1482.1749155359612	1164	218.12834493044906	2222.9936841719846
3.6611047553245935	48.664659138834395	3.660883520739727	1822.9085054593015	-1599.7605954345026	1492	113.24983752412956	2304.51571805527
3.70048464892397	272.2453973720003	3.700099207014237	1955.6469172497036	-1290.8608153083223	2060	224.6861443869048	2218.011878305379
3.740432989696673	42.69063601866401	3.7393148932887468	1554.4444694257745	-1352.0457810346606	2596	94.61489220494704	2203.4773974041827
3.779315427534834	-59.137679124074566	3.778530579563257	1558.7782540153712	-1501.2040196914677	3252	16.95106993695246	2171.7196376959964
3.8178789223269844	219.16934411801049	3.8177462658377666	1663.1182119800596	-1272.75465788972	4604	182.7637831675918	2104.07362058793
3.857617725671671	133.4308551089125	3.856961952112276	1745.3641295431312	-1287.2687999390455	5584	151.80651599268995	2149.0601682511247
3.8962926466818595	146.71785537244432	3.896177638386786	1633.7241092350305	-1276.4025410803988	7116	157.00964916974223	2093.15642240997
3.936121759137573	139.46722394202152	3.9353933246612955	1602.358585278328	-1235.0093688366687	8196	150.64783304914087	2063.9196033677877
3.975179700009836	269.20633586125405	3.9746090109358057	1611.593977195389	-1139.0792184143338	10204	212.76210911215333	2027.9000971674354
4.014400011290274	242.90594292206788	4.013824697210316	1507.3935143901754	-997.7007645997714	12336	249.9038270379847	1921.289125093777
4.05363799706352	167.76612211516567	4.053040383484825	1310.1697310099262	-910.8385603734132	14520	173.84391470862028	1773.2010177714888
4.093266406470871	109.71953645083659	4.092256069759335	1091.5810641898188	-911.5935881239411	18824	95.37898077329045	1661.5353791580785
4.1324829865840185	99.09066489653924	4.131471756033845	990.333094645328	-789.7669464476548	25744	108.92180613440962	1537.2436536918951
4.171736856237603	91.33356477667348	4.170687442308354	924.052627508866	-716.5769595953207	34456	105.97132371002967	1469.7331731723043
4.2110060218044065	38.93282397074017	4.209903128582864	799.3963041537208	-698.9883391244857	49184	35.4572414811338	1370.5814819126156
4.249817556103694	39.54059674322525	4.249118814857374	723.502135302344	-655.4074643137947	67028	19.930082243542074	1271.997226801682
4.289002979630264	54.33261242713343	4.288334501131884	679.5048006012439	-610.5567495517798	83544	21.551349805903424	1197.7633219310146
4.327892514128423	37.24975974709923	4.327550187406394	634.5932105797981	-567.4243122318826	97584	9.970498632332792	1145.6625943848026
4.367016380933409	27.566275438110097	4.366765873680904	590.8557841349739	-537.993809933816	104724	1.8465523766382612	1096.7315581309672
4.40595668592415	31.821352295129145	4.405981559955413	559.6702095999008	-491.55195958591503	108728	9.582969656719161	1009.2612384555501
4.445180908188992	15.10048877668305	4.445197246229924	495.3311752992886	-476.25874058172303	109324	-11.902321937516271	947.2726518472576
4.484376184092764	7.434564117629634	4.4844129325044335	468.01030185024615	-461.6890934069304	109056	-19.556498078741967	924.2291269465518
4.5236220634338915	16.666851534877424	4.523628618778943	447.4431865015831	-424.5884697701449	106212	-9.617664578879154	865.2811196819328
4.562817659994033	5.3484445556887295	4.562844305053453	421.50733567533644	-423.78641003295706	102424	-17.571871155972687	843.0354588113239
4.601920579336945	12.80576077295109	4.6020599913279625	407.5239013158298	-395.13357652244986	95952	-16.91256523829973	792.2046655627801
4.640760395771933	8.229360640528284	4.641275677602472	390.3157131019375	-382.4771309158248	88512	-14.216119462284377	773.2796997988894
4.679737647644674	9.402643270536828	4.680491363876982	365.16912667714723	-364.0883235438937	74240	-9.522992873182684	728.2242759389767
4.719373537012731	3.3197650684946893	4.7197070501514915	345.2018299317906	-345.02504961808063	62952	-15.1221985597181	661.8726787738118
4.759047170588567	3.2944234043184224	4.758922736426001	300.50773432971255	-318.6942217827782	61416	-15.981550325325395	580.2960263880988
4.798526041982395	3.5515915378891805	4.798138422700512	290.4964487442321	-291.81846685141136	67284	-9.320238622191477	514.5018574971466
4.837183965068677	-4.798994314372976	4.837354108975021	271.52411590459633	-284.56050903256437	67692	-16.100504644018756	500.97992340978044
4.8770023144795696	6.195199298017542	4.876569795249531	267.0836327598445	-259.9046066362371	69732	-1.9724791881513182	455.77853906833724
4.9158495496080885	0.5104765667638276	4.915785481524041	255.36000928508838	-251.27759982876432	75612	-3.2505146857504403	442.9911176453361
4.954702380433115	-1.0365567016960995	4.955001167798551	244.4681330858366	-250.1272232086103	75148	-6.801348832943099	428.6265727354675
4.9942086454493655	-5.402038341206207	4.994216854073061	237.6279357460171	-253.49788625785823	70352	-13.5957255739824	432.58238650462636
5.033641855830376	-4.174152473402501	5.033432540347571	230.34405426547346	-243.87822285435323	76180	-12.69735870990148	416.1369701862694
5.072248736318673	-0.6712921477937925	5.07264822662208	217.97591170239866	-225.25118504500279	75316	-7.937404399390411	395.26783764771903
5.111435780694468	-1.6002734312078246	5.11186391289659	202.6388994087622	-214.9779417056916	66336	-9.393992862340705	378.22954672249267
5.150981224952592	-4.888924312435847	5.1510795991711	193.38359803802814	-204.78465015437723	61864	-9.437965032487613	365.45250274925417
5.1896810336675125	0.5879287985244446	5.190295285445609	187.2586622952349	-192.51220688376452	55144	-2.2085078725679486	345.95137610590956
5.228935070711391	-1.8775320412705696	5.229510971720119	183.2842852232584	-194.8184507945998	45392	-6.569441744214462	335.993160214049
5.267707575387358	-3.9454424345331063	5.268726657994629	172.74099367501185	-180.93227669657244	36044	-8.320629304184378	330.0843607584136
5.306588006061299	-10.302735817231223	5.307942344269139	153.82807804517324	-172.42218260847403	24796	-11.824268684909393	311.65439076390265
