Y Median	Y Lower Quartile	X Center	Y Mean	Count	Y Std	Y Upper Quartile	X Mean
nan	nan	3.6216678344652173	nan	0	nan	nan	nan
nan	nan	3.660883520739727	nan	0	nan	nan	nan
nan	nan	3.700099207014237	nan	0	nan	nan	nan
nan	nan	3.7393148932887468	nan	0	nan	nan	nan
nan	nan	3.778530579563257	nan	0	nan	nan	nan
nan	nan	3.8177462658377666	nan	0	nan	nan	nan
nan	nan	3.856961952112276	nan	0	nan	nan	nan
nan	nan	3.896177638386786	nan	0	nan	nan	nan
nan	nan	3.9353933246612955	nan	0	nan	nan	nan
nan	nan	3.9746090109358057	nan	0	nan	nan	nan
nan	nan	4.013824697210316	nan	0	nan	nan	nan
nan	nan	4.053040383484825	nan	0	nan	nan	nan
nan	nan	4.092256069759335	nan	0	nan	nan	nan
nan	nan	4.131471756033845	nan	0	nan	nan	nan
nan	nan	4.170687442308354	nan	0	nan	nan	nan
nan	nan	4.209903128582864	nan	0	nan	nan	nan
nan	nan	4.249118814857374	nan	0	nan	nan	nan
nan	nan	4.288334501131884	nan	0	nan	nan	nan
nan	nan	4.327550187406394	nan	0	nan	nan	nan
nan	nan	4.366765873680904	nan	0	nan	nan	nan
nan	nan	4.405981559955413	nan	0	nan	nan	nan
nan	nan	4.445197246229924	nan	0	nan	nan	nan
nan	nan	4.4844129325044335	nan	0	nan	nan	nan
nan	nan	4.523628618778943	nan	0	nan	nan	nan
nan	nan	4.562844305053453	nan	0	nan	nan	nan
nan	nan	4.6020599913279625	nan	0	nan	nan	nan
nan	nan	4.641275677602472	nan	0	nan	nan	nan
nan	nan	4.680491363876982	nan	0	nan	nan	nan
-5.872552644455936	-5.872552644455936	4.7197070501514915	-5.872552644455936	443	0.0	-5.872552644455936	4.7270456925854365
nan	nan	4.758922736426001	nan	0	nan	nan	nan
-18.421225871010392	-18.421225871010392	4.798138422700512	-18.421225871010392	3858	0.0	-18.421225871010392	4.810798775471623
19.391190981066757	19.391190981066757	4.837354108975021	19.332362793390995	2392	0.6574421404822007	19.391190981066757	4.844768546541506
27.446313339009066	27.446313339009066	4.876569795249531	24.347192811439125	1805	9.80326704529657	27.446313339009066	4.872199456291216
0.7788716467966879	0.7788716467966879	4.915785481524041	19.897706924631592	8124	19.27954030462409	39.33930307607443	4.908072922267775
8.572183294205388	8.572183294205388	4.955001167798551	8.572183294205388	1416	0.0	8.572183294205388	4.953264613848873
-1.2891927060236412	-29.940183267213797	4.994216854073061	-11.662635884762382	9801	15.644397456486114	-1.2891927060236412	4.988729663801051
-8.83983513417661	-8.83983513417661	5.033432540347571	-9.091742361935767	3170	0.5680188470952238	-8.83983513417661	5.050582219398092
2.673571119839835	2.673571119839835	5.07264822662208	6.320492121962133	3739	4.583108192476884	12.326666491404467	5.06047621117136
18.615495928281234	18.615495928281234	5.11186391289659	18.605549676298857	1076	0.16282716246736856	18.615495928281234	5.110319424628703
9.014895098887791	5.5452026021648635	5.1510795991711	9.27488036427463	11457	3.3494778256427096	13.796851959545165	5.146044366786989
11.70436538987451	11.70436538987451	5.190295285445609	11.70436538987451	1662	0.0	11.70436538987451	5.192019734450349
10.45445241255402	10.45445241255402	5.229510971720119	10.45445241255402	2633	0.0	10.45445241255402	5.243226761034522
23.347386446688688	23.347386446688688	5.268726657994629	23.347386446688688	318	0.0	23.347386446688688	5.260753449826554
nan	nan	5.307942344269139	nan	0	nan	nan	nan
-3.1435952591618843	-3.1435952591618843	5.347158030543649	-4.253002319641824	4031	4.05278345407935	-3.1435952591618843	5.355474679071768
-16.269015027428395	-16.269015027428395	5.3863737168181585	-16.269015027428395	1140	0.0	-16.269015027428395	5.383060845062788
nan	nan	5.425589403092668	nan	0	nan	nan	nan
nan	nan	5.464805089367179	nan	0	nan	nan	nan
nan	nan	5.504020775641688	nan	0	nan	nan	nan
nan	nan	5.543236461916198	nan	0	nan	nan	nan
nan	nan	5.582452148190708	nan	0	nan	nan	nan
