Count	Y Std	X Center	Y Upper Quartile	Y Median	Y Lower Quartile	X Mean	Y Mean
0	nan	3.6216678344652173	nan	nan	nan	nan	nan
256	0.0	3.660883520739727	77.83194815759634	77.83194815759634	77.83194815759634	3.6799638431425667	77.83194815759634
256	0.0	3.700099207014237	145.9225809183754	145.9225809183754	145.9225809183754	3.7104071828491443	145.9225809183754
2304	264.4056910623937	3.7393148932887468	239.47337914683703	194.5148963010979	-24.549370179214748	3.7383451376073333	144.61167426830082
2048	1591.6503016567995	3.778530579563257	194.75941435796562	119.47046591871504	-95.47679630697985	3.7806925651315564	617.7044067990252
3328	1269.3053847846747	3.8177462658377666	191.7259422786683	-6.326169151891008	-61.79881368125734	3.8162031894518686	463.6353783757652
6656	413.09551662083993	3.856961952112276	144.46892871793716	56.04829936412595	-111.59351424013948	3.85623542102634	156.58949119438904
5888	451.58059830479425	3.896177638386786	143.4030320764814	16.626566817422827	-40.14863214466632	3.8952884587488112	111.28964199983213
5120	566.4029227831485	3.9353933246612955	125.67442573898006	63.85305945000482	-89.98401119800542	3.933442864313277	243.9360935221104
7168	372.93803459103765	3.9746090109358057	229.90092851080317	33.60789952590312	-46.65710243995047	3.9729633801659685	142.850198668579
8960	525.2115201937119	4.013824697210316	80.73760339411365	-21.817575936928733	-98.84011324511903	4.013422810585951	17.134537603107205
15104	313.46085529253764	4.053040383484825	139.65682073209064	-17.668418418833426	-107.26723475715426	4.0505508409347035	78.20041093601604
14336	355.59332057742216	4.092256069759335	103.18445196519201	32.34042980568938	-68.78588745945626	4.089950865019229	63.8971016878856
15104	209.23266406824249	4.131471756033845	78.15525993955362	5.283415367474845	-68.76995280769097	4.132175230794826	37.51352133016411
22016	186.85124333570303	4.170687442308354	71.3518488409918	11.024205348070154	-61.23694215442265	4.17081270120837	28.547868536834507
46336	375.7915904048535	4.209903128582864	37.18615392034917	-7.094542922889559	-58.39017489380876	4.211834993685167	-19.916479726861823
70912	164.72924328260157	4.249118814857374	45.61856572094439	-5.232840364360527	-40.11254947051384	4.250217203404733	32.69498932204244
81152	281.17844080651605	4.288334501131884	35.60911129178385	-6.1055539017779665	-43.67930906815309	4.288932304115619	-8.249217013289563
100608	101.62482424100024	4.327550187406394	35.429367517283026	-0.9084496437044436	-32.41941576976751	4.328782903121216	7.519726442890252
92416	73.40694731967933	4.366765873680904	29.032296386213602	-0.3009337226721982	-30.725101148403155	4.367250147771382	4.84921901526123
108800	82.84394906360622	4.405981559955413	30.559538787738347	0.7531270726622097	-27.44706097501512	4.406485242366993	11.85312172921668
103936	46.317144425470104	4.445197246229924	26.690254439337878	0.38042609051581167	-24.991620673406032	4.4449337319241575	0.871071590122362
107520	91.01431912427063	4.4844129325044335	27.838211142796354	2.725401741538917	-28.19363890697855	4.484007244999271	8.36244823726048
105216	75.40736607341088	4.523628618778943	25.442185141931077	-0.9501471038493037	-24.180575303973455	4.523503989208895	4.978598417621572
101888	46.58558627142406	4.562844305053453	23.046538283949303	0.5397779281402109	-21.547933035554706	4.562646305122414	1.7036009885993795
95232	41.57144335092762	4.6020599913279625	25.658325022560348	3.0243145929912316	-22.498273726484285	4.601887845861744	1.8198537293572576
93696	34.540154639731995	4.641275677602472	21.17293372975564	-0.2670856613021897	-24.53872336103086	4.640386684805324	-2.068605219547139
76288	32.98504599209469	4.680491363876982	22.944727418228467	1.1662359843599006	-20.466104097546122	4.679339059992255	1.4967050245002813
59392	42.45267495390623	4.7197070501514915	17.9200004526233	0.6585909584873662	-20.657300888694863	4.720554746275462	1.407203712251634
59136	26.501185292313608	4.758922736426001	18.27765092678146	0.6486037815238888	-15.923668992794774	4.75940229702843	0.2632029335727999
70144	28.39301924855757	4.798138422700512	16.892122399387517	-3.41830169775767	-22.38066280224666	4.800531244251055	-3.0111171522679476
62720	25.443520309373422	4.837354108975021	18.39165460955155	4.135574717185591	-11.3099414644239	4.836313545096489	3.225263948152062
70912	23.464555683721635	4.876569795249531	12.69529897933171	-1.9830593484211931	-16.563048451916984	4.876973923989244	-2.2971172479847515
77312	24.135405545293285	4.915785481524041	16.372040409032707	3.8122934120901846	-10.696548508794876	4.915978708675094	2.250932056069444
78080	21.623538492769715	4.955001167798551	11.374423644743729	-1.1709206339601224	-14.665614084868139	4.955108973141335	-1.4607024027299975
64000	25.21666567615375	4.994216854073061	14.830998803375223	-0.3850065516835457	-15.315834555871334	4.994246633590578	-1.2935893197681216
85248	23.046894238171728	5.033432540347571	13.334161613844117	-0.049613131164733204	-16.00842900405769	5.034430790146009	-1.1405339458978077
72704	21.79524885632208	5.07264822662208	11.760533155397297	-0.3398756235123983	-13.912491804378988	5.073228495208846	-1.0996513458062316
65024	23.24717893035277	5.11186391289659	15.890413411276313	0.47228880220609426	-13.252615776855237	5.112416314635645	1.3374276188817027
61184	22.258298462758724	5.1510795991711	13.758688784062542	0.7421542563752155	-13.85637655769824	5.151293786214266	0.45561032240789723
58368	27.53414031731032	5.190295285445609	20.754691418003404	0.7787624739466992	-16.04556757386331	5.189705717600212	0.7835399455604298
43520	26.595491013213792	5.229510971720119	14.00842169308089	-0.8489920280421757	-16.545141520409743	5.229386982444749	-1.6187034250188201
36864	61.28274381044582	5.268726657994629	12.523567025223656	-4.422837544259892	-20.024457290693135	5.266515830621089	-8.655313975781318
24576	25.00798024289009	5.307942344269139	17.47399505081694	3.3382548987892733	-12.949753346146736	5.306200204003207	1.0516359090938276
15616	28.374737972086	5.347158030543649	16.616444386741932	-5.406697613598226	-18.363492469990888	5.346635384136959	-1.2399987396351446
