Y Upper Quartile	Y Mean	Y Lower Quartile	X Center	Count	Y Median	Y Std	X Mean
nan	nan	nan	2.8075630150895257	0	nan	nan	nan
nan	nan	nan	2.8663865445012906	0	nan	nan	nan
nan	nan	nan	2.925210073913055	0	nan	nan	nan
nan	nan	nan	2.9840336033248196	0	nan	nan	nan
nan	nan	nan	3.0428571327365845	0	nan	nan	nan
nan	nan	nan	3.1016806621483495	0	nan	nan	nan
nan	nan	nan	3.160504191560114	0	nan	nan	nan
nan	nan	nan	3.2193277209718785	0	nan	nan	nan
nan	nan	nan	3.2781512503836434	0	nan	nan	nan
nan	nan	nan	3.3369747797954084	0	nan	nan	nan
nan	nan	nan	3.395798309207173	0	nan	nan	nan
nan	nan	nan	3.4546218386189373	0	nan	nan	nan
nan	nan	nan	3.5134453680307023	0	nan	nan	nan
nan	nan	nan	3.5722688974424672	0	nan	nan	nan
nan	nan	nan	3.6310924268542317	0	nan	nan	nan
nan	nan	nan	3.689915956265996	0	nan	nan	nan
nan	nan	nan	3.748739485677761	0	nan	nan	nan
nan	nan	nan	3.807563015089526	0	nan	nan	nan
nan	nan	nan	3.8663865445012906	0	nan	nan	nan
nan	nan	nan	3.925210073913055	0	nan	nan	nan
2.97193342065909	2.9311242194992295	2.878592829429137	3.9840336033248196	1536	2.9494733495883665	0.07308922588429215	4.0004763191115345
2.8975875464809775	2.8416565744237086	2.7823864422817097	4.042857132736584	6976	2.8312104517226047	0.08090061575172418	4.046548043515664
2.9119575919150935	2.861738197461104	2.800270449232364	4.1016806621483495	10304	2.8641636197071625	0.08334889209913482	4.101917667809651
2.9126845962867325	2.8624628927335207	2.817669454935999	4.160504191560114	23936	2.8626479952844277	0.07000596578560438	4.164418057427479
2.9039469831410125	2.862167952533859	2.8226322601219582	4.219327720971879	32896	2.8638940471077943	0.06181554663121767	4.21946884292626
2.9311652753500455	2.892440297565256	2.8518888205551134	4.278151250383644	36224	2.894655567683583	0.06088281484603155	4.2783654522261045
2.9485712974017684	2.9099960604350805	2.8728147648876927	4.336974779795408	34368	2.911797301985938	0.05776991509591378	4.338120617316846
2.9570014414726	2.8680285170407847	2.8362471971822956	4.395798309207173	39040	2.909140656015139	0.13860013372572189	4.397032674440601
2.9633350069317266	2.811379310490945	2.667737552121537	4.454621838618937	63616	2.7994281152702802	0.165390101907316	4.4570617863158555
2.960846895197392	2.839663766733825	2.736687778499076	4.513445368030702	112832	2.8020704182179315	0.1394807152260508	4.5152651248035225
3.0012209235057656	2.9033148038435557	2.7998944002330477	4.572268897442467	124800	2.8902928684199316	0.1402058413143373	4.572584873820296
3.0336988991261884	2.954323418676625	2.863302041968251	4.631092426854232	141376	2.950430339293639	0.13377440707228178	4.6306730405440355
3.0843122134858962	2.98575845418796	2.895761666116548	4.689915956265997	133888	2.9857697800173986	0.14394173321305057	4.689903119053181
3.136336567434529	3.020832871271459	2.904713693209207	4.748739485677762	159168	3.0137863768194872	0.16832958002397697	4.749411026287348
3.2064286386011824	3.057131431486618	2.9063679449428887	4.807563015089526	205696	3.0481263030299903	0.20068223214902167	4.8091804481206815
3.2578848499047894	3.069965410663558	2.8280291674619358	4.866386544501291	294016	3.0750388318570065	0.23919847214462925	4.86821528341253
3.3267943082547555	3.1699521160064696	3.015014441973088	4.925210073913055	320448	3.1842167666146017	0.22586611529018366	4.9251847138239695
3.3973605060515166	3.2404258004894944	3.0625320396930116	4.98403360332482	281408	3.2551711870009616	0.2338546813212857	4.982849282696725
3.4815060543668968	3.302933027971705	3.114062408799202	5.042857132736584	207296	3.306079167689865	0.24557736032460398	5.040621213258618
3.539795708344938	3.3691436418900818	3.1871878399034106	5.1016806621483495	127232	3.3675431781177854	0.25171487949860477	5.099167614817221
3.5630028636619238	3.3965704797513054	3.228296200617101	5.160504191560115	80064	3.353788150151295	0.25631265668597586	5.158449820648857
3.6392559188262608	3.449478237315467	3.267676112237009	5.219327720971879	48640	3.382429478497433	0.2717404680102455	5.217584740003101
3.604985384615061	3.4784068991557064	3.307008187140205	5.278151250383644	29120	3.404263186159514	0.23600467571739184	5.276618533002975
3.5659892004310754	3.489135167784181	3.345551726267724	5.336974779795408	17536	3.4195747412912714	0.21833996190408986	5.334048716671182
3.6012548483813664	3.5019942024781696	3.3448922666130363	5.395798309207173	12928	3.435985834500862	0.22241487247406622	5.39589840374596
3.531730465667473	3.468575593918213	3.3509510055681044	5.454621838618937	8896	3.453868913321232	0.1582293743169663	5.454234125002774
3.5527267821342305	3.468666218971143	3.3663924393916727	5.513445368030702	9152	3.484278744116529	0.11152785509769007	5.5124731550228185
3.567434628949065	3.4804382889521257	3.379989279288347	5.572268897442467	6336	3.478771332606156	0.11148753556115949	5.570431642856178
3.5428985319081936	3.477708128827655	3.4062232545547513	5.631092426854233	2944	3.4732584201016827	0.07867549922016892	5.628592344812054
3.545989215166917	3.5351773908206225	3.488507519115667	5.689915956265997	768	3.534203167151949	0.10597213114146606	5.686413817773506
3.518408283926516	3.5000034315188238	3.480530288442856	5.748739485677762	256	3.4989351408505485	0.027658770156862435	5.7303668926241205
