Y Median	Y Lower Quartile	X Center	Count	Y Mean	X Mean	Y Std	Y Upper Quartile
nan	nan	3.6216678344652173	0	nan	nan	nan	nan
nan	nan	3.660883520739727	0	nan	nan	nan	nan
nan	nan	3.700099207014237	0	nan	nan	nan	nan
nan	nan	3.7393148932887468	0	nan	nan	nan	nan
-42.017431931054944	-128.97463625985347	3.778530579563257	8192	-42.017431931054944	3.774320225609136	86.95720432879851	44.93977239774358
nan	nan	3.8177462658377666	0	nan	nan	nan	nan
9.35228881769308	-11.624367959617302	3.856961952112276	12288	17.932449819638958	3.862169740681089	28.29401462390549	56.06942860084109
-12.492281811535122	-14.333435874749739	3.896177638386786	8192	-12.492281811535122	3.8939855705506794	1.8411540632146168	-10.651127748320505
-58.99661355426724	-58.99661355426724	3.9353933246612955	4096	-58.99661355426724	3.9396511160299776	0.0	-58.99661355426724
21.237859247537017	-28.807527247973667	3.9746090109358057	20480	3.346509725359101	3.9673052370163178	31.02421213864695	28.468323102473732
20.549219151074794	-9.138487909902324	4.013824697210316	20480	12.419331564029926	4.012345954039857	26.097835232165522	25.37979959435779
0.1784654888751902	-1.5905800754628672	4.053040383484825	16384	11.737465117522106	4.059103080293401	21.516020444219237	13.506510681860163
-16.850355641265196	-31.802262264262936	4.092256069759335	12288	-16.32085164788805	4.08904375524729	12.862138699720957	-0.30993703813601314
-2.0746414590521454	-15.842546508230043	4.131471756033845	28672	3.968372109957532	4.136881888824751	20.503660177118725	28.49798740569804
-12.581595499382274	-21.7646335260481	4.170687442308354	32768	-8.477947181101513	4.1726489651530425	15.510272455853434	3.1444339057259185
0.6389428217653403	-7.549571963341805	4.209903128582864	77824	1.0715417707201835	4.210444211011119	13.199265130782063	13.526324920774641
-1.7507859797469791	-11.227785642033268	4.249118814857374	106496	-0.2920725828098861	4.249933987557662	17.04972001321892	7.882915104595668
4.139595565328364	-2.496478395891245	4.288334501131884	122880	2.554563471724062	4.287934468229691	16.734736375722484	12.065566893072173
2.566180098571749	-3.7959188433578674	4.327550187406394	110592	5.736821210526546	4.3302098268793765	13.820250288847909	16.481051644344916
3.761426252214278	-8.512994801631976	4.366765873680904	106496	2.6156207900333075	4.362192145577306	10.988296229751969	11.598989593683655
2.289413055908881	-8.583686706999288	4.405981559955413	135168	0.6123546542848723	4.406045647681823	9.901878065186404	5.885530457230743
-4.140474455316507	-9.369383398508035	4.445197246229924	118784	-0.8269190395916478	4.446510890110018	12.249230446416199	8.765051960221172
-0.9645839598765633	-5.611979602529573	4.4844129325044335	114688	-0.9070786546740237	4.4808110614543555	8.382230902450281	5.144509911760451
1.0072435887045685	-4.813373408748703	4.523628618778943	114688	-0.038926215402852904	4.526302172329979	8.050351117766823	5.995840084496422
1.4900967595626753	-5.006299360751655	4.562844305053453	106496	0.21331539296058438	4.563548426675222	7.450239313728578	6.607911367183988
-4.58825264485813	-8.286380866590662	4.6020599913279625	98304	-3.7886395770355343	4.605765989464149	7.738154173654947	2.2355662176230453
2.4173498609625312	-3.7265191964397673	4.641275677602472	94208	2.1999478613819043	4.643810133376522	8.605053058108474	7.6064268552445355
3.7653609054459594	-4.5288453873035905	4.680491363876982	102400	2.9093582286180024	4.685003148966907	13.203772803082101	11.462920111283893
1.8637995681219763	-1.3838297621487072	4.7197070501514915	40960	3.5340641614378	4.718878511314569	8.274051548274027	7.034400293821818
1.9031223809579387	-3.0129654827342165	4.758922736426001	53248	4.26053989639646	4.759888241265826	11.68791073742908	5.662857562750105
8.63822362229621	-9.33910131032826	4.798138422700512	45056	5.488158320467102	4.796548633677104	17.636123432193216	18.77287309843632
1.6209199303148125	-13.906484431375475	4.837354108975021	81920	-2.066340598441593	4.837428789220757	13.020641750698772	8.892577934232577
-0.4823454773568301	-8.81887510154229	4.876569795249531	98304	-1.391709743324706	4.87811732167211	13.726600219410905	4.866800189906371
3.0346027782152305	-7.615543671852038	4.915785481524041	65536	2.2807724548063675	4.916813593349901	13.89555893133588	10.180542902301568
-4.237265829024182	-8.20314339971901	4.955001167798551	65536	-3.5513934927195123	4.952385012200239	7.772812920137471	1.377899078858718
-3.980267351216753	-7.842506828777914	4.994216854073061	57344	-2.5416304141303954	4.99321734424185	9.640260926275067	5.196988031083492
-1.222266919087815	-5.631186834363689	5.033432540347571	90112	-0.10628052967657906	5.036055334821529	11.072023452581764	7.481336711225595
-3.423787866740895	-6.983858919755221	5.07264822662208	69632	-1.4724334464846085	5.067365564189295	9.195956552627054	4.955643727395
0.46236117864918924	-6.918292715646658	5.11186391289659	81920	1.5220815701349693	5.111696621019631	11.049962568574674	9.416132108886131
5.860004136160569	-3.7469244414260174	5.1510795991711	73728	2.7421025256752625	5.153312000322698	17.467682860187363	8.49847892995058
2.4868853969919655	-1.857118752236147	5.190295285445609	49152	5.431548079367076	5.193626783088825	11.550321509058369	13.075075014532104
3.53235644079723	-4.0365165486582555	5.229510971720119	77824	3.0108780773924466	5.233218841709924	15.292720701777675	13.11895582922807
34.53373740684947	13.459212799858506	5.268726657994629	12288	28.521565411815875	5.268805283396927	10.722662099555752	37.57174602873965
-28.032547641199926	-39.359534713166795	5.307942344269139	12288	-26.034219839527697	5.316366084770196	11.780935946479888	-10.710577164216375
-11.094168453164457	-14.072402852578307	5.347158030543649	20480	-9.215216030169177	5.3549659741899855	16.83605368369261	-3.407410151503427
-20.536143719054053	-25.21321527984219	5.3863737168181585	16384	-20.812614964372642	5.385390257281079	7.847704030637395	-16.135543403584506
