Y Mean	Count	X Mean	Y Median	Y Upper Quartile	Y Std	Y Lower Quartile	X Center
nan	0	nan	nan	nan	nan	nan	3.6216678344652173
nan	0	nan	nan	nan	nan	nan	3.660883520739727
nan	0	nan	nan	nan	nan	nan	3.700099207014237
nan	0	nan	nan	nan	nan	nan	3.7393148932887468
nan	0	nan	nan	nan	nan	nan	3.778530579563257
nan	0	nan	nan	nan	nan	nan	3.8177462658377666
nan	0	nan	nan	nan	nan	nan	3.856961952112276
nan	0	nan	nan	nan	nan	nan	3.896177638386786
nan	0	nan	nan	nan	nan	nan	3.9353933246612955
nan	0	nan	nan	nan	nan	nan	3.9746090109358057
nan	0	nan	nan	nan	nan	nan	4.013824697210316
nan	0	nan	nan	nan	nan	nan	4.053040383484825
nan	0	nan	nan	nan	nan	nan	4.092256069759335
nan	0	nan	nan	nan	nan	nan	4.131471756033845
nan	0	nan	nan	nan	nan	nan	4.170687442308354
nan	0	nan	nan	nan	nan	nan	4.209903128582864
nan	0	nan	nan	nan	nan	nan	4.249118814857374
nan	0	nan	nan	nan	nan	nan	4.288334501131884
nan	0	nan	nan	nan	nan	nan	4.327550187406394
nan	0	nan	nan	nan	nan	nan	4.366765873680904
nan	0	nan	nan	nan	nan	nan	4.405981559955413
nan	0	nan	nan	nan	nan	nan	4.445197246229924
nan	0	nan	nan	nan	nan	nan	4.4844129325044335
nan	0	nan	nan	nan	nan	nan	4.523628618778943
nan	0	nan	nan	nan	nan	nan	4.562844305053453
nan	0	nan	nan	nan	nan	nan	4.6020599913279625
nan	0	nan	nan	nan	nan	nan	4.641275677602472
nan	0	nan	nan	nan	nan	nan	4.680491363876982
nan	0	nan	nan	nan	nan	nan	4.7197070501514915
2.321102125750258	1660	4.778450587939629	2.321102125750258	2.321102125750258	0.0	2.321102125750258	4.758922736426001
-17.64737903374771	164	4.800142313361952	-17.64737903374771	-17.64737903374771	0.0	-17.64737903374771	4.798138422700512
-2.4524097581343085	10770	4.82443219693561	-2.4524097581343085	-2.4524097581343085	0.0	-2.4524097581343085	4.837354108975021
nan	0	nan	nan	nan	nan	nan	4.876569795249531
nan	0	nan	nan	nan	nan	nan	4.915785481524041
nan	0	nan	nan	nan	nan	nan	4.955001167798551
nan	0	nan	nan	nan	nan	nan	4.994216854073061
-6.040334964187077	19672	5.024848366595525	-9.87766329738588	-2.62087558001258	6.368026312483374	-9.87766329738588	5.033432540347571
-6.401877650017923	6631	5.057432975618219	-6.401877650017923	-6.401877650017923	0.0	-6.401877650017923	5.07264822662208
nan	0	nan	nan	nan	nan	nan	5.11186391289659
-6.246819205616702	6998	5.163541983401991	-6.246819205616703	-6.246819205616703	8.881784197001252e-16	-6.246819205616703	5.1510795991711
nan	0	nan	nan	nan	nan	nan	5.190295285445609
nan	0	nan	nan	nan	nan	nan	5.229510971720119
-4.679557654013479	10571	5.28096529463029	-4.679557654013479	-4.679557654013479	0.0	-4.679557654013479	5.268726657994629
-4.061242705512996	318	5.30443852164769	-4.061242705512996	-4.061242705512996	0.0	-4.061242705512996	5.307942344269139
nan	0	nan	nan	nan	nan	nan	5.347158030543649
-2.149960404221929	281	5.403167919194642	-2.149960404221929	-2.149960404221929	0.0	-2.149960404221929	5.3863737168181585
nan	0	nan	nan	nan	nan	nan	5.425589403092668
nan	0	nan	nan	nan	nan	nan	5.464805089367179
nan	0	nan	nan	nan	nan	nan	5.504020775641688
nan	0	nan	nan	nan	nan	nan	5.543236461916198
nan	0	nan	nan	nan	nan	nan	5.582452148190708
