Y Lower Quartile	Count	Y Upper Quartile	Y Mean	Y Median	Y Std	X Center	X Mean
nan	0	nan	nan	nan	nan	3.6216678344652173	nan
nan	0	nan	nan	nan	nan	3.660883520739727	nan
nan	0	nan	nan	nan	nan	3.700099207014237	nan
nan	0	nan	nan	nan	nan	3.7393148932887468	nan
nan	0	nan	nan	nan	nan	3.778530579563257	nan
nan	0	nan	nan	nan	nan	3.8177462658377666	nan
nan	0	nan	nan	nan	nan	3.856961952112276	nan
nan	0	nan	nan	nan	nan	3.896177638386786	nan
nan	0	nan	nan	nan	nan	3.9353933246612955	nan
nan	0	nan	nan	nan	nan	3.9746090109358057	nan
nan	0	nan	nan	nan	nan	4.013824697210316	nan
nan	0	nan	nan	nan	nan	4.053040383484825	nan
nan	0	nan	nan	nan	nan	4.092256069759335	nan
nan	0	nan	nan	nan	nan	4.131471756033845	nan
nan	0	nan	nan	nan	nan	4.170687442308354	nan
nan	0	nan	nan	nan	nan	4.209903128582864	nan
nan	0	nan	nan	nan	nan	4.249118814857374	nan
nan	0	nan	nan	nan	nan	4.288334501131884	nan
nan	0	nan	nan	nan	nan	4.327550187406394	nan
nan	0	nan	nan	nan	nan	4.366765873680904	nan
nan	0	nan	nan	nan	nan	4.405981559955413	nan
nan	0	nan	nan	nan	nan	4.445197246229924	nan
nan	0	nan	nan	nan	nan	4.4844129325044335	nan
nan	0	nan	nan	nan	nan	4.523628618778943	nan
nan	0	nan	nan	nan	nan	4.562844305053453	nan
nan	0	nan	nan	nan	nan	4.6020599913279625	nan
nan	0	nan	nan	nan	nan	4.641275677602472	nan
nan	0	nan	nan	nan	nan	4.680491363876982	nan
-0.06124007743384703	8	-0.06124007743384703	-0.06124007743384703	-0.06124007743384703	0.0	4.7197070501514915	4.731855436208293
0.02240956706392659	435	0.02240956706392659	0.0224095670639266	0.02240956706392659	6.938893903907228e-18	4.758922736426001	4.7527820571014985
-0.0011187248656935966	3119	0.043422697638277497	0.024738807252886384	0.03124605240357607	0.019430421362019137	4.798138422700512	4.805547017469795
-0.028006311838851595	3022	0.007256454447261526	-0.0077888291328611975	-0.0018819970196828455	0.01494264072334667	4.837354108975021	4.832910841841974
-0.0008149840534214829	4316	0.011963931709108656	0.008893967888771344	0.002956544790560334	0.019994011364322387	4.876569795249531	4.87789145591911
-0.028741549701668735	4211	0.006479822404766678	-0.009067925586187445	-0.00875631950342367	0.022896157216932386	4.915785481524041	4.910515708907824
0.0013273048612280854	6624	0.02060989733278535	0.0036990998813543293	0.010321655310863178	0.024650850098893454	4.955001167798551	4.948328028854758
-0.012558894379002745	5139	0.0031035849006482313	-0.006391801731398207	-0.011928518709462186	0.008225438828195947	4.994216854073061	4.993167027923689
0.0022711205125438543	4137	0.01000997643539805	0.0012577490456246664	0.004251617870939316	0.014613623529609949	5.033432540347571	5.0274792492031475
0.00854034500673431	5519	0.03300953406486595	0.01920346148390243	0.020753367803426324	0.01615597728967181	5.07264822662208	5.073453882134869
0.003172415606782503	4629	0.011350940815294794	0.008554910053781098	0.0075112224138144616	0.005973199193888909	5.11186391289659	5.106507393391876
-0.018884670447525873	2764	-0.0038623840883156286	-0.008413124642461233	-0.004370785322520094	0.008350910490941412	5.1510795991711	5.144926863922839
0.0038392539267432858	2422	0.006144243546939424	0.0039085617666120166	0.0038392539267432858	0.0046256905755343546	5.190295285445609	5.194701964119506
-0.00321469603585723	3168	0.003032929041020307	0.001324814590515142	0.0004576229396971514	0.0037810740704100816	5.229510971720119	5.231286823959144
-0.009392334659773677	1280	-0.009392334659773677	-0.006502447831651148	-0.009392334659773677	0.005779773656245061	5.268726657994629	5.265613263952758
0.01755164090044565	3073	0.021056258926583936	0.01872010975779594	0.01755756237608353	0.0016531524691230965	5.307942344269139	5.315564041783247
0.028417207596879338	1024	0.028417207596879338	0.028417207596879327	0.028417207596879338	1.0408340855860843e-17	5.347158030543649	5.361040386350136
-0.017481120716364124	2175	0.006039724945934756	-0.005991470998810465	-0.002545654068759674	0.011000748692479564	5.3863737168181585	5.3758955689584695
nan	0	nan	nan	nan	nan	5.425589403092668	nan
nan	0	nan	nan	nan	nan	5.464805089367179	nan
nan	0	nan	nan	nan	nan	5.504020775641688	nan
nan	0	nan	nan	nan	nan	5.543236461916198	nan
nan	0	nan	nan	nan	nan	5.582452148190708	nan
