Count	Y Std	Y Lower Quartile	Y Mean	Y Median	Y Upper Quartile	X Mean	X Center
0	nan	nan	nan	nan	nan	nan	3.6216678344652173
0	nan	nan	nan	nan	nan	nan	3.660883520739727
1280	742.5276044636284	123.44382272268558	675.2712284587744	195.77521336982682	1202.6116360000524	3.7047235110720806	3.700099207014237
1536	1504.4741538072003	-195.7673173180483	763.8084444869936	115.0104914617578	999.7208325907532	3.7409729896402673	3.7393148932887468
3840	219.81003130659337	-155.07631768103965	-20.305936451821687	32.99394746390226	136.07167744769959	3.781348796164368	3.778530579563257
3584	482.9004758171126	-230.32076696107652	-72.88363613570523	-65.66883628761953	158.07961399258238	3.816504838859639	3.8177462658377666
4608	210.30886055942423	-146.63750146143866	-16.910707935838285	-16.79532387842937	54.80607015313399	3.8584144382569057	3.856961952112276
7424	391.5832193716269	-153.94089067539971	-22.847981812674146	-5.662030041912658	125.16241691321102	3.899838050326671	3.896177638386786
5120	171.99327275017987	-71.93078920207222	13.153709689938614	69.09126738191844	105.69495215102802	3.9313615107736033	3.9353933246612955
7936	590.3054818868706	-88.62900308201824	253.49391478366502	30.259473224367866	142.2598732469687	3.971821355589063	3.9746090109358057
10496	394.69055806654217	-110.71528863020376	-26.525178988136837	-21.81636549750459	65.73683363273176	4.013994692393597	4.013824697210316
14080	242.75848520089485	-60.618354684196674	64.2769703102178	21.57410126598006	143.33256689708924	4.053210501775823	4.053040383484825
11264	260.7764804620768	-62.4356045706013	53.57134903894508	25.715879267847868	95.72031232409017	4.090901561520707	4.092256069759335
14848	280.47101219202295	-51.66387845236841	67.12435581222103	13.908228313010568	80.78602858151771	4.134082108619934	4.131471756033845
22272	158.26077657337527	-68.50553546921947	-4.674412156576798	-22.185175613268257	36.72447208724316	4.1717077970001295	4.170687442308354
46848	280.7036934952156	-42.54322325076191	41.15752525348056	-4.623561668703587	45.254854188472564	4.211515952255084	4.209903128582864
70912	122.1845917944513	-34.66513534092883	17.253323218177883	-1.6652053389561843	41.19178501530314	4.250329364230689	4.249118814857374
80128	106.76830062328486	-35.47887881302813	11.193983704738054	-0.06555068020679755	34.608032012381955	4.288717437916657	4.288334501131884
102400	111.95690359566639	-34.395878736512486	5.7606184745672975	-2.5491081142495204	30.456703551028795	4.328607115321496	4.327550187406394
94720	80.09008186254654	-34.999228032614155	4.3154541018033195	2.3881866217061543	29.95985208136517	4.367112739696274	4.366765873680904
107264	80.66982031556452	-27.70059437510463	5.5832186812429105	-3.5493047735872096	25.749663018478714	4.406069945239766	4.405981559955413
103680	56.869616692460866	-22.60045137285124	7.1212446394250275	3.1881456192295445	28.595225910908994	4.444764493454875	4.445197246229924
108800	60.3637518538293	-25.91095669995957	2.100360449803835	2.32639646277039	26.969078123450345	4.484297884356389	4.4844129325044335
102656	49.781230408864744	-26.683022289479595	-2.539774125537832	-5.919148318022053	22.997343989411092	4.523483544373046	4.523628618778943
103424	56.376131913433106	-27.01639872538226	0.3577594299492335	2.5357251723680747	25.940109121001115	4.56271529922166	4.562844305053453
98048	39.924015857506646	-26.667405282477375	-0.7082468357588126	-2.455484160856031	24.18353779883364	4.6023914240883474	4.6020599913279625
91648	36.60342385830885	-24.43586370895082	-2.601740897599198	-2.8617449546677562	16.892789516910852	4.641190111484039	4.641275677602472
73984	32.68659299101681	-20.541047785305636	-2.2492372545504473	-3.3649765260379354	17.24673453295236	4.679110260932391	4.680491363876982
61440	26.672493073061663	-18.36949512463184	-1.1014825372733261	-2.006458564280365	17.014188766823736	4.7204936789861165	4.7197070501514915
57856	29.5390425082402	-17.12551009402523	1.016841751539031	0.41063942299297196	20.72909646869266	4.75936625988395	4.758922736426001
71936	28.0056008022184	-21.922950632457287	-3.5142019550547055	-4.0109679920778945	14.849636247516173	4.80089989220925	4.798138422700512
61184	25.12371827702871	-18.89349798789226	-3.0701670001259598	-4.295987879169843	13.175621331803995	4.836579223158179	4.837354108975021
69376	26.209418355994828	-17.095976227088613	0.6187184912479194	-1.3216563077448882	20.93576872932499	4.876621859678049	4.876569795249531
79104	23.823890775597626	-12.400956291307011	2.2155216617105036	2.2273669296500884	14.709005841719772	4.915769722626351	4.915785481524041
78336	22.765598170459818	-15.370815752363342	0.1795179935684543	0.19753598312308895	12.926950215063698	4.955439550317954	4.955001167798551
63232	24.81853756658336	-17.19689274569282	-2.1441141410810696	-3.834227672083216	15.368315554171204	4.994239435155959	4.994216854073061
83712	21.882070127315	-14.611706102794415	-0.8981693387886146	-1.2241238363994853	14.867383966469788	5.034131102042259	5.033432540347571
74496	21.945163324835367	-14.028717031584165	-0.31063069923016834	-0.6825231781731418	13.153008525885525	5.072931357826638	5.07264822662208
63744	20.64670436749159	-13.641979895863187	-1.2667874787587434	-0.3156424393218913	11.911715092492159	5.112150713277072	5.11186391289659
62464	21.62063120899521	-14.91882232196349	-0.4116383464708156	-0.5010119025992026	12.36370410606628	5.151139279070168	5.1510795991711
58368	24.295127210061732	-14.389075581671932	0.6217730186310028	1.3374576853511826	16.69272404554431	5.190057387403967	5.190295285445609
43008	26.89062716579533	-16.277806440840322	0.05796036469370219	-0.5936063160115737	15.125726788292923	5.229518335994849	5.229510971720119
37376	54.802427965326956	-15.256168250300107	-5.760617822016347	-1.1886819821193058	11.524766464754066	5.266817510913705	5.268726657994629
24320	27.734035660015195	-23.616089618120895	-4.676695702789038	-7.074504829390207	8.136434972140705	5.306259746372875	5.307942344269139
15360	27.901780348659326	-20.457351075356655	-2.036918950853093	-3.5914991816443944	15.899116720799157	5.346082092432908	5.347158030543649
