Y Upper Quartile	Y Mean	Y Lower Quartile	X Center	Count	Y Median	Y Std	X Mean
5934.8319660813895	5934.831966081389	5934.8319660813895	5098.0392156862745	64	5934.8319660813895	9.094947017729282e-13	5014.034465633307
8239.59590346406	8158.196410672448	8169.468725303472	5294.117647058823	320	8192.220226816313	198.29657907910587	5257.5796630741115
7885.595195770406	7679.208765381941	7498.77935059467	5490.196078431372	384	7754.196615901055	331.5033694583455	5501.8395958265755
7919.604497372216	7575.9430290842365	7399.046777894236	5686.274509803921	832	7586.311060913434	509.6383763471351	5672.227233762753
7950.274110892038	7568.116674110104	6954.305860345422	5882.35294117647	192	7799.770051092852	438.35727766655907	5900.831886245181
8152.547335956057	7610.105751619552	7412.8630698710485	6078.431372549019	640	7813.488535169394	766.3948699468608	6066.319401833433
8431.272922572209	8020.4179828864035	7916.981379189535	6274.509803921568	832	8085.500360648829	546.49732876564	6275.55393144516
8029.092642114788	7621.508930392553	7118.91898047045	6470.588235294118	960	7844.237310204157	473.53075842285926	6486.011161566963
7958.993746658122	7679.8498858038465	7423.198498145287	6666.666666666667	1984	7748.305541698539	539.7054917679577	6652.42099047028
8090.740863631742	7875.207340110836	7689.082987871959	6862.745098039216	3264	7900.604293399584	319.92854040925556	6868.1151926817465
8080.487336038268	7894.272621300438	7677.203546779836	7058.823529411765	5696	7880.045491929775	336.82100771693894	7057.860688870094
8024.426319692958	7857.164589339447	7674.200752431198	7254.901960784314	8576	7866.901173856049	340.9213240708834	7267.0219818050655
8061.061136440613	7852.291895480351	7661.876987189978	7450.980392156863	14016	7837.801365787618	325.7258261350533	7458.188361619857
8001.138769292712	7848.9273044308375	7675.654156530062	7647.058823529413	26048	7865.858677938446	288.2581654449695	7659.609425669028
7977.250590801933	7833.897093482019	7698.866814701566	7843.137254901962	42048	7831.9684026766745	254.33111449566525	7847.054264911354
8030.446633693067	7880.633042606879	7732.0074831991	8039.2156862745105	66688	7887.603536020941	266.9791472792347	8044.139390292821
8061.4641635615735	7909.574586241287	7769.350509935913	8235.29411764706	94464	7916.391958280086	254.4971282647634	8236.026052072548
8131.904717772638	7983.651124885586	7835.514300604787	8431.372549019608	119104	7995.8226812229	253.2204093448095	8436.803701503723
8193.958219988031	8038.80185260358	7902.306996832886	8627.450980392157	156352	8050.462774835782	258.5072016330097	8631.595741832536
8257.563482970627	8108.740236688201	7972.6850069073125	8823.529411764706	214656	8126.387200684657	223.00522313193648	8828.24944156472
8316.707614268145	8178.020756487255	8053.87660121566	9019.607843137255	303744	8190.1360292288555	223.28986432164072	9023.521775259094
8340.111751149883	8208.738365402845	8094.382908052485	9215.686274509804	305344	8219.3667895475	228.6380503980022	9211.882163237216
8359.606835848675	8225.584102816185	8112.8985924561075	9411.764705882353	252032	8239.937009040372	218.2249255099942	9408.749740372887
8396.228839350271	8259.511055340514	8155.511869789811	9607.843137254902	190720	8277.174918962155	216.77354337389633	9603.506059497951
8413.752797202966	8280.052379128958	8176.995018173156	9803.921568627451	121536	8301.79643927902	245.74609253157834	9795.361752536077
8452.826376897256	8300.482213337758	8183.080115916149	10000.0	66880	8320.309989719983	315.4330952377303	9989.278363857562
8564.851076012323	8390.526464564622	8274.800968618032	10196.078431372549	40192	8415.030854905437	332.1244680480833	10188.163508390717
8624.327696205557	8393.986192630657	8255.43281991447	10392.1568627451	25664	8452.076522487401	371.532522138641	10385.702679487144
8634.905878900785	8449.44248721907	8337.154391826443	10588.235294117649	15808	8488.085622399502	386.0416732221474	10582.593018690211
8772.925408376124	8469.923685388954	8357.192070325133	10784.313725490198	11392	8515.688575370248	416.958055240561	10769.343813359354
8776.920775905553	8537.085027256697	8457.604108569181	10980.392156862747	7168	8572.036580712218	528.0447274561274	10970.031519204591
8809.741428879925	8495.571178491324	8390.142471535575	11176.470588235296	4800	8577.239214987158	574.5804822542462	11175.707446007178
8848.349815143389	8559.713047339077	8476.970935936948	11372.549019607844	2368	8665.253297354748	446.1921441036873	11380.151639462525
8872.152326376809	8461.529510527527	8472.612602240353	11568.627450980393	1856	8683.789881123153	730.4467824643134	11578.3688771056
8883.03085304796	8528.246102174282	8408.752104022346	11764.705882352942	1344	8726.316861884454	532.7830835456396	11780.386608710865
8790.71497094258	8366.873074292047	8092.761636892678	11960.784313725491	1088	8620.821088144961	856.6954697755285	11947.470920226257
9012.101972770764	8634.613936219317	8066.01985855742	12156.86274509804	896	8798.867322858487	549.5426475884483	12140.754190840404
8870.664214678462	7818.6260064609605	6848.364153372903	12352.94117647059	576	7816.578248077118	1091.706466621733	12360.251443938967
8878.172850168845	8325.141111397214	7698.71871792166	12549.019607843138	384	8407.560141805805	543.3412453149886	12501.484886862478
8783.014506677113	8729.0880112072	8696.471795524361	12745.098039215687	320	8744.42910331252	85.62267425531641	12712.055236597707
8738.017382865271	8409.957022158464	8298.372853541887	12941.176470588236	512	8564.910496413337	799.6846202348476	12950.75962112371
8652.499804113328	8117.189701231193	7164.226651795125	13137.254901960785	192	8534.842647785126	675.5564283372521	13164.023889364084
nan	nan	nan	13333.333333333334	0	nan	nan	nan
8987.504867491742	8844.943223103475	8702.38157871521	13529.411764705883	128	8844.943223103477	142.56164438826545	13548.8728776193
8567.698018428691	8567.698018428693	8567.698018428691	13725.490196078432	64	8567.698018428691	1.8189894035458565e-12	13734.096823068088
8819.311114654492	8819.311114654492	8819.311114654492	13921.56862745098	64	8819.311114654492	0.0	13878.078416195303
7734.376882657401	7499.939286755474	7265.501690853551	14117.64705882353	128	7499.939286755476	234.43759590192528	14092.558332258477
