Y Median	Count	Y Std	X Mean	Y Mean	Y Upper Quartile	Y Lower Quartile	X Center
nan	0	nan	nan	nan	nan	nan	3.6216678344652173
nan	0	nan	nan	nan	nan	nan	3.660883520739727
nan	0	nan	nan	nan	nan	nan	3.700099207014237
nan	0	nan	nan	nan	nan	nan	3.7393148932887468
nan	0	nan	nan	nan	nan	nan	3.778530579563257
nan	0	nan	nan	nan	nan	nan	3.8177462658377666
nan	0	nan	nan	nan	nan	nan	3.856961952112276
nan	0	nan	nan	nan	nan	nan	3.896177638386786
nan	0	nan	nan	nan	nan	nan	3.9353933246612955
nan	0	nan	nan	nan	nan	nan	3.9746090109358057
nan	0	nan	nan	nan	nan	nan	4.013824697210316
nan	0	nan	nan	nan	nan	nan	4.053040383484825
nan	0	nan	nan	nan	nan	nan	4.092256069759335
nan	0	nan	nan	nan	nan	nan	4.131471756033845
nan	0	nan	nan	nan	nan	nan	4.170687442308354
nan	0	nan	nan	nan	nan	nan	4.209903128582864
nan	0	nan	nan	nan	nan	nan	4.249118814857374
nan	0	nan	nan	nan	nan	nan	4.288334501131884
nan	0	nan	nan	nan	nan	nan	4.327550187406394
nan	0	nan	nan	nan	nan	nan	4.366765873680904
nan	0	nan	nan	nan	nan	nan	4.405981559955413
nan	0	nan	nan	nan	nan	nan	4.445197246229924
nan	0	nan	nan	nan	nan	nan	4.4844129325044335
nan	0	nan	nan	nan	nan	nan	4.523628618778943
nan	0	nan	nan	nan	nan	nan	4.562844305053453
nan	0	nan	nan	nan	nan	nan	4.6020599913279625
nan	0	nan	nan	nan	nan	nan	4.641275677602472
9684.747488947352	12	701.6302579358907	4.689498489479447	9748.572079378146	10638.02291280569	8922.945836381388	4.680491363876982
9447.884520062811	207	710.1130737777042	4.728237697903249	9369.626543934695	9906.855616565037	8976.721980948192	4.7197070501514915
9438.220275455458	1140	824.9907164065861	4.763631014188327	9387.57341889654	9866.830956827196	8871.077102592059	4.758922736426001
9471.050654571762	2701	805.4014155862893	4.800124336867233	9463.862674168351	9993.667830022692	8982.355865349044	4.798138422700512
9541.860076578101	3697	770.0427002753188	4.838527652390886	9521.690803555208	10007.092556891184	9097.843125129311	4.837354108975021
9618.128407785438	4235	730.8826108657562	4.878324415140944	9581.59965283106	10058.29289381884	9125.62458454194	4.876569795249531
9608.630155666116	5608	698.5948914757905	4.916491855500232	9615.179234407762	10052.444182899746	9181.916011400608	4.915785481524041
9728.359403082857	5258	678.6199659640556	4.954714608044424	9714.266057150942	10137.05425062539	9315.006118474319	4.955001167798551
9860.04422402002	4530	708.3002333942514	4.995271528049638	9831.75083861627	10320.139091276978	9381.205705465278	4.994216854073061
9859.648962167734	5760	733.1682812507129	5.033590835746275	9818.866167438688	10312.19640261737	9414.503421236777	5.033432540347571
9967.331999161675	4791	759.5067454686376	5.072029946254928	9904.574729626947	10382.523242251966	9472.948057323098	5.07264822662208
10219.277923227915	3352	633.0787304124694	5.111107418214528	10188.50027254149	10567.336746804562	9826.949874995778	5.11186391289659
10284.814018644494	2555	592.5676276179695	5.150580328624945	10276.162468500826	10677.017983831951	9915.168754828434	5.1510795991711
10384.087688805885	2200	559.6722312654745	5.190264095627921	10401.980863413992	10746.39877808996	10054.362769251818	5.190295285445609
10548.097999734697	2517	599.4183133748347	5.229410811018506	10595.10408929183	10898.041886997386	10198.819538354064	5.229510971720119
10547.826581771677	2082	522.8925246602722	5.268375376371615	10586.614803186334	10860.890251403636	10248.569998703028	5.268726657994629
10663.303949302584	2013	552.6811924362376	5.3074465865036204	10715.897094031448	11036.644350222014	10323.781095752573	5.307942344269139
10913.118280194845	1727	644.7414212224994	5.34751210289743	10969.491644791133	11405.801816100218	10510.999394171498	5.347158030543649
11171.54550846458	1607	740.2738842634649	5.385111264650667	11118.189270015137	11650.632962322885	10545.943831567012	5.3863737168181585
11292.81582272536	820	745.5232002826127	5.422527118910984	11314.855925217607	11818.206926986624	10915.002901473219	5.425589403092668
11079.0504897373	213	682.9945453750992	5.4606158920385255	11173.030360863291	11709.019981505322	10684.571536396412	5.464805089367179
11361.015929854439	32	539.0817787055666	5.502725466388306	11269.859167854933	11548.852195147778	11052.436655852085	5.504020775641688
11183.34754371295	8	263.3389854065672	5.529375754943313	11183.34754371295	11446.686529119515	10920.008558306381	5.543236461916198
nan	0	nan	nan	nan	nan	nan	5.582452148190708
