nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.42	8585	0.00284	0.01	20	0.00116
2	0.54	8562	0.00166	0.01	2	0.00031
4	0.70	8560	0.00110	0.01	-3	0.00009
8	0.80	8573	0.00092	0.06	-1	0.00002
16	0.80	8580	0.00085	0.15	-5	0.00001
32	0.81	8583	0.00087	0.30	3	0.00001
64	0.81	8582	0.00067	0.53	-2	0.00000
128	1.00	8547	0.00058	1.00	4	0.00000
256	1.00	8552	0.00017	1.00	3	0.00000
