Count	X Center	Y Std	Y Lower Quartile	X Mean	Y Mean	Y Median	Y Upper Quartile
0	3.6216678344652173	nan	nan	nan	nan	nan	nan
0	3.660883520739727	nan	nan	nan	nan	nan	nan
0	3.700099207014237	nan	nan	nan	nan	nan	nan
0	3.7393148932887468	nan	nan	nan	nan	nan	nan
0	3.778530579563257	nan	nan	nan	nan	nan	nan
0	3.8177462658377666	nan	nan	nan	nan	nan	nan
0	3.856961952112276	nan	nan	nan	nan	nan	nan
0	3.896177638386786	nan	nan	nan	nan	nan	nan
0	3.9353933246612955	nan	nan	nan	nan	nan	nan
0	3.9746090109358057	nan	nan	nan	nan	nan	nan
0	4.013824697210316	nan	nan	nan	nan	nan	nan
0	4.053040383484825	nan	nan	nan	nan	nan	nan
0	4.092256069759335	nan	nan	nan	nan	nan	nan
0	4.131471756033845	nan	nan	nan	nan	nan	nan
0	4.170687442308354	nan	nan	nan	nan	nan	nan
0	4.209903128582864	nan	nan	nan	nan	nan	nan
0	4.249118814857374	nan	nan	nan	nan	nan	nan
0	4.288334501131884	nan	nan	nan	nan	nan	nan
0	4.327550187406394	nan	nan	nan	nan	nan	nan
0	4.366765873680904	nan	nan	nan	nan	nan	nan
0	4.405981559955413	nan	nan	nan	nan	nan	nan
0	4.445197246229924	nan	nan	nan	nan	nan	nan
0	4.4844129325044335	nan	nan	nan	nan	nan	nan
0	4.523628618778943	nan	nan	nan	nan	nan	nan
0	4.562844305053453	nan	nan	nan	nan	nan	nan
0	4.6020599913279625	nan	nan	nan	nan	nan	nan
0	4.641275677602472	nan	nan	nan	nan	nan	nan
0	4.680491363876982	nan	nan	nan	nan	nan	nan
0	4.7197070501514915	nan	nan	nan	nan	nan	nan
0	4.758922736426001	nan	nan	nan	nan	nan	nan
1824	4.798138422700512	0.00044045614010045656	-0.0010206584447285036	4.780578512353357	-0.0008822155891740471	-0.0010206584447285036	-0.0010206584447285036
10770	4.837354108975021	2.168404344971009e-19	0.0008165967426764759	4.824397707395891	0.0008165967426764757	0.0008165967426764759	0.0008165967426764759
0	4.876569795249531	nan	nan	nan	nan	nan	nan
0	4.915785481524041	nan	nan	nan	nan	nan	nan
0	4.955001167798551	nan	nan	nan	nan	nan	nan
0	4.994216854073061	nan	nan	nan	nan	nan	nan
19672	5.033432540347571	0.0005437334706866986	-0.00020621177907375558	5.024649811793354	0.0006145078907330843	0.0009434297642827502	0.0009434297642827502
6631	5.07264822662208	1.0842021724855044e-19	0.0004369897427256509	5.057338451028143	0.00043698974272565077	0.0004369897427256509	0.0004369897427256509
0	5.11186391289659	nan	nan	nan	nan	nan	nan
6998	5.1510795991711	4.336808689942018e-19	0.0010885652161687607	5.163278909979367	0.0010885652161687612	0.0010885652161687607	0.0010885652161687607
0	5.190295285445609	nan	nan	nan	nan	nan	nan
0	5.229510971720119	nan	nan	nan	nan	nan	nan
10571	5.268726657994629	1.6263032587282567e-19	-0.0004299334274366956	5.280955244451008	-0.00042993342743669576	-0.0004299334274366956	-0.0004299334274366956
318	5.307942344269139	0.0	-0.0006041653375494451	5.304627777527606	-0.0006041653375494451	-0.0006041653375494451	-0.0006041653375494451
0	5.347158030543649	nan	nan	nan	nan	nan	nan
281	5.3863737168181585	0.0	0.00042694196388603454	5.403233665604986	0.00042694196388603454	0.00042694196388603454	0.00042694196388603454
0	5.425589403092668	nan	nan	nan	nan	nan	nan
0	5.464805089367179	nan	nan	nan	nan	nan	nan
0	5.504020775641688	nan	nan	nan	nan	nan	nan
0	5.543236461916198	nan	nan	nan	nan	nan	nan
0	5.582452148190708	nan	nan	nan	nan	nan	nan
