X Center	Y Mean	Y Median	Y Std	Y Lower Quartile	Y Upper Quartile	Count	X Mean
3.6216678344652173	166.3975507848143	226.1132507041666	2470.6044350239918	-1784.433185118737	2067.6651138266584	1142	3.6225832666330544
3.660883520739727	117.94380963187605	136.4607588376548	2449.539674629826	-1723.9198613868612	1910.442444833694	1377	3.6616168357963756
3.700099207014237	246.7948029718318	199.89903347008658	2477.377374385352	-1524.001077308366	2141.5563269141057	1664	3.700611763100567
3.7393148932887468	251.47061191599812	320.98621577675794	2412.0596421061555	-1478.6703526309877	2086.925691793605	2142	3.7404179740388352
3.778530579563257	280.65128448242467	371.73382669603416	2400.7885380818134	-1439.8100359192085	2110.4792080424468	2637	3.779818129892559
3.8177462658377666	160.89118648209788	217.821919634016	2388.7885824564096	-1550.739746126506	1858.573531730558	3207	3.8183309626420776
3.856961952112276	197.09305440700746	208.67912710494056	2370.499690046459	-1500.279611229802	1949.969916766855	3973	3.8576532923698017
3.896177638386786	219.35683384467322	271.8991360858663	2330.764067791128	-1410.9951361992357	1900.6158154184982	5130	3.8965939420543934
3.9353933246612955	179.2432012207401	216.77840908353164	2294.042269713879	-1405.603745235167	1832.3790626259497	6426	3.9360188383328696
3.9746090109358057	184.09052516281923	186.5727441413619	2251.952731508542	-1343.2865010295181	1792.9725941939741	8195	3.9754351441474136
4.013824697210316	183.60098421723444	189.50449617647973	2177.938499840012	-1296.7662005338398	1658.2662278184184	10110	4.014625556645877
4.053040383484825	216.034557005984	229.80485957381097	2129.6314384123366	-1180.6554935533825	1676.3877919494887	13292	4.05396576320926
4.092256069759335	187.6287695384604	194.64675880787763	2067.9396892967075	-1162.6545054178766	1571.633979336566	17251	4.093196657669364
4.131471756033845	205.4168316017152	220.36464013739896	2003.8118723643493	-1073.9418765676537	1510.492928416742	22771	4.132234745677172
4.170687442308354	208.33139206404317	227.20344566332915	1951.610460791326	-1019.0769564642819	1468.491856563598	29236	4.171560180910825
4.209903128582864	178.75946485996747	184.56688461792328	1879.4454568710644	-995.3954687340365	1379.894085441781	37995	4.210702804916712
4.249118814857374	173.66765870778602	185.37174136162866	1835.6054164935397	-956.9807155014578	1328.5799449365597	47720	4.249811776678263
4.288334501131884	159.9438421644278	165.69254205008247	1773.7693509681735	-917.693201869527	1251.75156883597	58202	4.288934837936037
4.327550187406394	150.25457021771064	167.89943377274085	1727.3022556481728	-893.9590948197451	1219.9635610233595	69232	4.328072881628922
4.366765873680904	141.2106753572756	152.37468718707714	1661.1876754165964	-849.0884251987382	1144.157122055809	78579	4.367096419171877
4.405981559955413	117.8687422743614	123.42663634251585	1607.234969338432	-832.7018504952939	1083.4020705168532	85693	4.406204604073621
4.445197246229924	110.86523166740784	122.35789626369115	1566.693349024495	-797.7471283726873	1040.2856097372924	89961	4.445260885620049
4.4844129325044335	83.49115145602238	98.31592508529138	1509.4617407216697	-778.3266348879988	967.8748692252302	91654	4.48436788263094
4.523628618778943	84.65572176526143	88.67852707970451	1462.8450433799596	-739.1289926467798	928.4974732382725	91881	4.523548482828999
4.562844305053453	64.95976626174297	78.61209892146508	1416.1410037843348	-722.9338405240183	874.8041421796815	89347	4.562725731171156
4.6020599913279625	59.794786276794625	69.95603457810739	1366.2825750846605	-694.2362874672453	836.1174657805122	84947	4.6018446082391655
4.641275677602472	53.44400738057408	67.06979404671438	1327.231370391713	-671.4320118945893	798.8643972801888	78976	4.640938752505032
4.680491363876982	32.465274048707016	52.7521220536637	1277.2768418373814	-666.9514577508107	751.0011543052769	70441	4.680152246274415
4.7197070501514915	21.70386450450901	41.22741486400264	1204.2519162837752	-629.95544476348	700.7075833788931	63597	4.719475493790166
4.758922736426001	10.29476479323644	30.297366249358674	1127.0390538804527	-592.8566567752914	646.6983614283945	61365	4.759005954126467
4.798138422700512	-3.8410075217512967	16.873478700951637	1053.7563079792014	-576.6386149828745	599.1302719439077	63264	4.798324947029331
4.837354108975021	-10.62629081046575	13.901613289543093	979.6218278995314	-538.4431177388851	558.2270060199462	66085	4.837413697005017
4.876569795249531	-6.372978953272182	15.31173673100784	931.9068786295223	-511.4642700995564	531.5517743458213	68487	4.876704778128947
4.915785481524041	-11.508459189354177	9.576750494880798	891.8654160014853	-494.65452973966694	501.90210937884785	72619	4.915867817382441
4.955001167798551	-18.678017371910567	-0.6726899384848366	880.7488252171045	-486.39569258949814	478.3994640848241	72693	4.954948930136338
4.994216854073061	-22.095089889325806	-1.9102106934988115	865.5511167813695	-484.85376955365246	467.7405156470022	71383	4.99421062539936
5.033432540347571	-15.268078464633637	1.1741132415299944	843.8048327483123	-468.2235695055988	462.2695327348324	73323	5.033547970813436
5.07264822662208	-18.08181318678965	0.6872366054303711	822.175631511592	-447.0155350562836	442.29095757896266	72615	5.072428921556303
5.11186391289659	-17.450989733602054	-1.0927713544897415	787.030486246296	-427.113466073622	413.8921987387521	66615	5.11158369483055
5.1510795991711	-25.66693003488272	-9.451906383314963	752.9498248070539	-414.2174391292133	388.0119535352069	61174	5.15082085162601
5.190295285445609	-22.496830920794288	-6.0348024359282135	716.1496506239474	-392.13466795835666	369.8143385179751	54166	5.189790733277881
5.229510971720119	-25.895943420301236	-13.768648770083928	693.8021576566889	-389.5651255268972	355.98329367511724	45348	5.228861179799043
5.268726657994629	-28.614769858399136	-16.44085731144878	674.0347936848475	-373.3860510357881	341.91722878401947	36038	5.267661596160626
5.307942344269139	-37.08365589102465	-14.729039734828802	652.836975044089	-356.2179195048993	310.9600251849138	24910	5.306768711153848
