Y Std	X Mean	X Center	Y Mean	Y Lower Quartile	Y Upper Quartile	Y Median	Count
nan	nan	3.6216678344652173	nan	nan	nan	nan	0
nan	nan	3.660883520739727	nan	nan	nan	nan	0
nan	nan	3.700099207014237	nan	nan	nan	nan	0
nan	nan	3.7393148932887468	nan	nan	nan	nan	0
nan	nan	3.778530579563257	nan	nan	nan	nan	0
nan	nan	3.8177462658377666	nan	nan	nan	nan	0
nan	nan	3.856961952112276	nan	nan	nan	nan	0
nan	nan	3.896177638386786	nan	nan	nan	nan	0
nan	nan	3.9353933246612955	nan	nan	nan	nan	0
nan	nan	3.9746090109358057	nan	nan	nan	nan	0
nan	nan	4.013824697210316	nan	nan	nan	nan	0
nan	nan	4.053040383484825	nan	nan	nan	nan	0
nan	nan	4.092256069759335	nan	nan	nan	nan	0
nan	nan	4.131471756033845	nan	nan	nan	nan	0
nan	nan	4.170687442308354	nan	nan	nan	nan	0
nan	nan	4.209903128582864	nan	nan	nan	nan	0
nan	nan	4.249118814857374	nan	nan	nan	nan	0
nan	nan	4.288334501131884	nan	nan	nan	nan	0
nan	nan	4.327550187406394	nan	nan	nan	nan	0
nan	nan	4.366765873680904	nan	nan	nan	nan	0
nan	nan	4.405981559955413	nan	nan	nan	nan	0
nan	nan	4.445197246229924	nan	nan	nan	nan	0
nan	nan	4.4844129325044335	nan	nan	nan	nan	0
nan	nan	4.523628618778943	nan	nan	nan	nan	0
nan	nan	4.562844305053453	nan	nan	nan	nan	0
nan	nan	4.6020599913279625	nan	nan	nan	nan	0
nan	nan	4.641275677602472	nan	nan	nan	nan	0
0.0	4.673650535686447	4.680491363876982	-44.20262532737706	-44.20262532737706	-44.20262532737706	-44.20262532737706	2
67.5787640578925	4.727922924836901	4.7197070501514915	18.434962456856585	-30.435227744691474	93.26253506662943	3.6878079017988057	95
97.5822111343997	4.766133849687952	4.758922736426001	-29.161705670263544	-87.3051797931148	40.57881366624679	-41.46269443416713	901
159.48196159944675	4.800447076632452	4.798138422700512	-3.6077962357481415	-82.31145585410013	55.718154040578156	-9.003818652037808	2589
359.35163099935204	4.837885201581515	4.837354108975021	-23.68205115174387	-62.55366549215432	49.87437025369218	-8.178513692770139	3320
304.80265341563836	4.877993908860165	4.876569795249531	-19.005674088315473	-57.674279408447546	54.679216174458816	0.05071992554712779	4134
116.30700279268194	4.915949651260576	4.915785481524041	-17.35831130528135	-71.46248792125516	44.987467634884524	-13.60658903905005	5678
90.34963777264112	4.9531877462120315	4.955001167798551	-1.699760612462695	-56.060176173403306	47.181489282074836	-2.052112508139544	5031
257.8386446287384	4.995197941928839	4.994216854073061	-17.61106053431608	-59.5742989206783	50.180515917525554	0.6653432815619453	4486
84.72280047917987	5.032764281187352	5.033432540347571	2.088895743208917	-49.61544346440678	56.38650493438763	-0.8539306060793024	5615
90.42962431508354	5.070751774527542	5.07264822662208	-6.881646717929281	-65.26768755756893	49.99915168972984	-6.743427173158125	4955
88.19643188881132	5.1103057516907775	5.11186391289659	-7.211257789129394	-55.594537018214396	47.66857079902002	1.3920431764636305	3266
90.72210164715446	5.149717178208415	5.1510795991711	-10.714994830758286	-62.07129228352187	40.86001393906736	-3.9780241084008594	2612
155.83845070846564	5.1913246045018395	5.190295285445609	0.20188766820654394	-42.52715056078523	57.70457054765211	3.4398005527691566	2063
76.94012075302324	5.227447174848131	5.229510971720119	-20.722313842390857	-72.08113393706117	27.947512955950515	-16.16864577704473	2526
82.52466660683068	5.268897134513859	5.268726657994629	-10.604620251065313	-62.15492339639604	46.69804602167642	-13.896265268032948	2134
79.22195340828489	5.307753259598849	5.307942344269139	2.946913857313825	-39.38804951061684	58.82113054343063	9.671454512303171	2104
78.6348641319637	5.348946821311042	5.347158030543649	14.683996193309373	-33.43282096776602	66.1554000460128	13.789148698337158	1609
117.07963614575209	5.3830426157175095	5.3863737168181585	-34.47790585292567	-61.975072420331344	25.315631859804853	-16.37928257477506	1574
501.03385258065316	5.421365413606321	5.425589403092668	-62.32332149122745	-34.264407966393264	61.6604215979296	1.3298531124492001	874
179.90925455919705	5.458519291121012	5.464805089367179	-73.04565053482365	-70.38516842681202	19.584283745231005	-26.281075992041224	177
30.947371788973214	5.499733552664449	5.504020775641688	-36.06350872485655	-67.01088051382976	-5.116136935883333	-36.06350872485655	32
nan	nan	5.543236461916198	nan	nan	nan	nan	0
nan	nan	5.582452148190708	nan	nan	nan	nan	0
