X Mean	X Center	Y Lower Quartile	Y Upper Quartile	Y Median	Y Std	Y Mean	Count
nan	3.6216678344652173	nan	nan	nan	nan	nan	0
nan	3.660883520739727	nan	nan	nan	nan	nan	0
nan	3.700099207014237	nan	nan	nan	nan	nan	0
nan	3.7393148932887468	nan	nan	nan	nan	nan	0
nan	3.778530579563257	nan	nan	nan	nan	nan	0
nan	3.8177462658377666	nan	nan	nan	nan	nan	0
nan	3.856961952112276	nan	nan	nan	nan	nan	0
nan	3.896177638386786	nan	nan	nan	nan	nan	0
nan	3.9353933246612955	nan	nan	nan	nan	nan	0
nan	3.9746090109358057	nan	nan	nan	nan	nan	0
nan	4.013824697210316	nan	nan	nan	nan	nan	0
nan	4.053040383484825	nan	nan	nan	nan	nan	0
nan	4.092256069759335	nan	nan	nan	nan	nan	0
nan	4.131471756033845	nan	nan	nan	nan	nan	0
nan	4.170687442308354	nan	nan	nan	nan	nan	0
nan	4.209903128582864	nan	nan	nan	nan	nan	0
nan	4.249118814857374	nan	nan	nan	nan	nan	0
nan	4.288334501131884	nan	nan	nan	nan	nan	0
nan	4.327550187406394	nan	nan	nan	nan	nan	0
nan	4.366765873680904	nan	nan	nan	nan	nan	0
nan	4.405981559955413	nan	nan	nan	nan	nan	0
nan	4.445197246229924	nan	nan	nan	nan	nan	0
nan	4.4844129325044335	nan	nan	nan	nan	nan	0
nan	4.523628618778943	nan	nan	nan	nan	nan	0
nan	4.562844305053453	nan	nan	nan	nan	nan	0
nan	4.6020599913279625	nan	nan	nan	nan	nan	0
nan	4.641275677602472	nan	nan	nan	nan	nan	0
nan	4.680491363876982	nan	nan	nan	nan	nan	0
4.728073207504359	4.7197070501514915	-10.474960885299879	-10.474960885299879	-10.474960885299879	0.0	-10.474960885299879	443
nan	4.758922736426001	nan	nan	nan	nan	nan	0
4.811661282011495	4.798138422700512	-4.905816347772998	-4.905816347772998	-4.905816347772998	0.0	-4.905816347772998	3858
4.844609311661329	4.837354108975021	-14.861727713823711	-14.861727713823711	-14.861727713823711	1.1066364025231412	-14.96074998508961	2392
4.871926602020801	4.876569795249531	13.336248981688186	13.336248981688186	13.336248981688186	9.391645123887912	10.367255068066541	1805
4.907954101314304	4.915785481524041	1.7074680140995042	6.756053274764781	1.7074680140995042	2.5242042012119272	4.210631656388984	8124
4.952825964565215	4.955001167798551	-1.1093113422575698	-1.1093113422575698	-1.1093113422575698	0.0	-1.1093113422575698	1416
4.98935302772493	4.994216854073061	-14.084986810146802	11.29793530446841	9.494574872025623	12.169404368930646	0.26915512058918434	9801
5.050627907622578	5.033432540347571	7.723726766149412	7.723726766149412	7.723726766149412	1.5381640354597512	8.405877789822302	3170
5.060605877621993	5.07264822662208	-7.8619162327504455	1.4303790135891177	1.4303790135891177	4.014999721152819	-1.5416922870548848	3739
5.110360820703396	5.11186391289659	6.8452100443955715	6.8452100443955715	6.8452100443955715	0.04543077449664932	6.842434918157105	1076
5.145868753225573	5.1510795991711	-6.823191022696847	8.362138849734038	5.112040221469215	6.398193234811244	2.531377847243925	11457
5.192468000701929	5.190295285445609	-7.9945859590134205	-7.9945859590134205	-7.9945859590134205	0.0	-7.9945859590134205	1662
5.243164644210545	5.229510971720119	-0.7296792526176432	-0.7296792526176432	-0.7296792526176432	0.0	-0.7296792526176432	2633
5.261024389019019	5.268726657994629	4.6704755584542	4.6704755584542	4.6704755584542	0.0	4.6704755584542	318
nan	5.307942344269139	nan	nan	nan	nan	nan	0
5.355629412823878	5.347158030543649	2.6719827604374586	2.6719827604374586	2.6719827604374586	0.6624788059259643	2.4906361197792197	4031
5.382807905068681	5.3863737168181585	1.4881986079308263	1.4881986079308263	1.4881986079308263	0.0	1.4881986079308263	1140
nan	5.425589403092668	nan	nan	nan	nan	nan	0
nan	5.464805089367179	nan	nan	nan	nan	nan	0
nan	5.504020775641688	nan	nan	nan	nan	nan	0
nan	5.543236461916198	nan	nan	nan	nan	nan	0
nan	5.582452148190708	nan	nan	nan	nan	nan	0
