Y Median	Count	Y Mean	X Mean	X Center	Y Lower Quartile	Y Std	Y Upper Quartile
nan	0	nan	nan	3.6216678344652173	nan	nan	nan
nan	0	nan	nan	3.660883520739727	nan	nan	nan
nan	0	nan	nan	3.700099207014237	nan	nan	nan
nan	0	nan	nan	3.7393148932887468	nan	nan	nan
nan	0	nan	nan	3.778530579563257	nan	nan	nan
nan	0	nan	nan	3.8177462658377666	nan	nan	nan
nan	0	nan	nan	3.856961952112276	nan	nan	nan
nan	0	nan	nan	3.896177638386786	nan	nan	nan
nan	0	nan	nan	3.9353933246612955	nan	nan	nan
nan	0	nan	nan	3.9746090109358057	nan	nan	nan
nan	0	nan	nan	4.013824697210316	nan	nan	nan
nan	0	nan	nan	4.053040383484825	nan	nan	nan
nan	0	nan	nan	4.092256069759335	nan	nan	nan
nan	0	nan	nan	4.131471756033845	nan	nan	nan
nan	0	nan	nan	4.170687442308354	nan	nan	nan
nan	0	nan	nan	4.209903128582864	nan	nan	nan
nan	0	nan	nan	4.249118814857374	nan	nan	nan
nan	0	nan	nan	4.288334501131884	nan	nan	nan
nan	0	nan	nan	4.327550187406394	nan	nan	nan
nan	0	nan	nan	4.366765873680904	nan	nan	nan
nan	0	nan	nan	4.405981559955413	nan	nan	nan
nan	0	nan	nan	4.445197246229924	nan	nan	nan
nan	0	nan	nan	4.4844129325044335	nan	nan	nan
nan	0	nan	nan	4.523628618778943	nan	nan	nan
nan	0	nan	nan	4.562844305053453	nan	nan	nan
nan	0	nan	nan	4.6020599913279625	nan	nan	nan
nan	0	nan	nan	4.641275677602472	nan	nan	nan
nan	0	nan	nan	4.680491363876982	nan	nan	nan
22.15725642502366	8	22.15725642502366	4.731507099814722	4.7197070501514915	22.15725642502366	0.0	22.15725642502366
-11.12612671091847	560	-12.608654107953596	4.7583627219629205	4.758922736426001	-11.12612671091847	2.765618997747143	-11.12612671091847
4.53789497301841	2994	1.0980102669869283	4.80592030354905	4.798138422700512	-10.4744336379772	9.535227725072964	6.125902432648218
-10.072092572865586	3022	-5.760838223056131	4.8332629838497105	4.837354108975021	-12.751343124191408	8.267983900779514	6.121093474035661
3.817722500560194	4310	5.679329255137105	4.877245134529214	4.876569795249531	-3.316253654391403	10.444030220677597	7.345332774690178
3.452812406228986	5241	7.003150080120072	4.9151160612822515	4.915785481524041	0.6749176251796598	8.919583088148688	6.047392311898875
11.970082549878498	5600	10.6496397621343	4.950552421619544	4.955001167798551	-6.8949593531069695	18.717404762627677	23.691253693699764
-17.415078757943775	5160	-10.487415720848904	4.993375875630235	4.994216854073061	-21.551840313006323	12.763337845042653	1.058168785953967
-13.09173823555102	4116	-13.03663861132332	5.027792778909127	5.033432540347571	-17.21416055077316	4.547139280079696	-9.743314973638917
14.414161747068647	6466	8.3348020724642	5.075925323834341	5.07264822662208	-0.44587788264107076	13.21456561221815	16.202093742393117
0.7913019458264898	3682	-2.2803536155012893	5.110362978778711	5.11186391289659	-11.012131336434322	7.701679710107318	3.9873673876954854
-3.5712996347647277	2764	-0.5742184327704631	5.145142839241344	5.1510795991711	-12.63416860739926	14.619187212593001	-3.5712996347647277
15.395032408454426	2422	-1.5740235285724313	5.194366885848704	5.190295285445609	-26.833634162108865	22.09196043163128	15.395032408454426
-14.695034258227679	3168	-10.752653094367743	5.23141389955167	5.229510971720119	-15.097975962049532	8.568544781569399	-14.695034258227679
17.138401922620687	1280	23.26568358988443	5.265841553431028	5.268726657994629	17.138401922620687	12.254563334527484	17.138401922620687
2.8947133068359108	3073	15.281273607267893	5.3154767898933475	5.307942344269139	-12.21165627022674	28.865211231241393	55.16927527538428
-0.3976169333291182	1024	-0.3976169333291182	5.3615629262274345	5.347158030543649	-0.3976169333291182	0.0	-0.3976169333291182
34.3842875267037	2175	12.95262588884986	5.375514555866397	5.3863737168181585	-24.67518892462067	29.628899554139924	37.82976004583543
nan	0	nan	nan	5.425589403092668	nan	nan	nan
nan	0	nan	nan	5.464805089367179	nan	nan	nan
nan	0	nan	nan	5.504020775641688	nan	nan	nan
nan	0	nan	nan	5.543236461916198	nan	nan	nan
nan	0	nan	nan	5.582452148190708	nan	nan	nan
