[S III] Delta T	T1	T2	T3
-4901.9607843137255	14169759.733431894	21206355.29705628	20284615.06138287
-4705.882352941177	14596675.848735932	3725229.3819089243	13503866.244655175
-4509.803921568628	12491840.204206308	9530491.884281408	10801334.73562268
-4313.725490196079	10225214.363400897	2199452.717725526	3862679.3531018402
-4117.64705882353	7086440.342928521	5385170.03199096	9146727.85301746
-3921.5686274509803	3254475.3850790737	3443815.5732385106	0.0
-3725.490196078431	7153336.656539773	7156432.438828281	0.0
-3529.411764705882	2881273.949306016	5991892.8795589665	11434097.986233527
-3333.333333333333	8318107.440194514	0.0	24283969.290045105
-3137.254901960784	3248314.302313788	5062064.230811191	8981761.590719603
-2941.176470588235	5487615.862425609	2798765.9849013556	13540661.623649757
-2745.098039215686	8728937.823557392	3834037.5837752195	17498407.16008075
-2549.0196078431372	3196674.391699194	6886848.861700352	16341806.639134081
-2352.9411764705883	4480335.014817315	8929859.76221662	14841762.382844081
-2156.862745098039	11064455.411050193	8622847.889634388	7249303.2107988
-1960.78431372549	7576103.001957197	27526522.78768796	19572859.295014974
-1764.705882352941	7874823.067401505	27110071.63323989	26828641.495393712
-1568.627450980392	8004411.927091138	14248906.050451994	14536521.13328834
-1372.5490196078429	13263044.433916561	17955606.863324545	28030808.59331522
-1176.4705882352937	48234733.35272741	29975022.013573505	34022517.8365227
-980.3921568627447	86611878.11898589	90692156.97025862	127977600.44285344
-784.3137254901958	317608541.71012455	270251406.22819555	261939594.07452318
-588.2352941176468	907286803.8610207	683003261.6407992	606376573.8924234
-392.1568627450979	2181805635.295856	2047760709.0230687	1555484105.4451602
-196.07843137254895	4045579731.4092946	4640593197.588894	4551162157.903926
0.0	5037227616.911423	6156041782.517494	6881301037.347794
196.0784313725494	4025377657.582083	4530083115.451868	4852400927.170079
392.1568627450988	2089709631.7892795	2035999460.9019632	1591068747.8904634
588.2352941176478	946543426.7008528	745329926.332117	507281149.29898477
784.3137254901967	490985319.7546393	308868718.2612224	225622134.40124553
980.3921568627457	274712410.8897966	165561531.51514998	70837089.67192584
1176.4705882352946	231199719.1470696	108288294.94876508	62211699.25605482
1372.5490196078435	216204625.66316527	110890751.4250416	30683924.965770938
1568.6274509803925	187952825.4780951	95067736.06396273	30580397.867626633
1764.7058823529414	155242050.2364017	91014818.47627422	22909791.721030116
1960.7843137254904	156955462.82580242	36786056.39574768	37451724.52485755
2156.8627450980393	104773127.10392392	48575393.53617151	18411480.43855191
2352.9411764705887	75189725.13166648	53031730.14140022	22716315.28832731
2549.019607843138	52524277.55398349	31594649.520085372	13554512.932159744
2745.098039215687	27280003.75344103	14539017.119055381	19271569.91465634
2941.176470588236	21211005.541656706	7246216.162378591	25817009.421444073
3137.254901960785	8739681.106330272	11974606.769147074	29514631.203146134
3333.333333333334	9427545.728800654	11770493.13910402	0.0
3529.411764705883	4564158.005730414	15051894.00131796	14239010.587280372
3725.490196078432	7021245.352369888	4270868.977109943	0.0
3921.568627450981	3249045.903803597	8768802.599367281	10494333.319044778
4117.64705882353	3939841.8885636693	7880007.429411076	3597402.575215757
4313.725490196079	8829713.84660907	11908298.162174713	14347638.184574835
4509.803921568628	5015211.715512348	7131323.843652202	11436160.253979385
4705.882352941177	17706575.06185457	3765576.212049705	3602243.58992896
4901.9607843137255	10955173.428364005	11897594.5025369	17783521.78162472
