Count	Y Upper Quartile	X Mean	Y Std	Y Mean	X Center	Y Lower Quartile	Y Median
0	nan	nan	nan	nan	2.8075630150895257	nan	nan
0	nan	nan	nan	nan	2.8663865445012906	nan	nan
0	nan	nan	nan	nan	2.925210073913055	nan	nan
0	nan	nan	nan	nan	2.9840336033248196	nan	nan
0	nan	nan	nan	nan	3.0428571327365845	nan	nan
0	nan	nan	nan	nan	3.1016806621483495	nan	nan
4	5665.074618685722	3.1769367583871304	0.0	5665.074618685722	3.160504191560114	5665.074618685722	5665.074618685722
0	nan	nan	nan	nan	3.2193277209718785	nan	nan
0	nan	nan	nan	nan	3.2781512503836434	nan	nan
4	5955.048351973905	3.3468733982669283	0.0	5955.048351973905	3.3369747797954084	5955.048351973905	5955.048351973905
8	5988.930733451726	3.4027982845375933	12.923331743051676	5976.0074017086745	3.395798309207173	5963.084069965623	5976.0074017086745
4	6180.481254562267	3.434709174800218	0.0	6180.481254562267	3.4546218386189373	6180.481254562267	6180.481254562267
8	7001.625028233021	3.5081885752936106	219.64234578153673	6781.982682451484	3.5134453680307023	6562.340336669948	6781.982682451484
28	7075.541830034007	3.5792928457391398	369.9047206048703	6796.174979360045	3.5722688974424672	6509.1732339321625	6930.61183764906
44	7162.073774577898	3.6335955418388424	240.7536978454351	7156.547540559497	3.6310924268542317	6970.1944264229605	7120.503867928522
99	7613.549296488183	3.698729405199537	245.1187947279808	7398.161521272271	3.689915956265996	7131.921909507111	7400.934938736065
160	7779.258269789459	3.7498752749446913	344.1315148433421	7619.971335037105	3.748739485677761	7393.538368634751	7569.315207920768
327	8205.291807778603	3.8146033635697503	302.4512912745897	7986.664564483374	3.807563015089526	7781.315480279806	7999.402321429776
780	8585.014892449275	3.871298783556132	367.3954374516188	8324.19355305497	3.8663865445012906	8038.46355299617	8338.425661885945
1399	8973.769469858114	3.9276218868893378	401.4935246884253	8678.84202857732	3.925210073913055	8377.505049980964	8672.643248996532
2347	9294.206659589558	3.9858750953405346	432.45750026444165	8958.383988624904	3.9840336033248196	8643.84875505969	8924.396520890736
4044	9578.712261128368	4.044640564041184	459.7418295979189	9264.032194267793	4.042857132736584	8969.870266069598	9253.065912515658
4935	9800.558197845345	4.102653080635276	496.56055358105624	9485.458909607478	4.1016806621483495	9139.834341249236	9452.70308671235
5852	10027.30573322418	4.161080163675296	509.40667952180445	9697.680479438608	4.160504191560114	9329.385207250267	9662.115539410996
5359	10209.795331468822	4.218385877256683	488.9859658606993	9891.91535025054	4.219327720971879	9544.465360860419	9843.084422210919
4296	10347.313568821877	4.277811351812107	531.3148944618241	10026.343892794963	4.278151250383644	9669.396990118219	9988.992031619597
3562	10382.38422483468	4.335264904050376	516.7544824224531	10069.639867925882	4.336974779795408	9698.060976201661	10039.269187569593
2821	10421.908636714192	4.396031621607653	465.649836971302	10153.652892056114	4.395798309207173	9827.727562764565	10125.36746082926
2726	10520.690581691359	4.455105830405858	434.71279279138787	10246.875542948848	4.454621838618937	9941.430278650463	10217.0436462371
2385	10582.0953175605	4.512993675528323	425.3446920180472	10304.876305752074	4.513445368030702	9997.496216188909	10290.610453353214
2032	10686.577625352664	4.571734647815717	406.2022665820738	10432.447445225229	4.572268897442467	10163.77468617088	10403.91472482941
1712	10828.896365013086	4.62985245888468	456.49751514081186	10553.97911221611	4.631092426854232	10225.14609639839	10527.791017440617
1575	10792.499697759864	4.688754639782503	457.4875115643078	10532.808442444459	4.689915956265997	10195.55795078692	10505.360483004255
1528	10852.67835501583	4.749188271162503	484.36881400026505	10554.121203209193	4.748739485677762	10221.24957062399	10509.95095940428
1692	10895.908709937929	4.806228118746851	463.34874116198455	10585.562112559302	4.807563015089526	10252.598648658057	10547.202967167734
1629	10901.863943556355	4.863820712892813	464.3379398101315	10653.58020790813	4.866386544501291	10340.486153120395	10622.838249216727
1455	11209.114528620075	4.925394202746897	472.2799697195079	10888.325446165072	4.925210073913055	10542.4124256566	10860.732616103916
1426	11417.577685398157	4.9838826724168825	565.3332032998884	11109.583329218687	4.98403360332482	10781.844785047622	11095.45939332367
975	11565.182358607723	5.04035017323431	637.3789559552303	11291.565897743576	5.042857132736584	10933.576179499185	11245.42599991007
712	11841.121663725446	5.099054079694474	672.2043066744864	11409.721781515229	5.1016806621483495	10978.109542192233	11376.858683391569
513	12116.166385473149	5.159737693513905	679.0190324309798	11628.701697169352	5.160504191560115	11116.922684596346	11701.449157141065
291	12102.29731451972	5.211804396785643	762.8772002236655	11498.412483617829	5.219327720971879	10915.002901473219	11500.84610487054
72	12024.542226399344	5.272411637084533	788.9934483430742	11361.9230279172	5.278151250383644	10920.008558306381	11308.828785796592
36	12625.341601923865	5.328390013272648	870.0592972476878	11820.67799197029	5.336974779795408	11205.858305329877	11709.019981505322
8	12824.168605508894	5.386222697195278	448.3536355797578	12375.814969929135	5.395798309207173	11927.461334349378	12375.814969929135
0	nan	nan	nan	nan	5.454621838618937	nan	nan
0	nan	nan	nan	nan	5.513445368030702	nan	nan
0	nan	nan	nan	nan	5.572268897442467	nan	nan
0	nan	nan	nan	nan	5.631092426854233	nan	nan
0	nan	nan	nan	nan	5.689915956265997	nan	nan
0	nan	nan	nan	nan	5.748739485677762	nan	nan
