Count	X Center	X Mean	Y Mean	Y Std	Y Upper Quartile	Y Lower Quartile	Y Median
816	3.6216678344652173	3.6244324228031397	258.8749536796644	1936.4373767684897	1607.0709393739362	-1217.2027298095509	17.783817059957073
1360	3.660883520739727	3.662007612617413	39.47955649721201	1572.906645831746	1107.7988565483975	-919.7428747066369	82.29841353371557
2240	3.700099207014237	3.7014574014675232	-89.48887780215017	1591.941637205218	959.66962830798	-1059.1191993524753	-119.16185357295262
2848	3.7393148932887468	3.740641478673853	129.21254179177947	1618.9234546068994	1117.5731962324244	-848.0194561079697	117.2698468340759
4656	3.778530579563257	3.780359914942102	113.70007587057299	1585.1198891905133	1111.2049025480646	-882.5953063759971	108.44603308597198
6816	3.8177462658377666	3.8180576244943225	85.54005808100808	1570.1164844782977	1065.8436097793292	-897.4512822172674	76.05764475255637
8016	3.856961952112276	3.857077977523117	94.67364792343419	1515.1604393709372	1016.9763839835359	-817.288537720382	111.93186897974374
10000	3.896177638386786	3.8971099846512547	108.05181409770562	1383.3515086705247	895.3858147774718	-745.5025871207517	102.56874589904601
11872	3.9353933246612955	3.935948104266998	-18.110304445027587	1424.7925403648828	900.6497426875831	-913.6185268294757	65.17469750247346
14400	3.9746090109358057	3.974899167515871	69.977061586964	1423.3350496601754	897.9292573847065	-783.6502289614323	121.97853858259987
15952	4.013824697210316	4.014233778130841	26.369671152222427	1279.1484789157325	784.4697226260487	-636.265883145179	77.72799990305975
17280	4.053040383484825	4.053274261046695	88.88253767632413	1180.2860347664707	809.199893897066	-578.4216395311355	85.27479774561925
18816	4.092256069759335	4.092578692216164	6.533424601491432	1201.4285859651827	748.1893938547498	-645.4490017874614	23.57947908817914
24512	4.131471756033845	4.132462721815284	52.45104733508018	1044.2147261930618	594.0320979271023	-498.7566505856505	65.49361426304449
37024	4.170687442308354	4.172266588032741	-24.757443400864926	933.2618453408243	471.2603174295673	-454.95931078453305	13.126754269992489
58320	4.209903128582864	4.21128685148159	14.654144344294085	815.7816728297636	431.3629546235843	-387.35583058584234	22.30263606457902
82016	4.249118814857374	4.249969696221504	-18.255962402622284	747.0583314667612	373.42151603070124	-369.90332343121554	3.726822654009993
102096	4.288334501131884	4.288970576840057	-32.62418421562048	693.9219771591646	339.25282665656596	-352.2362790067946	0.5485854493672377
115440	4.327550187406394	4.327758506825954	-16.99934320971493	609.494521326591	309.755311459503	-308.41419531756947	8.668072727455183
116032	4.366765873680904	4.366711753281804	-15.389355786600527	571.0889579767359	287.5687186105706	-289.2646595685071	11.387941999239047
116048	4.405981559955413	4.405980171103525	-18.380589095959827	536.2722138254592	263.0351181092483	-268.26457987632057	5.875767257499319
117600	4.445197246229924	4.445269783150433	-9.633317922937966	492.7556464517506	245.91005856615357	-240.57071568449464	4.762563670728923
112336	4.4844129325044335	4.484268021493989	-9.84041883005156	438.4578837987763	220.6173141102663	-221.608367517043	4.192379045758571
112064	4.523628618778943	4.523455893522185	-12.02257516054415	424.9177704975742	217.65253010352876	-223.73457584353764	-0.8520508473757218
105248	4.562844305053453	4.562680997903426	-14.435553823689794	378.4209804940604	201.66506882739486	-212.68316551648604	-5.658408929773941
99248	4.6020599913279625	4.602028016602885	-7.298188784845117	363.44107692516303	195.10196965333944	-201.25404224604608	3.6814329236040066
91808	4.641275677602472	4.640929458005255	-2.5471420400463995	342.93393965695924	191.06370151823285	-185.71910164376823	2.9594954487756695
74496	4.680491363876982	4.6795648615278065	-5.869811864613215	339.7050460028621	190.44472491536817	-186.29045670497362	4.657549023584579
59616	4.7197070501514915	4.719649540192011	-1.32152053331624	296.9758598999096	176.10590274028436	-171.46410794127223	6.733416347161437
61056	4.758922736426001	4.758886011483144	-5.537035219796588	276.3115648411953	154.17652008443747	-161.59764315325992	-3.036807719430726
68592	4.798138422700512	4.7986448890535796	-2.198335501444707	245.95736385146574	144.373420973443	-152.9424480038415	0.982583565340974
67984	4.837354108975021	4.836910419065389	-4.574264205383355	234.89408226603666	135.47064395367852	-143.20998172910004	-3.3645133009576966
68080	4.876569795249531	4.877115058103577	-2.0078369626368344	217.7998514747689	125.56447373253104	-133.1392609628001	-5.373731339723236
78320	4.915785481524041	4.91591192872409	-3.246914949612385	212.27003706431452	127.02807213977394	-126.40850011300608	0.29828711440131883
75312	4.955001167798551	4.954839159136602	4.382806101770191	203.52718516843765	124.97703871176782	-119.14962983068654	2.67269176060654
68320	4.994216854073061	4.99422532210101	-0.6955473635343808	208.16088217875705	116.62083761330905	-124.93238382900927	-0.4010652002571078
77808	5.033432540347571	5.033786869688348	-5.2829932464803955	205.4255820806251	113.32390208107608	-125.01105412759716	-6.52272705361429
74976	5.07264822662208	5.072038714541319	-4.667427075902232	194.46124215062633	112.71844915441761	-114.64395457296268	1.3415496651459762
66672	5.11186391289659	5.1112288560964805	0.6158475321757859	189.3787709153276	109.11209063437855	-105.04714782808514	4.4871855832152505
61904	5.1510795991711	5.151161950566276	-2.869388052118991	179.31042584255798	102.42388290689632	-101.73435520672683	-3.8507575102721603
55328	5.190295285445609	5.189837869637529	0.3359817581815638	171.84743297675277	99.72243518473624	-93.47091890271986	2.34146572975078
45264	5.229510971720119	5.22920399166053	-4.1377561976640065	174.88585137947842	93.13609142157657	-96.18018570158347	-3.7975542419571866
36032	5.268726657994629	5.267553643957349	-7.2076478542165034	156.78941754379383	82.6850747042281	-89.4897677818335	-4.377243327597171
24224	5.307942344269139	5.305906560942875	-5.079293353559299	162.00938100967562	78.96592546148713	-89.0275602526508	1.5917166743538473
17424	5.347158030543649	5.346527299033188	-5.301922584059136	138.36815838906625	76.36452085665042	-72.64846278661935	0.908192716206031
14688	5.3863737168181585	5.385497905534407	5.241499988967173	154.1034404554826	83.4514677934203	-68.53489373032426	5.3206237032009085
10496	5.425589403092668	5.4243651300565245	-5.076353713622563	133.1865434781561	74.75042884555796	-81.79601282435351	4.6801095617784085
5696	5.464805089367179	5.463027332194066	10.609677333502802	136.25033857265953	83.29931483801147	-83.23482645162039	6.934276785011207
2624	5.504020775641688	5.499225475585911	3.265283322705239	131.59325191523877	67.5924704928425	-57.6492236562508	12.078556840415331
736	5.543236461916198	5.540225706473161	-57.857722365981715	434.058360713898	76.46939514671249	-81.11086820143464	-2.6582004948204485
464	5.582452148190708	5.582275142455402	-152.76010681264685	661.0741383988718	29.673045439109046	-83.3816569285118	-25.42090983856906
