Y Median	Count	Y Mean	X Center	Y Std	X Mean	Y Upper Quartile	Y Lower Quartile
7941.061717004187	944	7854.225584964779	5098.0392156862745	517.0461089334557	5112.482195898402	8166.187077369303	7532.4363287271
7760.230072824491	1088	7802.254522747197	5294.117647058823	687.8451610432912	5291.874322804427	8148.9024451666355	7435.197735544885
7825.178812350304	1296	7845.883121982879	5490.196078431372	593.6502065968428	5496.813588860918	8197.840869235799	7480.100459043418
7840.071430294896	1808	7832.074545647451	5686.274509803921	643.3046907949331	5692.091353047476	8145.599040092971	7537.730667590638
7850.863952529788	1728	7843.477158321966	5882.35294117647	707.073076873581	5890.222245655839	8086.460848428023	7588.522566121318
7819.283030623834	2784	7810.7859542997485	6078.431372549019	486.82950703796183	6081.80506281472	8118.730076618612	7498.226046904935
7868.587150189149	4032	7832.378130228565	6274.509803921568	595.9376006836156	6280.558699613794	8162.831592817838	7551.612129688957
7826.454696422052	4496	7818.399341958557	6470.588235294118	506.7488298038233	6471.504669834773	8081.840657630037	7592.0418293143275
7841.119537477407	6448	7867.014705516966	6666.666666666667	491.8426724235873	6669.751183487428	8133.448104178004	7568.7517736112495
7912.927406219221	8848	7890.86661164295	6862.745098039216	491.57189588702084	6870.01957784162	8148.983125647636	7639.551064249794
7866.930079752629	10944	7856.313153132687	7058.823529411765	501.0135314801844	7064.893700958043	8129.519787757121	7592.424125890651
7878.160998904106	15376	7864.65627458853	7254.901960784314	489.47216285083664	7262.020719582457	8125.894680233591	7571.424823964874
7868.832478943131	21328	7871.072349987531	7450.980392156863	397.28619834191255	7453.713655127739	8114.888128641657	7623.399697936418
7890.70270470495	28352	7871.94235069866	7647.058823529413	421.7378431388136	7653.508542815111	8130.291095786721	7632.340006796545
7907.572287772948	36560	7889.22513895855	7843.137254901962	435.3458555408625	7849.281772959984	8137.002173532789	7642.561131166226
7945.86632437748	49264	7920.337329846922	8039.2156862745105	398.80092540979234	8043.747495684244	8175.739555404928	7696.509892591826
7986.4968579308825	66672	7963.220843486985	8235.29411764706	394.55654229384953	8240.224090505684	8202.89413924259	7745.89777445567
8039.435321007228	86016	8006.680167370299	8431.372549019608	365.79203740602895	8435.191125457599	8236.603434317181	7813.162916600104
8097.7080517148115	112768	8056.809368081546	8627.450980392157	345.2341612779837	8631.433127748665	8273.887685714522	7872.106242690982
8156.4080952122295	150688	8119.439620406593	8823.529411764706	327.9326395194927	8828.333977405618	8320.860683265482	7958.623041697794
8209.509293190777	189040	8178.687862119093	9019.607843137255	311.44623400784815	9022.051638044006	8367.949264198587	8030.0101651735695
8235.99966528816	207792	8211.384390701392	9215.686274509804	305.57164170759444	9214.727920449794	8396.903720337397	8063.274422086379
8243.167131646785	193792	8217.089705817261	9411.764705882353	299.8956158376864	9409.263935753672	8399.08030304512	8075.118235006616
8261.307612157849	165600	8235.541098675543	9607.843137254902	285.4991604906485	9604.656766811971	8413.22940478115	8095.902158028074
8276.593626093152	129952	8243.488305946767	9803.921568627451	310.3963837941914	9799.776263694099	8425.023538166002	8107.338460303387
8297.567815116865	90784	8264.178223369572	10000.0	328.3985227162345	9993.960122233491	8456.633255414015	8117.7057177104125
8318.766375329746	61520	8285.269205008006	10196.078431372549	375.17791319103276	10189.380929541418	8493.66642952099	8116.967753803084
8342.232063669659	38752	8299.793017952976	10392.1568627451	426.69761954920574	10386.625783090647	8548.880182053234	8116.237064257749
8351.497225580919	23792	8292.386149328155	10588.235294117649	473.09272404465537	10582.134588330973	8566.342056137115	8091.711999916104
8412.376975158386	16512	8328.878642802192	10784.313725490198	498.59916761342004	10776.11300955984	8627.637210251338	8062.5121422102875
8395.478971194456	11072	8300.471791261472	10980.392156862747	612.956391706972	10975.347822734324	8641.716521845829	7979.216987048891
8400.072201377101	7776	8299.132260361564	11176.470588235296	618.6998847421336	11167.14824374695	8722.597031466572	7921.27333870965
8360.221647922077	5616	8202.477362613481	11372.549019607844	686.3523069599439	11367.39177772178	8645.264702567105	7828.035920088074
8349.990051945097	3392	8255.677802037151	11568.627450980393	638.5172283217313	11565.60540438855	8720.109738600597	7800.266588827422
8470.418237283362	2688	8319.646694065983	11764.705882352942	748.6185453997575	11757.443384517625	8821.256828841766	7836.818081076076
8253.1908617503	1840	8149.249858882217	11960.784313725491	808.5170103945986	11962.33259181929	8744.037489799824	7736.606881509645
8219.48837258446	1216	8121.197068140107	12156.86274509804	756.7495511886851	12151.953918489811	8669.583947704143	7641.150588764551
8444.645222602061	1168	8175.767049047461	12352.94117647059	808.5879480269422	12349.231787620829	8753.521399182247	7727.616234003971
8288.769558525095	752	8248.662382425642	12549.019607843138	846.2870756761912	12553.982996793107	8891.831964903193	7626.062423678628
8097.1212553149635	608	7985.133177487356	12745.098039215687	830.3384199362316	12733.728751212668	8610.450211925083	7623.491208194537
8006.7667687164585	464	8089.397505392768	12941.176470588236	1077.863880781794	12919.527143674513	8807.198128318905	7353.483720983076
8372.007676816957	448	8204.551733419834	13137.254901960785	839.7681504647219	13146.172136637118	8963.540034098272	7716.823071092
8128.699725175978	288	7951.303257072028	13333.333333333334	700.9202395597969	13322.983297842979	8379.260421133353	7596.600080421867
8546.042943077779	336	7958.152199897534	13529.411764705883	1001.976752293491	13518.896640144638	8721.12759163644	7184.182422055675
8242.788392424749	256	7853.951236279673	13725.490196078432	1328.8406722068812	13697.739715620492	8598.497629286914	7252.075706857497
8156.93545368081	224	8092.4208327880915	13921.56862745098	863.5621687181408	13896.251105464917	8814.207646066277	7292.086808328117
7583.9037560890965	192	7863.074014637444	14117.64705882353	1345.4370447414972	14130.917827543331	8980.458170185382	7145.045181688199
7713.215350124654	128	7654.454515743328	14313.725490196079	1148.7709872730368	14315.52625887972	8602.732423611957	7231.138308253878
8090.8140129385865	112	8024.344230189009	14509.803921568628	1314.7301577978806	14510.961202043023	8653.515047928722	6626.249264590771
7221.667499213123	112	7261.592624721308	14705.882352941177	514.8447270866293	14672.5824105357	7707.572136696675	6983.310122803594
7771.495238897346	176	7777.410042332826	14901.960784313726	1165.321489534709	14906.383036027297	8730.567994223458	6293.203868711529
