[S III] Delta T	T1	T2	T3
-4901.9607843137255	11582480.577652061	17145214.84082163	19770583.80552008
-4705.882352941177	13516719.774001602	5621996.636218023	7671757.404764929
-4509.803921568628	8234872.183639372	3525723.5793535705	7554483.516271766
-4313.725490196079	4262560.188280649	5498792.942835975	16090742.732059076
-4117.64705882353	2637073.240110506	12596524.340300847	6936923.275659851
-3921.5686274509803	2705085.450685799	4922341.362643393	7751070.429983611
-3725.490196078431	8016256.89225308	8539671.236615805	0.0
-3529.411764705882	2703121.975645891	9119071.211089926	7790949.832492387
-3333.333333333333	6898704.203807537	7630997.013056407	3727463.1629215586
-3137.254901960784	3781296.8819363792	2963029.3515248	9913445.12050771
-2941.176470588235	5246239.91724729	5022449.672909362	18939984.657845154
-2745.098039215686	11011136.269483635	2813080.0791625297	19996424.688445684
-2549.0196078431372	6564384.772496174	23455830.994227875	7428037.13077649
-2352.9411764705883	6789343.35495966	8072370.978741353	14213704.231313217
-2156.862745098039	5191662.485528374	9475019.278093502	3895435.8661596216
-1960.78431372549	7985822.207199695	19540151.590900607	35862609.563227035
-1764.705882352941	11567670.540069183	35195886.23190634	26171493.44021497
-1568.627450980392	8097864.816764731	11437615.075145131	15352871.857769825
-1372.5490196078429	14998661.2763535	11891055.396372993	21758876.404755045
-1176.4705882352937	27023731.105562598	38905076.95308208	58342997.42116281
-980.3921568627447	133043766.28032151	78058563.03005178	124299195.89202715
-784.3137254901958	332798713.6023524	234215588.6709323	239434048.93128234
-588.2352941176468	852380268.386878	656906545.2810923	559453966.103867
-392.1568627450979	2173929232.8162775	2153087305.9684467	1617832974.6759095
-196.07843137254895	3891145354.316257	4682007680.913964	4468192967.967053
0.0	5208744832.51217	6127790169.40441	7095860781.528818
196.0784313725494	4140371870.441614	4585183782.494103	4734145160.760228
392.1568627450988	2046414882.3515663	2111451845.2584035	1664515747.4928613
588.2352941176478	994671179.139581	747816687.5762178	478555988.0424151
784.3137254901967	467797458.55470127	256786315.2481605	193701811.96182457
980.3921568627457	292302716.4261684	137866640.7880045	118103247.4026661
1176.4705882352946	220427388.0249669	104050138.2923714	60846261.96083203
1372.5490196078435	198420759.82003617	87056353.45962094	30847445.156739112
1568.6274509803925	170677894.17920142	66390072.06002381	34789699.041449666
1764.7058823529414	166929456.70602652	81628743.3658904	20782113.453991782
1960.7843137254904	128090150.0358596	63677324.67862462	22265594.476912785
2156.8627450980393	114714193.34061082	38711689.0614765	27258396.19052973
2352.9411764705887	80733434.98696536	45085121.88488772	18456927.20313751
2549.019607843138	47836792.287126504	17999953.60507897	22144608.53527487
2745.098039215687	25381448.86100908	21370035.062571745	23003014.139581595
2941.176470588236	27812748.505325362	14047049.666091058	14199064.333822446
3137.254901960785	14443254.445273837	17794010.636261202	25869696.856002048
3333.333333333334	9946864.074759161	14258033.451186154	6891368.046427438
3529.411764705883	4757096.229740305	11715111.495184539	11236680.679785728
3725.490196078432	5789375.121209936	2805200.858438327	3704376.462876635
3921.568627450981	7090210.594230184	6094042.791352497	3372729.9655008735
4117.64705882353	8192051.036686064	7122920.751070905	11606597.652046125
4313.725490196079	7138290.962433795	5746181.352823582	14409527.107516786
4509.803921568628	10521899.594837887	6319240.631003116	3120878.9272000208
4705.882352941177	9611255.786457907	7268637.904085167	3022521.761628219
4901.9607843137255	10389949.76126022	3892830.099673719	14750129.256376542
