Y Lower Quartile	Y Upper Quartile	X Mean	Y Median	X Center	Count	Y Mean	Y Std
-1478.1295977928962	1755.5493801753967	3.622177154240702	235.74985062335736	3.6216678344652173	1232	128.09010808476674	2327.4635987763018
-1074.7936333353264	2150.906192424103	3.662526235680681	532.5842783219041	3.660883520739727	1608	438.2715441605323	2285.175474049504
-1294.3947264056696	1671.9196957594613	3.700410411023931	115.07817148023969	3.700099207014237	1948	199.3200238544225	2157.4811134876036
-1291.4354934962894	1803.8771397164273	3.740347831388168	235.31200065607754	3.7393148932887468	2664	216.72949540956074	2245.7933241817195
-1358.349783003714	1651.5095489104897	3.779026369137123	212.53084100349042	3.778530579563257	3480	181.3128621210222	2197.6335949421455
-1269.3354302151274	1561.7733899013547	3.818833148919895	158.43996106908935	3.8177462658377666	4472	184.94892733277615	2128.2319227055973
-1343.5971066270777	1805.400578737428	3.8579628252546025	180.79072870646178	3.856961952112276	5400	216.25497121297818	2197.0429052303507
-1146.4724104632205	1668.0819602278098	3.89746560231587	244.4175156658075	3.896177638386786	6956	238.69897519161407	2066.447423805534
-1214.2721897207575	1598.2360147553518	3.935725462124194	162.22368696998637	3.9353933246612955	8476	207.03292818476197	2052.3634772286346
-1037.4414259075784	1605.6430765071564	3.9751173321791398	179.77849022745977	3.9746090109358057	10280	239.66524893048833	1954.2336893209658
-963.7524651339209	1474.501172185097	4.014637011759954	233.8924225496994	4.013824697210316	11932	238.15972047982285	1901.3684183004498
-853.5713316298279	1326.9468069829127	4.053652329406396	173.2381600706667	4.053040383484825	14776	205.41022821501838	1763.9274077440505
-878.8844235952033	1204.3729709669528	4.093351513416696	145.5004215866411	4.092256069759335	18992	148.85349074808238	1701.6730162405145
-823.2244447438916	972.1629182720717	4.132748349906325	96.16528080053558	4.131471756033845	25204	76.44698645167502	1548.564027771328
-738.2533815073793	901.0823969702724	4.171911452747363	93.68809529992541	4.170687442308354	35000	76.03204469893709	1423.9996844610605
-670.2143432615503	819.2330510221182	4.210923608908431	78.03384221707984	4.209903128582864	49800	71.20447863767477	1336.2343418923383
-637.4448209102079	732.9067499826099	4.249984147027205	58.55704028734954	4.249118814857374	65888	32.48130958243088	1263.8883804102045
