Count	Y Median	Y Upper Quartile	X Mean	Y Std	Y Lower Quartile	X Center	Y Mean
1215	382.58477150333056	2158.852878326101	3.622620401987909	2463.5551384893174	-1442.117859898954	3.6216678344652173	274.88006152044557
1379	321.68414632449367	2158.888639262241	3.6614677848136283	2469.5027010218946	-1563.4440076294563	3.660883520739727	295.1990128296467
1734	201.61840136973115	1993.1415921790187	3.7008391469617474	2447.5093543691855	-1581.2582919195288	3.700099207014237	151.6597383582221
2161	105.93527515450114	2021.3756255811822	3.7395544342549036	2443.9999368292374	-1713.080516811604	3.7393148932887468	144.3986189898956
2645	140.0658736427722	1901.6787942616502	3.7794503741671868	2400.545187485663	-1594.6670202833957	3.778530579563257	120.90698429380278
3169	235.05136617310018	1867.0328917703155	3.818318269528746	2367.318671790283	-1487.3295557684569	3.8177462658377666	201.4547257796464
4037	271.0921774013623	1979.6933022361118	3.857867577238512	2387.2456539754776	-1510.9012872742642	3.856961952112276	205.8003703365174
4931	203.3136037764525	1834.5558277373511	3.8973827319169403	2333.0635061512885	-1460.2201458313198	3.896177638386786	178.24797871320834
6307	157.4647209570976	1733.089707535531	3.936379611639537	2297.3887967082997	-1458.084181979004	3.9353933246612955	122.37602586003992
8049	231.673122567865	1778.251524958976	3.975337551120604	2229.779861308308	-1325.432228151054	3.9746090109358057	211.1627844164545
10492	278.65525072675337	1760.0779425654468	4.0146260049526274	2203.6120277437763	-1228.8485489778911	4.013824697210316	237.06914500098935
13486	217.10904324058902	1629.6992080681075	4.053799650239322	2115.857226627708	-1201.1209578715575	4.053040383484825	202.20818230466128
17218	219.61817120122305	1569.4943951616274	4.093241609280841	2069.252596139714	-1162.529018014225	4.092256069759335	192.7518810317302
22612	193.48425687335384	1518.2052274036403	4.132352386450581	2018.366410525468	-1105.1608754660851	4.131471756033845	190.86635140721825
29264	213.2790051170441	1451.465317687641	4.171530302729555	1946.4720001557496	-1014.2154778457723	4.170687442308354	205.79632096669877
37773	180.7484047268481	1386.5136414639455	4.210786950738734	1882.4954056894555	-1021.6921775525861	4.209903128582864	171.06760935980995
47807	181.48629214719313	1328.874201843803	4.249896565666479	1832.8251466573265	-971.6602312866698	4.249118814857374	166.03198817346893
58532	163.96231194848042	1268.2442882055407	4.288907008329494	1777.435220126523	-937.3264915936943	4.288334501131884	158.72725164527156
69189	161.11843359223167	1208.858443718067	4.328069833470937	1711.8963168412135	-877.9813047349126	4.327550187406394	153.36916412884062
78374	145.2169837227384	1143.4232315466134	4.367192723023336	1664.6740706396854	-863.1186048496384	4.366765873680904	133.67247193077625
85811	136.08831588981593	1070.4398430987058	4.4061065179101435	1605.5943215050543	-819.6268167235198	4.405981559955413	122.08930674482443
89847	117.5766907090092	1030.7803105909088	4.4453160866721015	1559.943234429883	-796.3999325570926	4.445197246229924	110.08387605884032
91534	100.47253262635422	959.1574152078783	4.484387853475736	1507.9493517024314	-767.5113288456596	4.4844129325044335	88.42667996817694
91565	96.05147751628647	931.072191766737	4.523516712793822	1464.6476487967548	-746.1236224498198	4.523628618778943	79.70273186090272
89998	88.04882820632429	882.7177351517498	4.562817812439765	1417.1862937262	-716.3667053589961	4.562844305053453	75.25097411891745
85222	73.14991006857736	831.7391779414156	4.6017284667372165	1365.8700605283861	-702.696731628633	4.6020599913279625	56.61599556826321
78700	65.137618272508	800.1232823106197	4.6410162946654205	1327.2036315081673	-674.1514715539515	4.641275677602472	56.98580339540836
70382	50.680553291823344	759.5228843159732	4.680052825728689	1275.457055265905	-650.763540975157	4.680491363876982	43.85192153680794
63664	39.188658431990916	705.535840999934	4.71942982328826	1203.876025709559	-629.711399453126	4.7197070501514915	20.540222630028676
61343	34.37271425049039	649.3724986038351	4.75890611467047	1121.3189391130709	-596.4264599033008	4.758922736426001	12.854870887446602
63191	21.244304696109793	597.5362949229047	4.798374378262634	1049.2621172587192	-568.6829177218779	4.798138422700512	0.7893523946663155
65712	12.249283224415194	563.9746370921775	4.837508999701152	994.7230710910138	-543.4995920177539	4.837354108975021	-11.606640130754739
69021	10.017332982635708	520.8214122323625	4.8767713084542885	930.9226131063474	-517.255818622768	4.876569795249531	-13.24084073579425
71922	2.327116829262195	502.8834980194945	4.915940220300675	903.4259670368643	-502.1064084791469	4.915785481524041	-14.56107348037777
