X Center	Y Lower Quartile	Y Mean	Y Median	Y Upper Quartile	Count	Y Std	X Mean
3.6216678344652173	nan	nan	nan	nan	0	nan	nan
3.660883520739727	-0.022267138817504188	-0.012467897803347092	-0.018391447898025166	-0.00859220688386807	1024	0.01892124919481298	3.656045803525883
3.700099207014237	-0.025617009626051172	-0.008694037761297964	-0.014883673408718115	0.006574475281324546	3072	0.019648134567817718	3.7056271718618152
3.7393148932887468	-0.015127746078426313	-0.0033665085856124776	-0.0036382081043812983	0.004629526814730113	4352	0.02120994135979902	3.7411696975543807
3.778530579563257	-0.017775638575635664	-0.0008058276751458198	-0.00044559572544303346	0.014515665655422281	7168	0.02051848167286336	3.7813927626314885
3.8177462658377666	-0.006753175794210947	0.004817519711765236	0.0026875137976427477	0.01672955495915569	8704	0.021583835228944342	3.8194876725192386
3.856961952112276	-0.010081927885429883	-0.0003928101023360444	0.0004800700502123574	0.007846676436726029	13056	0.014873036527826603	3.8580764745044047
3.896177638386786	-0.012444778868954147	-0.002741356443829664	-0.0032117036530219193	0.005243862740249572	14080	0.015454008507115941	3.898629261908235
3.9353933246612955	-0.0105977094433072	-0.0020962839168903254	-0.0008172097195695787	0.008444400905869056	14336	0.016313031737720432	3.9333053661067803
3.9746090109358057	-0.006074174721749435	0.0014796726842311553	0.0005282597053552893	0.009818059665261041	16384	0.013634774068697448	3.9753206640161176
4.013824697210316	-0.013237454794808659	-0.0018817676838913686	-0.00048359514332751367	0.009325802701182485	18176	0.013597011949900276	4.015786360220809
4.053040383484825	-0.01108310350039063	-0.0018212717181560845	-0.0028047614724572775	0.005197497952162935	23808	0.013988274380000238	4.053564922592318
4.092256069759335	-0.009231738253067296	-0.001265736533720501	-0.00010832167997441394	0.007843975825218816	20480	0.014474271225155157	4.091605365429899
4.131471756033845	-0.010317758271050054	-0.0011786103538334956	-0.0008315016983373621	0.007745374010518394	22784	0.012243094407978012	4.130735489828508
4.170687442308354	-0.007101036179284021	9.792296841411426e-05	-0.00015945724485485986	0.006387235650155505	30976	0.011101604270692258	4.170756448684868
4.209903128582864	-0.0045910953799968525	0.0006007458981075577	0.0005719697169048573	0.007204639366183733	68352	0.009759139049635334	4.211608879592359
4.249118814857374	-0.00516458316015544	0.0004140758164728435	0.00039155839397844846	0.006112518436515777	92672	0.009248179869552524	4.250287221044381
4.288334501131884	-0.004827403598143517	0.0004862151410420231	0.001117850246403741	0.0053739703073630365	105984	0.007587615393368457	4.288627401485055
4.327550187406394	-0.004529692473181242	-0.00027388824100699053	-0.00031399254743292427	0.003729621487526616	123136	0.007500797871802806	4.3280799692702745
4.366765873680904	-0.004093472978326552	0.00029928766450897266	0.00045073931409421865	0.004916440464284744	115712	0.007089757312361357	4.366719051600483
4.405981559955413	-0.004005452912977275	0.0004829664164669981	0.0002931082241470617	0.004737635444457567	121856	0.006805126294421569	4.406387219052439
4.445197246229924	-0.00458531434686243	0.000262648686791301	0.000364852834669156	0.004694259402847359	116224	0.006422487553952319	4.4447639837166895
4.4844129325044335	-0.003295013169073932	0.00012291209762196523	0.00013527525138746073	0.003597610472115095	117248	0.005982295204651616	4.484605320695056
4.523628618778943	-0.0042021895002770805	-0.00038889669242770405	-0.0003509712745437324	0.0031432418099157154	109056	0.006095954526392325	4.524183110175742
4.562844305053453	-0.003911659829912891	-0.0003914701107534813	-0.00034953068707155056	0.003209042992521108	105216	0.005808918353947845	4.5629927153264696
4.6020599913279625	-0.0034318463310385686	-0.0002778316016533919	1.8479441440158957e-05	0.0030545164786611838	101632	0.005552597736427573	4.602144851229582
4.641275677602472	-0.003462816503059428	-8.721593160456951e-05	0.000353028845067299	0.003413986773478805	92160	0.005905327309871766	4.640971618591796
4.680491363876982	-0.004410669860097669	-0.000753685088730585	-0.0009542164472109145	0.0027844988658704993	77312	0.005456227095801564	4.679581180245499
4.7197070501514915	-0.0039441799756842625	-0.0004665960766375514	-0.0005572480569191018	0.0033575289847411166	59904	0.005541213834877547	4.720840044374852
4.758922736426001	-0.0029759632511940247	0.0005052117879937777	0.0003168710178915906	0.0040907825971740934	59392	0.005483801568313863	4.759126334769953
4.798138422700512	-0.0030698855228163176	0.00012032006068925053	0.00017971818098331296	0.002916892207154497	70656	0.004689259369887494	4.800738179754037
4.837354108975021	-0.0027388918010773033	0.00031107934462613684	5.495410885151902e-05	0.0034111629274415725	62208	0.004762576384514712	4.83634834068089
4.876569795249531	-0.00274534606758835	0.00013988647188143967	0.00018013151991261216	0.0030991159962108026	70656	0.004779039710003097	4.876917761093089
4.915785481524041	-0.003910137128666512	-0.0005161519264544121	-0.0005090680398569382	0.002935116664936251	77568	0.004717508508042168	4.915739932340327
4.955001167798551	-0.0033276167266919855	-8.719800767596402e-05	-0.0003429083660151026	0.0033354734730335427	79616	0.0049709603339672314	4.955206342748679
4.994216854073061	-0.0023276923394308854	0.0005560193738926465	0.0005351302933717958	0.0030865930883554964	63232	0.005110486093956649	4.99475755663424
5.033432540347571	-0.003323722142970296	-0.0002634729696113863	-0.0004173928549622482	0.0028689251353948356	85504	0.0049564934870269	5.0345949374458945
5.07264822662208	-0.0031329752900467614	0.00014939723338339134	0.00018408438220119728	0.003246500570686624	72704	0.004913605093624822	5.073685699520582
5.11186391289659	-0.0034378267527062525	-0.0001498435941681407	-0.0001160679895156111	0.0030605386050987986	64000	0.004874554712228134	5.112269349259162
5.1510795991711	-0.003359258613747003	-8.620622046580499e-05	-7.587067486496429e-05	0.0030460274719770245	62208	0.0052350346086635045	5.1513987735383475
