nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.15	8346	0.00467	0.02	106	0.00649
2	0.25	8320	0.00244	0.02	31	0.00278
4	0.40	8318	0.00150	0.03	11	0.00087
8	0.46	8319	0.00108	0.06	7	0.00022
16	0.52	8318	0.00091	0.20	5	0.00005
32	0.59	8315	0.00081	0.55	5	0.00002
64	0.69	8315	0.00071	0.76	6	0.00001
128	0.77	8322	0.00060	0.88	7	0.00001
256	0.89	8336	0.00040	0.99	5	0.00001
