X Mean	Y Std	Count	Y Median	Y Upper Quartile	Y Mean	Y Lower Quartile	X Center
3.6223291136327123	0.25157121399799703	893	0.014919352833785168	0.15035395774829796	0.01025498738924166	-0.1172898581914401	3.6216678344652173
3.661760280750083	0.24849179641563918	1096	0.010216383199215077	0.14361196116057956	0.019787489988741427	-0.12456736476992909	3.660883520739727
3.7012793965630486	0.24027162136292476	1341	0.01297034867938155	0.1413263143004224	0.014907670374743623	-0.12047661600677141	3.700099207014237
3.7401190124531563	0.23948556077882752	1726	0.016296755008476962	0.13502198812331392	0.00694205674249309	-0.12260701881050828	3.7393148932887468
3.7790873501012774	0.2431360530523311	2010	-0.0015112989761752072	0.12750892308444806	0.0001927349827167446	-0.12513130087459304	3.778530579563257
3.818595941828249	0.2363680633181301	2539	0.009799227905646092	0.1397063890282233	0.015379107533081521	-0.10752361569766447	3.8177462658377666
3.8574457390004815	0.22822879680378508	3274	0.004660935624117189	0.12352336971377462	0.008274838155435728	-0.11238906459806743	3.856961952112276
3.896789257878143	0.22080646263299403	4061	0.008072965532331331	0.12483425239685618	0.008492421021445762	-0.1133045590237467	3.896177638386786
3.936125638957023	0.20976366330583895	5179	0.005578255263869508	0.11203715600060526	0.004208346648215716	-0.10408000476892096	3.9353933246612955
3.9754242321071196	0.20239360307727683	6762	0.010467636151880719	0.11519217563334165	0.009816462541214056	-0.10136609136425309	3.9746090109358057
4.014745432154338	0.19055835859952164	8867	0.005825305340967375	0.10870530629379016	0.0059732108433499026	-0.09739757074524018	4.013824697210316
4.053796730881183	0.18939954755941976	11275	0.005998330291405249	0.10657363920789735	0.007445108147756109	-0.09687363592636242	4.053040383484825
4.093247729931049	0.17913783461132823	15063	0.006214027147442868	0.10094876827355083	0.007587756781661146	-0.08782062124937814	4.092256069759335
4.1322651877266185	0.16895629296886203	19486	0.005040688007876404	0.09620968231588949	0.005288974839681551	-0.08583069308679814	4.131471756033845
4.17153384422975	0.1578153460806218	26257	0.004765913520294946	0.09066212720349576	0.005037585523698681	-0.0816124365674513	4.170687442308354
4.210783783486237	0.1501301153092998	33966	0.00520138370206142	0.08866115033391109	0.006793185964170051	-0.07716483064365379	4.209903128582864
4.249810761882024	0.14402020373279398	43357	0.005393324776084881	0.0849687744639303	0.006264616752395288	-0.07379623762278746	4.249118814857374
4.289074715130116	0.136418817941101	53778	0.00484965927002998	0.08074309430800085	0.005740862646526127	-0.07112999209282328	4.288334501131884
4.328078058212307	0.13083697856760942	63723	0.0049835192518124	0.07789940774942658	0.0059062608636245555	-0.06807892720429698	4.327550187406394
4.367172455971087	0.1243606686420053	73020	0.005046688995488772	0.07452784484025662	0.005889951886145354	-0.06450471060889906	4.366765873680904
4.406246843256221	0.11885780052262596	80046	0.0042709024276601035	0.0707136116854742	0.005441340494679711	-0.06271308746914869	4.405981559955413
4.445308173915913	0.11451245080560758	84690	0.0035021660697738778	0.06751921422482138	0.00525978447042675	-0.06030589227358307	4.445197246229924
4.484440092728431	0.1105959295725808	87095	0.003331524661970066	0.06548904095546978	0.00583866125836336	-0.05782344992917988	4.4844129325044335
4.523646228123786	0.10563179306064337	87204	0.002833429499399466	0.06302778582103516	0.005654788782771399	-0.055915072892095345	4.523628618778943
4.562700799221202	0.10402162875259086	85336	0.0025597162866666445	0.06128382294587807	0.005722503514546897	-0.054879357468806095	4.562844305053453
4.601898456330409	0.10095587312454977	81646	0.0014127848986098712	0.059769822981360826	0.004880702969289042	-0.05460601960700591	4.6020599913279625
4.640986985475002	0.09852155793661152	75743	0.0015695422293275922	0.0585516080160844	0.004714721609183798	-0.05397553528418022	4.641275677602472
4.68012867316477	0.09624237190329374	67981	0.0015369423313096196	0.057964596975748926	0.004721292329829243	-0.05306778087565564	4.680491363876982
4.719450152080563	0.09364916431749487	61977	0.0010727552743223462	0.05611833996237084	0.004184430662335271	-0.052339587988849495	4.7197070501514915
4.758965518233975	0.09042233580025016	60170	0.0014016509255254934	0.05544855533318884	0.004601006316378817	-0.050638853591077504	4.758922736426001
4.79833291788968	0.08826885386277328	61664	0.0002366063564540947	0.05329281069449884	0.0032851664105115297	-0.05073491749809138	4.798138422700512
4.837411549283474	0.08601988713129115	64680	0.00041842835297952304	0.05261474497551494	0.0029678622289735614	-0.050685822873817704	4.837354108975021
4.876838315080636	0.08500622178864292	68434	0.0007151508968634356	0.05201569681201806	0.0031871390952974564	-0.04985960956777333	4.876569795249531
4.915949930297898	0.08533514898994378	71115	-0.000786937516673391	0.05125364219640205	0.0026846006065065512	-0.05032102279043203	4.915785481524041
4.954935917454459	0.08790121669431442	72270	0.00013310148983690167	0.052713591652542996	0.0035769677600160873	-0.05043994541638838	4.955001167798551
4.994272334555826	0.08959367730422724	70946	-0.00045342389969605745	0.052595623402070885	0.003401549281600351	-0.05183092925120682	4.994216854073061
5.033543227318911	0.08899507251745756	73086	-0.00023634856805916752	0.052668921189143514	0.003353508967856192	-0.0512161587491272	5.033432540347571
5.072439374108712	0.09016381644821289	71674	-0.0004148016531180848	0.052318131156218084	0.003438650491677486	-0.0511322125940437	5.07264822662208
5.111433063331054	0.09108168055880587	66438	-6.057181087173944e-05	0.052834957500511544	0.0042962941747106045	-0.05035400226585464	5.11186391289659
5.150789729181559	0.09131129722614417	60529	-0.0002014768123630627	0.05261385462173297	0.004146229985789785	-0.05077965874838112	5.1510795991711
5.189700066585557	0.09419009251034703	54181	-0.0008646370063893798	0.05222790621421103	0.004709666811336477	-0.05058769202843072	5.190295285445609
