Y Lower Quartile	Y Mean	Count	Y Std	X Center	X Mean	Y Median	Y Upper Quartile
nan	nan	0	nan	3.6216678344652173	nan	nan	nan
nan	nan	0	nan	3.660883520739727	nan	nan	nan
nan	nan	0	nan	3.700099207014237	nan	nan	nan
nan	nan	0	nan	3.7393148932887468	nan	nan	nan
nan	nan	0	nan	3.778530579563257	nan	nan	nan
nan	nan	0	nan	3.8177462658377666	nan	nan	nan
nan	nan	0	nan	3.856961952112276	nan	nan	nan
nan	nan	0	nan	3.896177638386786	nan	nan	nan
nan	nan	0	nan	3.9353933246612955	nan	nan	nan
nan	nan	0	nan	3.9746090109358057	nan	nan	nan
nan	nan	0	nan	4.013824697210316	nan	nan	nan
nan	nan	0	nan	4.053040383484825	nan	nan	nan
nan	nan	0	nan	4.092256069759335	nan	nan	nan
nan	nan	0	nan	4.131471756033845	nan	nan	nan
nan	nan	0	nan	4.170687442308354	nan	nan	nan
nan	nan	0	nan	4.209903128582864	nan	nan	nan
nan	nan	0	nan	4.249118814857374	nan	nan	nan
nan	nan	0	nan	4.288334501131884	nan	nan	nan
nan	nan	0	nan	4.327550187406394	nan	nan	nan
nan	nan	0	nan	4.366765873680904	nan	nan	nan
nan	nan	0	nan	4.405981559955413	nan	nan	nan
nan	nan	0	nan	4.445197246229924	nan	nan	nan
nan	nan	0	nan	4.4844129325044335	nan	nan	nan
nan	nan	0	nan	4.523628618778943	nan	nan	nan
nan	nan	0	nan	4.562844305053453	nan	nan	nan
nan	nan	0	nan	4.6020599913279625	nan	nan	nan
nan	nan	0	nan	4.641275677602472	nan	nan	nan
nan	nan	0	nan	4.680491363876982	nan	nan	nan
7.034400293821818	7.034400293821818	443	0.0	4.7197070501514915	4.728282024261481	7.034400293821818	7.034400293821818
nan	nan	0	nan	4.758922736426001	nan	nan	nan
-16.36906679848289	-16.36906679848289	3858	0.0	4.798138422700512	4.811179057970562	-16.36906679848289	-16.36906679848289
13.504561235358779	13.465732846951623	2392	0.4339317560923655	4.837354108975021	4.844118737334587	13.504561235358779	13.504561235358779
19.755999406424962	15.795707084587942	1805	12.52736150886269	4.876569795249531	4.871944214452631	19.755999406424962	19.755999406424962
-10.125257340914686	10.869743903523556	8124	21.17147654685052	4.915785481524041	4.907953938359968	-10.125257340914686	32.21917913123434
-5.913245864268902	-5.913245864268902	1416	0.0	4.955001167798551	4.952275630667907	-5.913245864268902	-5.913245864268902
-18.68039497501013	-12.61370907041921	9801	5.13673883293931	4.994216854073061	4.988839130008662	-8.596398192510605	-8.596398192510605
-18.179531168691028	-14.335560176100456	3170	8.667667025284137	5.033432540347571	5.049755925388106	-18.179531168691028	-18.179531168691028
-11.250110329341624	-2.9405150164730656	3739	10.59205263150186	5.07264822662208	5.060512004009738	-11.250110329341624	8.103331411113686
-4.101160147238261	-3.998304485274116	1076	1.6838197555219747	5.11186391289659	5.110313576277757	-4.101160147238261	-4.101160147238261
-9.922995142514992	7.323297309416143	11457	14.427320723389911	5.1510795991711	5.146045899368375	8.49847892995058	25.61400548286838
19.04726923558701	19.04726923558701	1662	0.0	5.190295285445609	5.191892968213763	19.04726923558701	19.04726923558701
-14.860044019816996	-14.860044019816998	2633	1.7763568394002505e-15	5.229510971720119	5.242684809171782	-14.860044019816996	-14.860044019816996
34.53373740684947	34.53373740684947	318	0.0	5.268726657994629	5.26115380747018	34.53373740684947	34.53373740684947
nan	nan	0	nan	5.307942344269139	nan	nan	nan
-3.407410151503427	-3.9432521467320925	4031	1.9574885086129916	5.347158030543649	5.3555224273637405	-3.407410151503427	-3.407410151503427
-18.090513664301398	-18.090513664301398	1140	0.0	5.3863737168181585	5.382985366662239	-18.090513664301398	-18.090513664301398
nan	nan	0	nan	5.425589403092668	nan	nan	nan
nan	nan	0	nan	5.464805089367179	nan	nan	nan
nan	nan	0	nan	5.504020775641688	nan	nan	nan
nan	nan	0	nan	5.543236461916198	nan	nan	nan
nan	nan	0	nan	5.582452148190708	nan	nan	nan
