Y Median	X Center	X Mean	Y Mean	Y Std	Y Lower Quartile	Count	Y Upper Quartile
nan	3.6216678344652173	nan	nan	nan	nan	0	nan
nan	3.660883520739727	nan	nan	nan	nan	0	nan
nan	3.700099207014237	nan	nan	nan	nan	0	nan
nan	3.7393148932887468	nan	nan	nan	nan	0	nan
nan	3.778530579563257	nan	nan	nan	nan	0	nan
nan	3.8177462658377666	nan	nan	nan	nan	0	nan
nan	3.856961952112276	nan	nan	nan	nan	0	nan
nan	3.896177638386786	nan	nan	nan	nan	0	nan
nan	3.9353933246612955	nan	nan	nan	nan	0	nan
nan	3.9746090109358057	nan	nan	nan	nan	0	nan
nan	4.013824697210316	nan	nan	nan	nan	0	nan
nan	4.053040383484825	nan	nan	nan	nan	0	nan
nan	4.092256069759335	nan	nan	nan	nan	0	nan
nan	4.131471756033845	nan	nan	nan	nan	0	nan
nan	4.170687442308354	nan	nan	nan	nan	0	nan
nan	4.209903128582864	nan	nan	nan	nan	0	nan
nan	4.249118814857374	nan	nan	nan	nan	0	nan
nan	4.288334501131884	nan	nan	nan	nan	0	nan
nan	4.327550187406394	nan	nan	nan	nan	0	nan
nan	4.366765873680904	nan	nan	nan	nan	0	nan
nan	4.405981559955413	nan	nan	nan	nan	0	nan
nan	4.445197246229924	nan	nan	nan	nan	0	nan
nan	4.4844129325044335	nan	nan	nan	nan	0	nan
nan	4.523628618778943	nan	nan	nan	nan	0	nan
nan	4.562844305053453	nan	nan	nan	nan	0	nan
nan	4.6020599913279625	nan	nan	nan	nan	0	nan
nan	4.641275677602472	nan	nan	nan	nan	0	nan
nan	4.680491363876982	nan	nan	nan	nan	0	nan
nan	4.7197070501514915	nan	nan	nan	nan	0	nan
0.006163789034419558	4.758922736426001	4.768131755209223	0.0033051524786510875	0.003646204148762799	0.0008298597719807953	824	0.006163789034419558
0.0010553294754407298	4.798138422700512	4.799357681581489	-0.0014674858102027807	0.005426305399478898	-0.007339294129549198	2836	0.003798544608461199
0.001922767153030323	4.837354108975021	4.832626648002481	0.001382552267885232	0.005008875644866572	-0.0020170077657169455	3423	0.004264983590122284
0.0006112436651819952	4.876569795249531	4.8794994971517305	0.00061912140923794	0.006670080276203376	-0.004781787032467159	4567	0.004974048833246596
0.0014097632749092547	4.915785481524041	4.91767505803175	0.00046163008881274517	0.0067384423167403465	-0.004566626614804126	4926	0.004194409282681128
0.0004162939620982363	4.955001167798551	4.951064899116071	0.0004196617597654879	0.006824006382227512	-0.003910192005453631	5973	0.003512706641808319
0.0007971525143992663	4.994216854073061	4.997096413217951	0.001141868676993008	0.007201078826844235	-0.0056990577896383066	4481	0.006990210197593606
-0.0008401951016674618	5.033432540347571	5.033530502892588	-0.0004863559934417824	0.006262913032150672	-0.004725315380556014	6540	0.0033085048572178673
0.00024978169204063446	5.07264822662208	5.074004011541968	0.0016069722877458032	0.009767865256467929	-0.0068876633685581575	4055	0.008959864226878504
-0.0018581276903572794	5.11186391289659	5.1096049206030685	0.00026058722962127474	0.006030906100110083	-0.0039050128975457493	3581	0.007118092487568447
0.0003799750236694268	5.1510795991711	5.15295167955898	-0.0006976680554927141	0.005378338493373375	-0.0068447368576536665	2533	0.0023248182604386908
-0.005052794995550305	5.190295285445609	5.185351327033142	-0.004296473229122811	0.005197359476405794	-0.0059719965380304755	2254	-0.0015697355084411941
-0.002008950489538645	5.229510971720119	5.22983098420212	1.1895711840739319e-06	0.007117906966135877	-0.0075060085783831	2285	0.006874751295010945
0.005359746718494454	5.268726657994629	5.269702826901979	0.0026577617535766688	0.00598086031752431	-0.000927542399306727	2419	0.006663389225470162
-0.0003086854308085072	5.307942344269139	5.306742152880035	0.0008788751667946046	0.007910265684684377	-0.005052443208645889	2258	0.008263786398892614
-0.0019222048960046178	5.347158030543649	5.351464866195859	-0.0025389905068209095	0.0047254164379196125	-0.008281736749503334	1845	0.00211353474018467
0.0021065870824008917	5.3863737168181585	5.390299145680175	0.0009484649424099401	0.007568976207718283	-0.003995240711908372	2099	0.006200912252700756
0.0004993273188124861	5.425589403092668	5.406618845735435	0.0004993273188124859	2.168404344971009e-19	0.0004993273188124861	166	0.0004993273188124861
nan	5.464805089367179	nan	nan	nan	nan	0	nan
nan	5.504020775641688	nan	nan	nan	nan	0	nan
nan	5.543236461916198	nan	nan	nan	nan	0	nan
nan	5.582452148190708	nan	nan	nan	nan	0	nan
