Y Median	X Center	X Mean	Y Upper Quartile	Y Mean	Y Std	Y Lower Quartile	Count
nan	3.6216678344652173	nan	nan	nan	nan	nan	0
nan	3.660883520739727	nan	nan	nan	nan	nan	0
nan	3.700099207014237	nan	nan	nan	nan	nan	0
nan	3.7393148932887468	nan	nan	nan	nan	nan	0
nan	3.778530579563257	nan	nan	nan	nan	nan	0
nan	3.8177462658377666	nan	nan	nan	nan	nan	0
nan	3.856961952112276	nan	nan	nan	nan	nan	0
nan	3.896177638386786	nan	nan	nan	nan	nan	0
nan	3.9353933246612955	nan	nan	nan	nan	nan	0
nan	3.9746090109358057	nan	nan	nan	nan	nan	0
nan	4.013824697210316	nan	nan	nan	nan	nan	0
nan	4.053040383484825	nan	nan	nan	nan	nan	0
nan	4.092256069759335	nan	nan	nan	nan	nan	0
nan	4.131471756033845	nan	nan	nan	nan	nan	0
nan	4.170687442308354	nan	nan	nan	nan	nan	0
nan	4.209903128582864	nan	nan	nan	nan	nan	0
nan	4.249118814857374	nan	nan	nan	nan	nan	0
nan	4.288334501131884	nan	nan	nan	nan	nan	0
nan	4.327550187406394	nan	nan	nan	nan	nan	0
nan	4.366765873680904	nan	nan	nan	nan	nan	0
nan	4.405981559955413	nan	nan	nan	nan	nan	0
nan	4.445197246229924	nan	nan	nan	nan	nan	0
nan	4.4844129325044335	nan	nan	nan	nan	nan	0
nan	4.523628618778943	nan	nan	nan	nan	nan	0
nan	4.562844305053453	nan	nan	nan	nan	nan	0
nan	4.6020599913279625	nan	nan	nan	nan	nan	0
nan	4.641275677602472	nan	nan	nan	nan	nan	0
-239.80585918880388	4.680491363876982	4.677130399638627	-13.421923613170293	-167.85250290931495	109.28339553376054	-250.3297259259707	12
-103.46179397220112	4.7197070501514915	4.722677588500099	42.57983320329549	59.801006828352115	817.6773444384839	-287.1097353572395	163
-7.772587862719774	4.758922736426001	4.763477434026688	120.48803492668853	42.337186411980504	382.8863930590893	-134.862475472165	812
-0.8463338207384368	4.798138422700512	4.800534586141331	136.12407205123102	32.79728787559246	345.20010546342763	-143.0498221987018	1840
2.814304689227356	4.837354108975021	4.838547579252426	116.98170296191347	20.780088390545174	466.0422479161505	-123.89256901951012	2640
-12.099777305808857	4.876569795249531	4.8777637096056745	123.60508745001698	9.227417700601567	321.6685841479084	-120.57756444950974	3098
-7.224899266967881	4.915785481524041	4.916343877106832	126.38109322085074	-2.8640046688976146	493.9934593434126	-125.39507629934269	4462
-3.9298140615610464	4.955001167798551	4.954643616472718	119.71060716754255	6.382337455875845	328.4004420741332	-112.70639119145108	4175
-6.136711633071172	4.994216854073061	4.994831415209101	114.50564187252985	-1.9463650550693408	420.3407824299215	-115.95286520360969	3847
-6.955865402682321	5.033432540347571	5.033331004428919	91.22504457412651	11.313996047162547	328.3873547063039	-109.13335005469344	5017
8.824564663917045	5.07264822662208	5.072332392584026	108.98978461939532	-10.171092150322476	355.5583443440171	-101.74583297217941	4135
-6.877954166773634	5.11186391289659	5.1103828787853764	99.7571334587592	-8.573279920013002	331.765732012394	-99.74741816434016	2937
-1.5002191875319113	5.1510795991711	5.149973476176552	92.40402262749922	1.0563046777030267	307.4781196673065	-103.22961668383323	2328
-14.590948651806684	5.190295285445609	5.190396192774909	97.39366235367152	-37.726519603476085	399.0847653156266	-114.89398447046005	2036
-0.27193044666455535	5.229510971720119	5.229397897101504	97.87127230799888	-20.21201758569182	413.4877825039994	-107.38553726866849	2342
7.267076650168747	5.268726657994629	5.268487351018786	112.42989445348758	-39.9308368305267	554.9242702363032	-104.94907229013552	1879
7.420582027445562	5.307942344269139	5.30715338776618	86.90095163698788	24.11811253364145	447.32722912303825	-72.94552556515373	1830
-3.103056334386565	5.347158030543649	5.347433518893727	95.99291744378388	-62.39673973264456	482.2242558196713	-104.45690148508038	1670
-7.321885399607709	5.3863737168181585	5.385441964216499	82.42204501440756	-45.85808135289914	364.7769281994029	-94.6460368844073	1468
3.0233898325968767	5.425589403092668	5.4234830875893225	88.60960480367066	13.516353937855763	354.1334164089646	-103.71865228550087	765
22.04499954187304	5.464805089367179	5.460515741778986	124.57732443291206	6.9246953574610615	200.9081460525064	-64.89630515047429	193
21.74836697031151	5.504020775641688	5.504939303896975	76.97936787134404	-478.7556717394091	1267.5685057366206	-127.31774409426134	32
205.38705623864007	5.543236461916198	5.53217880164607	205.38705623864007	205.38705623864007	0.0	205.38705623864007	4
nan	5.582452148190708	nan	nan	nan	nan	nan	0
