Y Lower Quartile	X Center	Y Mean	Count	X Mean	Y Median	Y Upper Quartile	Y Std
nan	3.6216678344652173	nan	0	nan	nan	nan	nan
nan	3.660883520739727	nan	0	nan	nan	nan	nan
nan	3.700099207014237	nan	0	nan	nan	nan	nan
nan	3.7393148932887468	nan	0	nan	nan	nan	nan
nan	3.778530579563257	nan	0	nan	nan	nan	nan
2.8623865624112526	3.8177462658377666	2.8766526999020945	32768	3.820230709606151	2.8766526999020936	2.890918837392935	0.01426613749084127
nan	3.856961952112276	nan	0	nan	nan	nan	nan
nan	3.896177638386786	nan	0	nan	nan	nan	nan
2.8998402468645526	3.9353933246612955	2.8998402468645517	16384	3.9397570822724783	2.8998402468645526	2.8998402468645526	8.881784197001252e-16
2.858514658849847	3.9746090109358057	2.858514658849848	16384	3.9606237202629724	2.858514658849847	2.858514658849847	8.881784197001252e-16
2.911781096736344	4.013824697210316	2.9117810967363433	16384	4.020454270582322	2.911781096736344	2.911781096736344	8.881784197001252e-16
2.927256863548773	4.053040383484825	2.9272568635487723	16384	4.05745339977021	2.927256863548773	2.927256863548773	4.440892098500626e-16
2.8359009589629567	4.092256069759335	2.8510015718195643	65536	4.100818807401481	2.923967482101903	2.9390680949585093	0.14959933025169161
2.8943696376079835	4.131471756033845	2.8943696376079826	16384	4.144758833506651	2.8943696376079835	2.8943696376079835	8.881784197001252e-16
2.944028528885072	4.170687442308354	2.944028528885071	16384	4.169342906179678	2.944028528885072	2.944028528885072	8.881784197001252e-16
2.727408165059119	4.209903128582864	2.818505842972343	81920	4.2134738604863795	2.765736485311999	2.9701552030846163	0.1432666558206252
2.725918092344293	4.249118814857374	2.7763106511462134	131072	4.252251820578124	2.7507401992783165	2.816934155825486	0.07233240826731772
2.780628570003231	4.288334501131884	2.8115104869516365	81920	4.290072778129933	2.791787300908906	2.869597518727128	0.058496788515850974
2.7582900914201516	4.327550187406394	2.8581949808564255	147456	4.331524132117372	2.7841707112027736	2.9841778398392544	0.11368072840585461
2.82253078168533	4.366765873680904	2.8805373173687703	81920	4.363807834056665	2.8533886908043185	2.8639979857268143	0.10038257650902514
2.853763952822411	4.405981559955413	2.891810409494768	131072	4.395844066071306	2.9118923502953318	2.93406362785259	0.05524001838065832
2.8336348737401096	4.445197246229924	2.9236466828719996	131072	4.4491384455540395	2.9137816029028185	2.992014266228086	0.10709149045387302
2.9867670104374766	4.4844129325044335	2.996703266793004	147456	4.481410497860123	2.9898845627181294	3.030614060946835	0.07204285049545008
2.941267695683707	4.523628618778943	2.987213510367648	114688	4.523423295693724	3.0027283646867726	3.0170251153458505	0.03443564349339374
3.0360085186243477	4.562844305053453	3.0504515232458362	98304	4.5648120997723085	3.0507881286506593	3.071014245879731	0.020418535574212963
3.041932033675949	4.6020599913279625	3.063506008933934	163840	4.5981267216386135	3.075855201148764	3.0981575521710623	0.06852306579930859
3.126843110893197	4.641275677602472	3.1684618149800134	49152	4.6384972517223035	3.156050327873664	3.222492006173179	0.04002258988132882
3.088903412768837	4.680491363876982	3.131332934859039	32768	4.684868019343149	3.1313329348590395	3.1737624569492415	0.042429522090202225
3.161414023031589	4.7197070501514915	3.2083131013406074	98304	4.717336127862876	3.2166264570233984	3.2368087025613477	0.04910906609116122
3.1273319058539983	4.758922736426001	3.1828187365670346	114688	4.764784795401913	3.1728413831440734	3.236549415578002	0.051925551225788055
3.177548143908637	4.798138422700512	3.2518463260735495	98304	4.795371472305685	3.2781209424534605	3.2999579583729703	0.08368516371433814
3.2555891180506253	4.837354108975021	3.292768089893773	65536	4.826534608975092	3.265000236992587	3.3021792088357333	0.06190004022486266
3.259269937977983	4.876569795249531	3.273142469613537	65536	4.8750957422001795	3.270941245551686	3.2848137771872405	0.014642557445994067
3.2890515823085638	4.915785481524041	3.3038654889697536	65536	4.911809738108663	3.2999274813811006	3.314741388042289	0.025882120567420744
3.267747447887685	4.955001167798551	3.3003672964032296	65536	4.952814780130055	3.316554236460171	3.349174084975716	0.09583968820661827
nan	4.994216854073061	nan	0	nan	nan	nan	nan
3.2948140540890725	5.033432540347571	3.38918096805638	180224	5.028389592950527	3.3787278772818423	3.474345320445137	0.12590932103736094
3.353444023557846	5.07264822662208	3.4260018540056	49152	5.073330690258179	3.4297877008609983	3.4947738375979522	0.057759723922829125
3.319921191806726	5.11186391289659	3.3982318830086893	98304	5.121299492923865	3.395959552171905	3.473922453760349	0.10547342252080386
3.4607595130847946	5.1510795991711	3.5218009704440023	81920	5.155385124252493	3.462157171044157	3.5176386587703576	0.09668414245806614
3.4523513184649994	5.190295285445609	3.4697847246261406	65536	5.200661638823158	3.4902003815763893	3.5076337877375305	0.05514448788058806
3.445317222422	5.229510971720119	3.567892769087661	32768	5.226698332704171	3.567892769087662	3.690468315753324	0.12257554666566196
3.873506602806786	5.268726657994629	3.8735066028067853	16384	5.281118839245765	3.873506602806786	3.873506602806786	8.881784197001252e-16
3.624460417260476	5.307942344269139	3.7009473319911663	32768	5.305663453761773	3.7009473319911663	3.7774342467218562	0.07648691473069015
nan	5.347158030543649	nan	0	nan	nan	nan	nan
3.74400358410596	5.3863737168181585	3.7634509636785043	32768	5.400252186648991	3.763450963678503	3.7828983432510466	0.01944737957254339
nan	5.425589403092668	nan	0	nan	nan	nan	nan
nan	5.464805089367179	nan	0	nan	nan	nan	nan
nan	5.504020775641688	nan	0	nan	nan	nan	nan
nan	5.543236461916198	nan	0	nan	nan	nan	nan
nan	5.582452148190708	nan	0	nan	nan	nan	nan
