Y Mean	Y Lower Quartile	Y Std	Y Upper Quartile	Y Median	X Mean	Count	X Center
nan	nan	nan	nan	nan	nan	0	3.6216678344652173
nan	nan	nan	nan	nan	nan	0	3.660883520739727
nan	nan	nan	nan	nan	nan	0	3.700099207014237
nan	nan	nan	nan	nan	nan	0	3.7393148932887468
nan	nan	nan	nan	nan	nan	0	3.778530579563257
nan	nan	nan	nan	nan	nan	0	3.8177462658377666
nan	nan	nan	nan	nan	nan	0	3.856961952112276
nan	nan	nan	nan	nan	nan	0	3.896177638386786
nan	nan	nan	nan	nan	nan	0	3.9353933246612955
nan	nan	nan	nan	nan	nan	0	3.9746090109358057
-0.0005020136924937428	-0.0005020136924937428	0.0	-0.0005020136924937428	-0.0005020136924937428	4.030844570749075	65536	4.013824697210316
0.0003222868524197057	0.0003222868524197056	1.0842021724855044e-19	0.0003222868524197056	0.0003222868524197056	4.0352931002527095	65536	4.053040383484825
nan	nan	nan	nan	nan	nan	0	4.092256069759335
nan	nan	nan	nan	nan	nan	0	4.131471756033845
nan	nan	nan	nan	nan	nan	0	4.170687442308354
nan	nan	nan	nan	nan	nan	0	4.209903128582864
0.0006856712041141295	0.0001903147236781453	0.0004953564804359843	0.0011810276845501137	0.0006856712041141295	4.248305220206318	131072	4.249118814857374
-0.0002485358023007534	-0.0005171502832927566	0.0002686144809920032	2.0078678691249776e-05	-0.0002485358023007534	4.29035217660428	131072	4.288334501131884
5.517552526424658e-05	-3.4708797812537484e-05	0.0001009907595442635	0.00011984930197740591	2.9964978900621864e-05	4.330349931483216	262144	4.327550187406394
0.00035850316098875545	0.00035850316098875545	0.0	0.00035850316098875545	0.00035850316098875545	4.368124363162232	65536	4.366765873680904
-0.0002256932741752649	-0.00022569327417526502	1.0842021724855044e-19	-0.00022569327417526502	-0.00022569327417526502	4.3906042266966745	65536	4.405981559955413
0.00011122856592792198	-0.0003614225869976952	0.0004726511529256172	0.0005838797188535392	0.00011122856592792201	4.432238770704111	131072	4.445197246229924
-0.00039048030884572993	-0.0005252506444213502	0.00013477033557562023	-0.00025570997327010965	-0.00039048030884572993	4.497259665418024	131072	4.4844129325044335
-0.00044600795048806147	-0.00044600795048806136	1.0842021724855044e-19	-0.00044600795048806136	-0.00044600795048806136	4.5348789023034035	65536	4.523628618778943
0.00023091267536988307	-0.00015623029500271362	0.0003871429703725967	0.0006180556457424799	0.00023091267536988317	4.554354378999316	131072	4.562844305053453
-0.00013082436667418508	-0.0003505226224515611	0.00021969825577737605	8.887388910319093e-05	-0.00013082436667418508	4.613398772313403	131072	4.6020599913279625
-0.00023496435489179542	-0.00023496435489179528	1.3552527156068805e-19	-0.00023496435489179528	-0.00023496435489179528	4.6363650795793125	65536	4.641275677602472
0.00014845411565036283	-1.0113611733405164e-05	0.00017796718368605068	0.0003970031103585818	5.847284832591203e-05	4.693073047621795	196608	4.680491363876982
0.00017089395483836195	0.00017089395483836197	2.710505431213761e-20	0.00017089395483836197	0.00017089395483836197	4.711885958913684	65536	4.7197070501514915
0.0002389518301364351	0.00023895183013643507	2.710505431213761e-20	0.00023895183013643507	0.00023895183013643507	4.763850039241045	65536	4.758922736426001
-1.2768792445202159e-05	-1.6717736957037614e-05	3.94894451183546e-06	-8.819847933366694e-06	-1.2768792445202154e-05	4.798932084791465	131072	4.798138422700512
-4.5610091945274974e-05	-7.530684487467805e-05	2.9696752929403092e-05	-1.5913339015871868e-05	-4.561009194527495e-05	4.839171393514447	131072	4.837354108975021
-0.000235432088206543	-0.00023543208820654297	2.710505431213761e-20	-0.00023543208820654297	-0.00023543208820654297	4.884047505924541	65536	4.876569795249531
nan	nan	nan	nan	nan	nan	0	4.915785481524041
nan	nan	nan	nan	nan	nan	0	4.955001167798551
nan	nan	nan	nan	nan	nan	0	4.994216854073061
2.7626220404425582e-05	-0.0003003455612424866	0.00032797178164691216	0.00035559800205133777	2.7626220404425582e-05	5.040110192424551	131072	5.033432540347571
-7.004339134577132e-05	-0.00022905785511410177	0.0002516070808301844	-7.694377500355653e-06	-0.00016670884126868607	5.06695922051434	262144	5.07264822662208
-0.00011463949980953854	-0.00011463949980953856	2.710505431213761e-20	-0.00011463949980953856	-0.00011463949980953856	5.125290579473842	65536	5.11186391289659
nan	nan	nan	nan	nan	nan	0	5.1510795991711
0.00021218821552658818	0.00021218821552658812	5.421010862427522e-20	0.00021218821552658812	0.00021218821552658812	5.189513716038262	65536	5.190295285445609
nan	nan	nan	nan	nan	nan	0	5.229510971720119
-0.0008574495131903006	-0.0012752232730903316	0.00041777375990003095	-0.0004396757532902695	-0.0008574495131903005	5.2565281937749955	131072	5.268726657994629
nan	nan	nan	nan	nan	nan	0	5.307942344269139
nan	nan	nan	nan	nan	nan	0	5.347158030543649
nan	nan	nan	nan	nan	nan	0	5.3863737168181585
nan	nan	nan	nan	nan	nan	0	5.425589403092668
nan	nan	nan	nan	nan	nan	0	5.464805089367179
nan	nan	nan	nan	nan	nan	0	5.504020775641688
nan	nan	nan	nan	nan	nan	0	5.543236461916198
nan	nan	nan	nan	nan	nan	0	5.582452148190708
