Y Median	Y Std	Count	X Center	Y Mean	X Mean	Y Upper Quartile	Y Lower Quartile
nan	nan	0	3.6216678344652173	nan	nan	nan	nan
nan	nan	0	3.660883520739727	nan	nan	nan	nan
nan	nan	0	3.700099207014237	nan	nan	nan	nan
nan	nan	0	3.7393148932887468	nan	nan	nan	nan
nan	nan	0	3.778530579563257	nan	nan	nan	nan
nan	nan	0	3.8177462658377666	nan	nan	nan	nan
nan	nan	0	3.856961952112276	nan	nan	nan	nan
nan	nan	0	3.896177638386786	nan	nan	nan	nan
nan	nan	0	3.9353933246612955	nan	nan	nan	nan
nan	nan	0	3.9746090109358057	nan	nan	nan	nan
nan	nan	0	4.013824697210316	nan	nan	nan	nan
nan	nan	0	4.053040383484825	nan	nan	nan	nan
nan	nan	0	4.092256069759335	nan	nan	nan	nan
nan	nan	0	4.131471756033845	nan	nan	nan	nan
nan	nan	0	4.170687442308354	nan	nan	nan	nan
nan	nan	0	4.209903128582864	nan	nan	nan	nan
nan	nan	0	4.249118814857374	nan	nan	nan	nan
nan	nan	0	4.288334501131884	nan	nan	nan	nan
nan	nan	0	4.327550187406394	nan	nan	nan	nan
nan	nan	0	4.366765873680904	nan	nan	nan	nan
nan	nan	0	4.405981559955413	nan	nan	nan	nan
nan	nan	0	4.445197246229924	nan	nan	nan	nan
nan	nan	0	4.4844129325044335	nan	nan	nan	nan
nan	nan	0	4.523628618778943	nan	nan	nan	nan
nan	nan	0	4.562844305053453	nan	nan	nan	nan
nan	nan	0	4.6020599913279625	nan	nan	nan	nan
nan	nan	0	4.641275677602472	nan	nan	nan	nan
nan	nan	0	4.680491363876982	nan	nan	nan	nan
44.69596807941525	0.0	8	4.7197070501514915	44.69596807941525	4.731161000980915	44.69596807941525	44.69596807941525
-32.027606619631115	0.0	435	4.758922736426001	-32.027606619631115	4.752599168010278	-32.027606619631115	-32.027606619631115
1.0387815566828067	14.23645327880729	3119	4.798138422700512	6.903903686878951	4.8059416085503885	22.44639667625961	-2.557680762030941
-4.348269299334788	12.375475907824962	3022	4.837354108975021	-10.070715889243921	4.832379199742712	1.7222471487057192	-27.010297243765308
-0.24204655780158646	13.302509770146132	4310	4.876569795249531	0.3085434019320821	4.877778576709049	11.073132326890118	-8.224570522725116
3.1982559833850246	9.240165811029332	5241	4.915785481524041	6.807784339159648	4.915660008014217	10.39156484502928	2.623661950110545
3.4891535218503122	11.897886418805728	5600	4.955001167798551	-1.9828941464202716	4.950904653554912	5.532858155482245	-11.37981669186047
-10.724324744689511	16.488931135609626	5160	4.994216854073061	-11.850817035026475	4.9932076053597765	9.148160814089351	-25.09810074930465
-7.297495242526566	8.210763963560423	4116	5.033432540347571	-5.2109912883990726	5.028142324739945	4.834821541475321	-13.329303952084956
0.2546630069755338	18.38823000223991	6466	5.07264822662208	-3.046094528907257	5.075870817209911	6.061005712246697	-2.9556743747980363
-4.878345944249304	31.320387529111798	3682	5.11186391289659	-10.56382183157862	5.110284418253762	25.051769659961792	-57.37981270942146
-1.684750364145657	18.20788221408192	2764	5.1510795991711	5.371375802809522	5.14470760795836	8.210245397893232	-7.670219346720842
15.383746565421461	11.999039947610337	2422	5.190295285445609	15.225441067045567	5.194585279021248	24.307447390374364	10.007899562417151
-5.505278202599584	9.600847570642165	3168	5.229510971720119	-11.849327282634105	5.230814767290529	-5.505278202599584	-11.440195378601857
17.10946992654317	7.115987778765703	1280	5.268726657994629	13.551476037160318	5.2650638680572275	17.10946992654317	17.10946992654317
-2.5619766648378572	18.312378509588804	3073	5.307942344269139	-1.12542747529715	5.315766607684215	21.9943302653337	-22.779373073217357
-4.343626803647567	0.0	1024	5.347158030543649	-4.343626803647567	5.361605181878175	-4.343626803647567	-4.343626803647567
25.456401183275375	27.326270921963147	2175	5.3863737168181585	21.27608518566599	5.375818078621103	47.52968652022537	-11.775109601816439
nan	nan	0	5.425589403092668	nan	nan	nan	nan
nan	nan	0	5.464805089367179	nan	nan	nan	nan
nan	nan	0	5.504020775641688	nan	nan	nan	nan
nan	nan	0	5.543236461916198	nan	nan	nan	nan
nan	nan	0	5.582452148190708	nan	nan	nan	nan
