X Center	Count	X Mean	Y Median	Y Lower Quartile	Y Upper Quartile	Y Mean	Y Std
3.6216678344652173	0	nan	nan	nan	nan	nan	nan
3.660883520739727	0	nan	nan	nan	nan	nan	nan
3.700099207014237	0	nan	nan	nan	nan	nan	nan
3.7393148932887468	0	nan	nan	nan	nan	nan	nan
3.778530579563257	0	nan	nan	nan	nan	nan	nan
3.8177462658377666	0	nan	nan	nan	nan	nan	nan
3.856961952112276	0	nan	nan	nan	nan	nan	nan
3.896177638386786	0	nan	nan	nan	nan	nan	nan
3.9353933246612955	0	nan	nan	nan	nan	nan	nan
3.9746090109358057	0	nan	nan	nan	nan	nan	nan
4.013824697210316	0	nan	nan	nan	nan	nan	nan
4.053040383484825	0	nan	nan	nan	nan	nan	nan
4.092256069759335	0	nan	nan	nan	nan	nan	nan
4.131471756033845	0	nan	nan	nan	nan	nan	nan
4.170687442308354	0	nan	nan	nan	nan	nan	nan
4.209903128582864	0	nan	nan	nan	nan	nan	nan
4.249118814857374	0	nan	nan	nan	nan	nan	nan
4.288334501131884	0	nan	nan	nan	nan	nan	nan
4.327550187406394	0	nan	nan	nan	nan	nan	nan
4.366765873680904	0	nan	nan	nan	nan	nan	nan
4.405981559955413	0	nan	nan	nan	nan	nan	nan
4.445197246229924	0	nan	nan	nan	nan	nan	nan
4.4844129325044335	1	4.468531765818173	-489.4984064850478	-489.4984064850478	-489.4984064850478	-489.4984064850478	0.0
4.523628618778943	1	4.528796696345265	-733.8643900232455	-733.8643900232455	-733.8643900232455	-733.8643900232455	0.0
4.562844305053453	0	nan	nan	nan	nan	nan	nan
4.6020599913279625	5	4.613090409689312	-322.68719493560457	-404.08003062345415	-223.32181801331626	-253.96162853364748	216.35780863920627
4.641275677602472	12	4.652774000757186	70.30924825164129	-162.9434811304052	762.2442920864198	344.1109563704105	802.1521344180045
4.680491363876982	57	4.683271865235035	-69.26839283907611	-415.5599119758699	156.6617380555781	-142.03865336060372	679.2881087248919
4.7197070501514915	190	4.723686546712857	-116.70258698397583	-398.746812418379	87.65906279591331	-39.0657156832552	678.2800470313871
4.758922736426001	585	4.761222399694797	-13.651152175064453	-275.81378784994195	265.47796504761027	92.86618965171945	743.3486632750245
4.798138422700512	1075	4.799972257152535	9.25995491501999	-231.56631251026374	276.8309609405628	83.24950819232582	715.3312597586938
4.837354108975021	1656	4.838634531967648	23.733045600262813	-210.53359972594285	271.595046305039	122.59586594678642	729.9114704293743
4.876569795249531	2099	4.877330617875646	21.735063337340478	-210.6556310877918	268.16793662837193	74.8228822132494	670.8244028720094
4.915785481524041	2474	4.91679205596285	20.331818676848343	-209.7116499228248	274.1180125159867	115.32353530363537	716.1668094029654
4.955001167798551	2675	4.9550930329237834	36.11621396523242	-182.22673655989874	294.46513485204923	115.3591127585757	664.7663115533416
4.994216854073061	2798	4.994089693859275	26.96455187670408	-196.56243559436393	256.877941137343	89.43248867200924	612.212091249416
5.033432540347571	2999	5.03313716879387	26.656208102900564	-165.76371021621708	247.67824351631225	99.4792619513147	594.4290136928922
5.07264822662208	2916	5.0717810901556675	29.728918705328397	-163.26918159209686	236.03451456481827	70.87463574059352	598.8386214252421
5.11186391289659	2169	5.11129733455943	19.797065618440683	-179.53873489301805	249.69458200205918	75.0869023365209	573.1087829752908
5.1510795991711	1713	5.150831460665705	27.876750859566528	-160.49668383148764	226.89268548628934	57.53396588887294	637.5799870742495
5.190295285445609	1592	5.19075480072566	1.828489509011888	-180.5017094054765	192.39282047442123	16.987105880032914	561.5583931779349
5.229510971720119	1680	5.2297494611003845	-0.18882422320893966	-170.93249601254564	191.72201973040956	30.04771655152444	566.2064636259698
5.268726657994629	1573	5.267802687974609	11.47004520063274	-155.94452908816675	191.9817560004758	13.734589558400048	532.1094940379644
5.307942344269139	1502	5.307888487641562	1.3616922746286946	-148.30087315760784	152.33911443392344	-4.034994123440152	581.1409748717816
5.347158030543649	1374	5.347173943222123	3.504765622225932	-155.72178801925884	167.03833782584115	9.070657711049849	600.8391379697918
5.3863737168181585	1167	5.385504634044954	31.571372973852704	-134.2386408154116	177.88630794309302	17.31223790614333	575.9908546937053
5.425589403092668	627	5.423154911229079	21.211781145608256	-136.75352900647027	187.01617090529362	12.024081423783523	561.9741615780888
5.464805089367179	215	5.4596874200979855	15.715633668232442	-135.96981110489014	172.37944448171947	27.72899384617219	463.0884453820797
5.504020775641688	45	5.500191945626399	47.14291243173932	-63.22695240706162	229.9415756726321	-70.68708663887085	842.3833073143797
5.543236461916198	11	5.5312648503443675	89.36123941346855	-9.304661724449943	287.58252021838416	210.5126844640816	536.495895040162
5.582452148190708	0	nan	nan	nan	nan	nan	nan
