Y Mean	Count	Y Std	Y Median	Y Upper Quartile	Y Lower Quartile	X Mean	X Center
nan	0	nan	nan	nan	nan	nan	3.6216678344652173
nan	0	nan	nan	nan	nan	nan	3.660883520739727
nan	0	nan	nan	nan	nan	nan	3.700099207014237
nan	0	nan	nan	nan	nan	nan	3.7393148932887468
nan	0	nan	nan	nan	nan	nan	3.778530579563257
nan	0	nan	nan	nan	nan	nan	3.8177462658377666
nan	0	nan	nan	nan	nan	nan	3.856961952112276
nan	0	nan	nan	nan	nan	nan	3.896177638386786
nan	0	nan	nan	nan	nan	nan	3.9353933246612955
nan	0	nan	nan	nan	nan	nan	3.9746090109358057
nan	0	nan	nan	nan	nan	nan	4.013824697210316
nan	0	nan	nan	nan	nan	nan	4.053040383484825
nan	0	nan	nan	nan	nan	nan	4.092256069759335
nan	0	nan	nan	nan	nan	nan	4.131471756033845
nan	0	nan	nan	nan	nan	nan	4.170687442308354
nan	0	nan	nan	nan	nan	nan	4.209903128582864
nan	0	nan	nan	nan	nan	nan	4.249118814857374
nan	0	nan	nan	nan	nan	nan	4.288334501131884
nan	0	nan	nan	nan	nan	nan	4.327550187406394
nan	0	nan	nan	nan	nan	nan	4.366765873680904
nan	0	nan	nan	nan	nan	nan	4.405981559955413
nan	0	nan	nan	nan	nan	nan	4.445197246229924
nan	0	nan	nan	nan	nan	nan	4.4844129325044335
nan	0	nan	nan	nan	nan	nan	4.523628618778943
nan	0	nan	nan	nan	nan	nan	4.562844305053453
nan	0	nan	nan	nan	nan	nan	4.6020599913279625
nan	0	nan	nan	nan	nan	nan	4.641275677602472
nan	0	nan	nan	nan	nan	nan	4.680491363876982
40.242708327350556	443	0.0	40.242708327350556	40.242708327350556	40.242708327350556	4.7274042766395805	4.7197070501514915
nan	0	nan	nan	nan	nan	nan	4.758922736426001
14.704501272230118	3858	0.0	14.704501272230118	14.704501272230118	14.704501272230118	4.811634008072245	4.798138422700512
-22.207740626827945	2392	1.7532717509706082	-22.364624089663266	-22.364624089663266	-22.364624089663266	4.844273894176454	4.837354108975021
10.589370770774705	1805	7.048584088418882	12.817649520888153	12.817649520888153	12.817649520888153	4.871579138818174	4.876569795249531
2.578788429458972	8124	8.246496975937438	-5.598969691895036	10.894602050379035	-5.598969691895036	4.907644458827491	4.915785481524041
-11.147990113682681	1416	0.0	-11.147990113682681	-11.147990113682681	-11.147990113682681	4.952959664968694	4.955001167798551
2.4621759393441356	9801	4.1376538587796485	1.2846021631976328	1.2846021631976328	-0.7227988585291314	4.988926569823155	4.994216854073061
-0.32421897288137813	3170	6.361608734924017	-3.14549018368416	-3.14549018368416	-3.14549018368416	5.0501384767822906	5.033432540347571
-2.8741025726734386	3739	13.213730564134117	6.490202260278238	6.490202260278238	-24.287044474620416	5.060623004660779	5.07264822662208
-2.141477846556841	1076	0.271602047714326	-2.124887110929194	-2.124887110929194	-2.124887110929194	5.1104322300297245	5.11186391289659
-4.650560950931709	11457	4.071737109337621	-6.321169726088556	0.735287760873689	-8.685811404244305	5.146203024403483	5.1510795991711
2.171274524744149	1662	0.0	2.171274524744149	2.171274524744149	2.171274524744149	5.192417529259855	5.190295285445609
-7.3200587676201385	2633	8.881784197001252e-16	-7.320058767620139	-7.320058767620139	-7.320058767620139	5.243193107109311	5.229510971720119
-4.272372780747901	318	0.0	-4.272372780747901	-4.272372780747901	-4.272372780747901	5.2610931542236266	5.268726657994629
nan	0	nan	nan	nan	nan	nan	5.307942344269139
1.0485252243779957	4031	0.14460269590090763	1.0089417495601083	1.0089417495601083	1.0089417495601083	5.3557862050343905	5.347158030543649
1.640213756589219	1140	0.0	1.640213756589219	1.640213756589219	1.640213756589219	5.3831075273984474	5.3863737168181585
nan	0	nan	nan	nan	nan	nan	5.425589403092668
nan	0	nan	nan	nan	nan	nan	5.464805089367179
nan	0	nan	nan	nan	nan	nan	5.504020775641688
nan	0	nan	nan	nan	nan	nan	5.543236461916198
nan	0	nan	nan	nan	nan	nan	5.582452148190708
