Y Upper Quartile	Y Mean	X Center	Count	Y Median	Y Std	X Mean	Y Lower Quartile
nan	nan	2.0294117647058822	0	nan	nan	nan	nan
nan	nan	2.0882352941176467	0	nan	nan	nan	nan
nan	nan	2.1470588235294117	0	nan	nan	nan	nan
nan	nan	2.2058823529411766	0	nan	nan	nan	nan
nan	nan	2.264705882352941	0	nan	nan	nan	nan
nan	nan	2.3235294117647056	0	nan	nan	nan	nan
nan	nan	2.3823529411764706	0	nan	nan	nan	nan
nan	nan	2.4411764705882355	0	nan	nan	nan	nan
nan	nan	2.5	0	nan	nan	nan	nan
nan	nan	2.5588235294117645	0	nan	nan	nan	nan
nan	nan	2.6176470588235294	0	nan	nan	nan	nan
nan	nan	2.6764705882352944	0	nan	nan	nan	nan
nan	nan	2.735294117647059	0	nan	nan	nan	nan
nan	nan	2.7941176470588234	0	nan	nan	nan	nan
nan	nan	2.852941176470588	0	nan	nan	nan	nan
nan	nan	2.9117647058823533	0	nan	nan	nan	nan
nan	nan	2.9705882352941178	0	nan	nan	nan	nan
nan	nan	3.0294117647058822	0	nan	nan	nan	nan
nan	nan	3.0882352941176467	0	nan	nan	nan	nan
nan	nan	3.147058823529412	0	nan	nan	nan	nan
3.439711338232735	3.4397113382327333	3.2058823529411766	1660	3.439711338232735	1.7763568394002505e-15	3.221215020687182	3.439711338232735
nan	nan	3.264705882352941	0	nan	nan	nan	nan
3.4674368673419456	3.4674368673419464	3.3235294117647056	164	3.4674368673419456	8.881784197001252e-16	3.29995795837297	3.4674368673419456
3.588674699911249	3.5760329537057576	3.3823529411764706	17401	3.588674699911249	0.01611110785106269	3.3813994465388837	3.5555003633523925
nan	nan	3.4411764705882355	0	nan	nan	nan	nan
3.612389142905961	3.612389142905961	3.5	521	3.612389142905961	0.0	3.474345320445138	3.612389142905961
3.741677066077102	3.7416770660771026	3.5588235294117645	4851	3.741677066077102	4.440892098500626e-16	3.557069349758133	3.741677066077102
3.8199200048660304	3.819920004866029	3.617647058823529	14300	3.8199200048660304	1.3322676295501878e-15	3.6230328274622345	3.8199200048660304
nan	nan	3.6764705882352944	0	nan	nan	nan	nan
3.8641666086436173	3.867146754576145	3.735294117647059	7279	3.8641666086436173	0.014872067241569722	3.7113242753662217	3.8641666086436173
4.00216006597645	4.002160065976449	3.7941176470588234	318	4.00216006597645	8.881784197001252e-16	3.777434246721856	4.00216006597645
4.053979823609633	4.053979823609632	3.852941176470588	10571	4.053979823609633	8.881784197001252e-16	3.873506602806785	4.053979823609633
nan	nan	3.9117647058823533	0	nan	nan	nan	nan
nan	nan	3.9705882352941178	0	nan	nan	nan	nan
nan	nan	4.029411764705882	0	nan	nan	nan	nan
nan	nan	4.088235294117647	0	nan	nan	nan	nan
nan	nan	4.147058823529411	0	nan	nan	nan	nan
nan	nan	4.205882352941176	0	nan	nan	nan	nan
nan	nan	4.264705882352941	0	nan	nan	nan	nan
nan	nan	4.3235294117647065	0	nan	nan	nan	nan
nan	nan	4.382352941176471	0	nan	nan	nan	nan
nan	nan	4.4411764705882355	0	nan	nan	nan	nan
nan	nan	4.5	0	nan	nan	nan	nan
nan	nan	4.5588235294117645	0	nan	nan	nan	nan
nan	nan	4.617647058823529	0	nan	nan	nan	nan
nan	nan	4.6764705882352935	0	nan	nan	nan	nan
nan	nan	4.735294117647059	0	nan	nan	nan	nan
nan	nan	4.794117647058823	0	nan	nan	nan	nan
nan	nan	4.852941176470589	0	nan	nan	nan	nan
nan	nan	4.911764705882353	0	nan	nan	nan	nan
nan	nan	4.970588235294118	0	nan	nan	nan	nan
