Y Mean	X Mean	Count	Y Std	Y Upper Quartile	X Center	Y Median	Y Lower Quartile
nan	nan	0	nan	nan	3.6216678344652173	nan	nan
nan	nan	0	nan	nan	3.660883520739727	nan	nan
nan	nan	0	nan	nan	3.700099207014237	nan	nan
nan	nan	0	nan	nan	3.7393148932887468	nan	nan
nan	nan	0	nan	nan	3.778530579563257	nan	nan
0.09967466154260783	3.819779367320583	32768	0.05725348226541204	0.15692814380801987	3.8177462658377666	0.09967466154260783	0.04242117927719579
nan	nan	0	nan	nan	3.856961952112276	nan	nan
nan	nan	0	nan	nan	3.896177638386786	nan	nan
1.649089708432621e-05	3.9386622484335025	16384	3.3881317890172014e-21	1.6490897084326213e-05	3.9353933246612955	1.6490897084326213e-05	1.6490897084326213e-05
0.2749573321813714	3.9622934917355868	16384	0.0	0.2749573321813714	3.9746090109358057	0.2749573321813714	0.2749573321813714
0.10916920391340666	4.019745409543568	16384	0.0	0.10916920391340666	4.013824697210316	0.10916920391340666	0.10916920391340666
0.023613673249527845	4.0582779250703345	16384	0.0	0.023613673249527845	4.053040383484825	0.023613673249527845	0.023613673249527845
-0.020123699120766614	4.100824966670267	65536	0.031788262347890756	-0.0009306121037071522	4.092256069759335	-0.023494628001050396	-0.042687715018109855
0.0014391453650972159	4.143617389829344	16384	4.336808689942018e-19	0.0014391453650972163	4.131471756033845	0.0014391453650972163	0.0014391453650972163
0.008460123529629533	4.169799702144026	16384	1.734723475976807e-18	0.008460123529629531	4.170687442308354	0.008460123529629531	0.008460123529629531
-0.018603165294634676	4.214048204922532	81920	0.03238653210647212	-0.005833335815028645	4.209903128582864	-0.011670739572428743	-0.023469764470594776
0.007733260444051827	4.252177594183547	131072	0.02062737096493239	0.01729163098217838	4.249118814857374	0.007443827808018234	0.0005126492405718402
0.001067590212541001	4.290221607175776	81920	0.025163910890827496	0.008190155715525808	4.288334501131884	-0.002360757829218883	-0.004999834438813759
-0.014096073205705138	4.331691604417212	147456	0.030871754387613397	-0.013942442472152379	4.327550187406394	-0.02666021946625598	-0.03131445055245806
-0.016550131857796406	4.3640600590114325	81920	0.017952185567804136	-0.009717771998269568	4.366765873680904	-0.012610140594180287	-0.03432976613507191
-0.005341522701014493	4.395938757110649	131072	0.012289728528535711	0.0017665113175390924	4.405981559955413	-0.006770763666310575	-0.01526502106330328
-0.0014058569627456753	4.4491326732788705	131072	0.026597699816882054	0.017860267294334268	4.445197246229924	-0.004910303207678275	-0.02483689498084771
0.0013202758793048684	4.481256932825589	147456	0.02311685136550418	0.012881775986838546	4.4844129325044335	0.010141749941704711	-0.009953271675597874
0.0003862955578110972	4.523393120992514	114688	0.02483156780827527	0.025070834617266342	4.523628618778943	0.002631018462496871	-0.025713811576833317
0.001703402146617854	4.564767643299818	98304	0.009055925500942197	0.011731407631205367	4.562844305053453	0.001402635341415344	-0.00718425414711808
-0.003837689169475781	4.598180623632549	163840	0.013153947913319397	0.002906732625510764	4.6020599913279625	-0.008005005657095936	-0.01356296775677363
0.00710940720439374	4.638495722259428	49152	0.009188428711966682	0.019086369735683575	4.641275677602472	0.005486141819481423	-0.0032442899419837723
0.02788240822483575	4.684750478654049	32768	0.019292767004714974	0.047175175229550725	4.680491363876982	0.02788240822483575	0.00858964122012078
0.005121418731914249	4.717340146891526	98304	0.007836861976221054	0.010929339201137355	4.7197070501514915	0.003552818967253578	-0.0016942744803465626
-0.00572527680932896	4.764723793061196	114688	0.012148051131062338	0.004814486680003993	4.758922736426001	-0.010925512382038467	-0.01695203704156035
0.0013244464585619297	4.795313491645622	98304	0.004759579482774234	0.0028429574987236684	4.798138422700512	0.0004752875870696916	-0.0017868571395256187
0.0019877418820468395	4.826670264808297	65536	0.002163125658451772	0.003690110473826791	4.837354108975021	0.001654473248775068	-4.789534300488331e-05
-0.0035360692644343886	4.875126305275861	65536	0.0035997622338563686	-0.0002632604098632427	4.876569795249531	-0.0033785388518399223	-0.006651347706411069
-0.004664581679857051	4.911849428766491	65536	0.008350310341602059	-0.0031227790761946313	4.915785481524041	-0.008068115865221858	-0.00960991846888428
-0.0033940555866981657	4.9528340583286194	65536	0.004866510003679834	-0.001174988166978408	4.955001167798551	-0.004809644710437586	-0.007028712130157343
nan	nan	0	nan	nan	4.994216854073061	nan	nan
0.0003931662786941551	5.028469264099406	180224	0.005141518207525322	0.007567317220192204	5.033432540347571	-0.0006262815019661747	-0.003041083205104662
0.0011240870654230727	5.07336756507027	49152	0.005396308561562014	0.007812513959144072	5.07264822662208	0.0009624713629992582	-0.0054027241258741135
0.0009776562066976444	5.121272312869121	98304	0.0036065337627602615	0.003336753116609118	5.11186391289659	0.0002599281426256401	-0.0016857931933347665
-0.0022404092402892265	5.155394144094359	81920	0.003886381352745692	-0.0007545584400219055	5.1510795991711	-0.0027304158818615373	-0.005715285755359713
-0.0002697811281170086	5.200630030135794	65536	0.0036670225769018347	0.0017720274634881986	5.190295285445609	0.00125378058611061	-0.0007880280054945968
-0.0036505327098406075	5.225933514374207	32768	0.0052190824419362635	0.0015685497320956554	5.229510971720119	-0.0036505327098406088	-0.008869615151776873
0.003713049796449904	5.280930466444498	16384	1.3010426069826053e-18	0.003713049796449905	5.268726657994629	0.003713049796449905	0.003713049796449905
0.002027368167297954	5.305639291392403	32768	0.003041053935903845	0.005068422103201799	5.307942344269139	0.0020273681672979544	-0.0010136857686058902
nan	nan	0	nan	nan	5.347158030543649	nan	nan
