Y Upper Quartile	Y Std	Y Lower Quartile	Y Median	Count	X Mean	X Center	Y Mean
nan	nan	nan	nan	0	nan	5098.0392156862745	nan
nan	nan	nan	nan	0	nan	5294.117647058823	nan
nan	nan	nan	nan	0	nan	5490.196078431372	nan
nan	nan	nan	nan	0	nan	5686.274509803921	nan
nan	nan	nan	nan	0	nan	5882.35294117647	nan
nan	nan	nan	nan	0	nan	6078.431372549019	nan
nan	nan	nan	nan	0	nan	6274.509803921568	nan
nan	nan	nan	nan	0	nan	6470.588235294118	nan
nan	nan	nan	nan	0	nan	6666.666666666667	nan
nan	nan	nan	nan	0	nan	6862.745098039216	nan
nan	nan	nan	nan	0	nan	7058.823529411765	nan
nan	nan	nan	nan	0	nan	7254.901960784314	nan
nan	nan	nan	nan	0	nan	7450.980392156863	nan
nan	nan	nan	nan	0	nan	7647.058823529413	nan
nan	nan	nan	nan	0	nan	7843.137254901962	nan
nan	nan	nan	nan	0	nan	8039.2156862745105	nan
nan	nan	nan	nan	0	nan	8235.29411764706	nan
nan	nan	nan	nan	0	nan	8431.372549019608	nan
nan	nan	nan	nan	0	nan	8627.450980392157	nan
nan	nan	nan	nan	0	nan	8823.529411764706	nan
nan	nan	nan	nan	0	nan	9019.607843137255	nan
8245.381656857902	76.61498785230937	8115.225989984481	8210.445853397949	2512	9219.215468770471	9215.686274509804	8182.658977268876
8313.894502070605	92.93804818711592	8158.125151346826	8225.448636861543	7383	9436.45033136012	9411.764705882353	8228.613717492834
8365.080624521315	88.51341328213472	8243.69023791349	8317.431482720345	14061	9614.936308523304	9607.843137254902	8301.348614338838
8445.16608597256	90.28175540692418	8331.560260943932	8405.89002965505	6420	9801.133861594819	9803.921568627451	8394.832030973432
8589.056952096553	124.48921565551343	8389.847510699892	8458.290347744301	6537	10004.761254287458	10000.0	8489.29903039872
8606.730102918398	106.55523644535248	8465.267882864993	8533.234737689545	4065	10208.911814525567	10196.078431372549	8552.72942488604
8718.95465632038	95.34609898425265	8599.770819592215	8667.014166186964	4680	10397.577965423625	10392.1568627451	8665.309279274157
8872.971448184953	169.3965189274797	8594.74537470348	8744.646460125809	2234	10560.77265631249	10588.235294117649	8711.891105322262
8847.76478653916	112.14283730083974	8629.23571093112	8696.085207917533	2891	10781.836387725769	10784.313725490198	8714.70924931393
8876.720655029643	50.568964924086934	8815.448180626863	8867.076559275705	2020	10939.987872259822	10980.392156862747	8845.925324114382
8874.377616011056	80.99897963542686	8771.744060907109	8798.323848541831	2069	11194.56766887684	11176.470588235296	8799.428533049562
9021.250397641823	110.17528462174322	8738.859871924344	8961.69574643966	913	11409.598515863307	11372.549019607844	8901.95825568361
9019.050769379848	58.39409312230093	8894.446004565732	8895.923598100933	768	11574.348900236626	11568.627450980393	8936.473457348837
8980.502624125435	1.8189894035458565e-12	8980.502624125435	8980.502624125435	256	11862.2280899928	11764.705882352942	8980.502624125436
nan	nan	nan	nan	0	nan	11960.784313725491	nan
8880.648669619888	1.8189894035458565e-12	8880.648669619888	8880.648669619888	256	12207.588439401557	12156.86274509804	8880.648669619886
nan	nan	nan	nan	0	nan	12352.94117647059	nan
nan	nan	nan	nan	0	nan	12549.019607843138	nan
nan	nan	nan	nan	0	nan	12745.098039215687	nan
nan	nan	nan	nan	0	nan	12941.176470588236	nan
nan	nan	nan	nan	0	nan	13137.254901960785	nan
nan	nan	nan	nan	0	nan	13333.333333333334	nan
nan	nan	nan	nan	0	nan	13529.411764705883	nan
nan	nan	nan	nan	0	nan	13725.490196078432	nan
nan	nan	nan	nan	0	nan	13921.56862745098	nan
nan	nan	nan	nan	0	nan	14117.64705882353	nan
nan	nan	nan	nan	0	nan	14313.725490196079	nan
nan	nan	nan	nan	0	nan	14509.803921568628	nan
nan	nan	nan	nan	0	nan	14705.882352941177	nan
nan	nan	nan	nan	0	nan	14901.960784313726	nan
